Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,Unnamed: 3_level_0 Att_for,Pass Types Live_for,Pass Types Dead_for,Pass Types FK_for,Pass Types TB_for,Pass Types Sw_for,Pass Types Crs_for,Pass Types TI_for,Pass Types CK_for,Corner Kicks In_for,Corner Kicks Out_for,Corner Kicks Str_for,Outcomes Cmp_for,Outcomes Off_for,Outcomes Blocks_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,Unnamed: 3_level_0 Att_against,Pass Types Live_against,Pass Types Dead_against,Pass Types FK_against,Pass Types TB_against,Pass Types Sw_against,Pass Types Crs_against,Pass Types TI_against,Pass Types CK_against,Corner Kicks In_against,Corner Kicks Out_against,Corner Kicks Str_against,Outcomes Cmp_against,Outcomes Off_against,Outcomes Blocks_against,Season
Alavés,29,38.0,14746,12723,1946,537,45,99,798,834,182,61,90,6,10534,77,368,29,38.0,18138,15935,2139,672,52,139,722,913,177,62,61,1,14251,64,340,2024-2025
Athletic Club,31,38.0,17375,15511,1796,472,48,116,772,836,193,73,81,1,13665,68,300,31,38.0,18891,16899,1908,528,52,139,592,796,155,54,61,1,14953,84,323,2024-2025
Atlético Madrid,24,38.0,21418,19514,1832,463,76,112,675,789,190,67,65,0,17826,72,388,24,38.0,19538,17845,1656,460,33,124,656,664,144,41,56,0,16246,37,304,2024-2025
Barcelona,28,38.0,25721,23787,1869,621,130,133,709,712,265,104,47,1,22321,65,371,28,38.0,11890,10010,1699,417,62,135,482,636,149,62,57,1,8511,181,317,2024-2025
Betis,36,38.0,19284,17322,1906,613,60,153,627,778,197,82,68,0,15770,56,376,36,38.0,17627,15754,1781,466,51,107,683,756,162,73,62,3,13910,92,339,2024-2025
Celta Vigo,30,38.0,21253,19376,1810,502,89,149,501,782,149,52,62,1,17798,67,365,30,38.0,18445,16682,1688,504,57,102,667,680,159,69,53,1,14946,75,323,2024-2025
Espanyol,27,38.0,13996,12245,1690,484,51,97,619,647,144,35,77,2,10580,61,285,27,38.0,21580,19688,1839,529,49,143,858,759,227,97,95,5,17987,53,350,2024-2025
Getafe,30,38.0,12922,10790,2042,579,23,116,721,927,147,55,69,1,8695,90,262,30,38.0,18284,16088,2111,659,52,111,626,910,147,66,45,1,13966,85,364,2024-2025
Girona,30,38.0,21401,19598,1724,484,39,128,804,706,186,91,67,1,18273,79,338,30,38.0,16818,15144,1630,488,40,84,607,626,166,61,62,2,13798,44,260,2024-2025
Las Palmas,34,38.0,18209,16234,1916,558,49,117,674,782,160,54,72,4,14352,59,321,34,38.0,17854,15927,1828,472,69,118,740,812,198,86,63,3,14104,99,350,2024-2025
Leganés,26,38.0,14840,13035,1721,500,48,91,495,653,113,46,46,0,11207,84,252,26,38.0,20203,18149,2007,568,52,128,879,865,242,101,101,2,16312,47,335,2024-2025
Mallorca,28,38.0,16224,14337,1809,471,44,93,735,757,145,58,73,3,12613,78,292,28,38.0,18666,16782,1843,526,43,136,821,723,241,113,55,3,14980,41,306,2024-2025
Osasuna,25,38.0,16028,14070,1892,487,28,133,819,831,175,64,50,2,12184,66,349,25,38.0,18864,16877,1884,540,89,123,704,784,189,72,78,1,15229,103,324,2024-2025
Rayo Vallecano,26,38.0,17861,15874,1908,436,46,112,769,868,202,107,65,0,13936,79,395,26,38.0,16724,14603,2071,579,55,139,678,882,191,81,80,1,12793,50,379,2024-2025
Real Madrid,30,38.0,24221,22370,1766,549,90,221,578,620,243,113,63,1,21356,85,316,30,38.0,15895,14331,1521,397,40,120,554,533,161,78,49,0,12981,43,293,2024-2025
Real Sociedad,31,38.0,18759,16761,1916,513,33,146,740,832,216,78,95,0,14880,82,369,31,38.0,16415,14418,1912,550,54,115,610,808,179,69,58,3,12635,85,345,2024-2025
Sevilla,35,38.0,18057,16196,1791,473,40,130,612,778,185,109,33,1,14432,70,314,35,38.0,17994,16003,1929,541,62,132,661,828,165,66,63,1,14301,62,329,2024-2025
Valencia,32,38.0,17708,15738,1898,566,38,128,763,770,186,69,74,3,13938,72,395,32,38.0,18992,17048,1837,485,78,139,691,801,190,79,57,2,15307,107,328,2024-2025
Valladolid,38,38.0,15387,13486,1834,544,37,126,671,647,156,81,38,2,12052,67,265,38,38.0,20501,18714,1727,489,62,99,743,751,195,76,80,0,17117,60,353,2024-2025
Villarreal,31,38.0,17825,16035,1713,513,78,124,674,633,183,77,60,2,14532,77,318,31,38.0,19916,18105,1769,495,40,191,782,655,180,70,59,0,16617,42,377,2024-2025
Alavés,30,38.0,14116,12133,1914,506,29,124,830,802,187,45,74,4,10091,69,372,30,38.0,20256,18248,1948,519,55,144,686,850,167,64,74,1,16352,60,310,2023-2024
Almería,35,38.0,16540,14559,1906,555,35,112,659,741,167,64,63,0,12774,75,320,35,38.0,19368,17353,1942,519,54,171,828,820,220,74,101,3,15460,73,352,2023-2024
Athletic Club,27,38.0,18724,16746,1900,528,70,111,845,817,208,79,89,0,14509,78,364,27,38.0,19081,17121,1869,561,40,189,626,744,161,71,54,0,14887,91,352,2023-2024
Atlético Madrid,27,38.0,20709,18869,1717,489,76,179,621,675,174,59,74,0,17064,123,343,27,38.0,19995,18152,1806,545,29,110,764,662,194,63,75,0,16440,37,419,2023-2024
Barcelona,29,38.0,24761,22805,1857,574,98,200,651,709,238,95,82,2,21506,99,335,29,38.0,13768,12007,1644,489,47,120,574,562,148,66,61,2,10455,117,302,2023-2024
Betis,35,38.0,18979,16983,1923,603,43,138,636,741,217,83,86,2,15310,73,381,35,38.0,18933,17017,1810,468,56,106,712,787,192,84,81,2,15171,106,388,2023-2024
Cádiz,34,38.0,14990,12985,1915,560,24,130,791,751,170,63,80,0,10763,90,304,34,38.0,19905,17878,1962,628,45,130,758,792,174,63,65,1,15783,65,372,2023-2024
Celta Vigo,31,38.0,17776,15843,1870,526,63,112,661,759,181,65,76,1,13890,63,380,31,38.0,21005,19016,1936,499,33,162,746,865,189,52,89,1,16975,53,395,2023-2024
Getafe,33,38.0,15193,13180,1935,575,20,224,701,803,143,76,37,1,10713,78,313,33,38.0,18849,16675,2033,695,78,136,640,805,173,60,66,1,14502,141,292,2023-2024
Girona,25,38.0,21914,20127,1692,514,56,172,698,624,159,61,67,1,18793,95,314,25,38.0,16590,14841,1700,477,38,124,711,641,161,75,60,1,13335,49,314,2023-2024
Granada,40,38.0,15976,13933,1968,615,46,96,664,795,149,56,51,1,12127,75,345,40,38.0,19420,17386,1926,554,61,162,718,824,201,78,77,1,15485,108,365,2023-2024
Las Palmas,29,38.0,22882,20865,1924,655,66,83,580,761,159,58,55,1,19105,93,392,29,38.0,15778,13845,1769,473,103,121,694,752,211,89,88,2,11893,164,371,2023-2024
Mallorca,25,38.0,15645,13739,1802,444,51,118,763,772,173,57,86,7,11476,104,328,25,38.0,19315,17321,1958,630,34,130,656,832,152,57,46,1,15384,36,277,2023-2024
Osasuna,29,38.0,17335,15309,1958,520,19,124,813,867,170,83,68,1,12874,68,383,29,38.0,19141,17116,1899,561,64,147,694,776,175,75,55,0,14977,126,343,2023-2024
Rayo Vallecano,26,38.0,17459,15351,2012,580,43,141,688,858,169,77,53,2,13282,96,333,26,38.0,17768,15686,1995,637,51,135,682,787,173,67,69,1,13590,87,360,2023-2024
Real Madrid,27,38.0,24691,22843,1769,553,93,224,618,650,211,66,86,0,21794,79,285,27,38.0,17114,15408,1668,435,33,163,680,644,145,62,48,1,14072,38,376,2023-2024
Real Sociedad,31,38.0,19249,17319,1838,534,48,122,672,830,198,103,60,0,15263,92,340,31,38.0,15616,13483,2035,651,27,130,523,829,137,43,62,1,11674,98,322,2023-2024
Sevilla,35,38.0,18599,16643,1879,513,28,206,934,807,180,72,76,0,14628,77,357,35,38.0,18653,16574,2001,528,62,141,698,843,196,56,69,4,14795,78,340,2023-2024
Valencia,29,38.0,16255,14286,1900,550,36,111,593,868,124,23,47,1,12233,69,375,29,38.0,20730,18759,1885,516,52,155,734,850,182,83,62,1,16672,86,344,2023-2024
Villarreal,32,38.0,18637,16709,1836,541,69,143,592,666,174,75,57,2,15349,92,335,32,38.0,19145,17341,1729,550,51,194,886,631,200,78,65,2,15642,75,305,2023-2024
Almería,29,38.0,15855,13865,1907,552,49,132,605,750,147,58,59,1,12151,83,308,29,38.0,19392,17371,1863,501,70,189,851,781,227,80,99,1,15420,158,367,2022-2023
Athletic Club,26,38.0,18630,16594,1940,502,44,191,918,835,257,66,123,1,14440,96,386,26,38.0,17573,15545,1951,580,41,190,579,789,136,56,50,2,13537,77,358,2022-2023
Atlético Madrid,27,38.0,20488,18630,1779,490,83,193,625,702,183,97,46,0,16814,79,345,27,38.0,20021,18229,1735,495,40,228,743,650,185,78,68,1,16384,57,352,2022-2023
Barcelona,29,38.0,24733,22836,1799,565,133,205,744,710,244,82,83,2,21298,98,340,29,38.0,13758,11850,1788,511,41,155,483,672,111,48,46,1,10316,120,306,2022-2023
Betis,30,38.0,18249,16255,1920,634,62,137,514,740,152,46,76,1,14678,74,376,30,38.0,17964,16070,1790,455,61,153,756,771,209,71,98,2,14220,104,370,2022-2023
Cádiz,38,38.0,13952,12025,1852,548,29,150,633,748,145,65,47,3,9940,75,297,38,38.0,19569,17561,1939,570,39,233,852,778,200,63,82,1,15630,69,346,2022-2023
Celta Vigo,26,38.0,18499,16495,1923,557,44,161,705,802,184,65,88,1,14700,81,300,26,38.0,18416,16454,1898,524,49,196,633,849,165,63,78,1,14618,64,353,2022-2023
Elche,32,38.0,15758,13769,1908,494,24,164,750,789,204,72,83,8,12051,81,390,32,38.0,19238,17216,1922,563,62,140,753,785,223,77,84,3,15598,100,331,2022-2023
Espanyol,33,38.0,14698,12685,1951,574,34,115,713,744,179,75,60,3,10827,62,298,33,38.0,19603,17628,1893,487,47,192,730,810,198,61,94,2,15807,82,336,2022-2023
Getafe,25,38.0,14126,12118,1929,524,18,162,649,857,119,58,54,1,9690,79,333,25,38.0,21494,19437,1962,645,48,192,771,819,179,61,75,0,17070,95,355,2022-2023
Girona,29,38.0,18604,16633,1884,576,32,135,713,742,145,66,53,1,15146,87,319,29,38.0,17921,16112,1745,501,45,163,753,678,181,70,70,1,14391,64,321,2022-2023
Mallorca,31,38.0,14261,12483,1701,497,29,150,635,649,139,49,68,0,10451,77,306,31,38.0,20763,18826,1897,657,48,130,822,738,194,54,59,6,16934,40,323,2022-2023
Osasuna,26,38.0,16835,14900,1875,523,26,197,794,799,159,64,65,3,12725,60,345,26,38.0,18199,16063,2027,574,46,175,696,861,192,58,69,4,14139,109,344,2022-2023
Rayo Vallecano,28,38.0,17666,15514,2054,564,29,194,832,901,189,78,69,1,13497,98,365,28,38.0,17027,14931,2011,615,30,182,654,804,180,82,63,3,12926,85,379,2022-2023
Real Madrid,26,38.0,25012,23163,1760,555,65,242,574,653,226,83,53,1,22082,89,353,26,38.0,15986,14341,1589,436,36,121,541,545,145,62,42,3,13004,56,299,2022-2023
Real Sociedad,30,38.0,19134,17244,1799,537,47,107,538,782,165,57,71,1,15324,91,324,30,38.0,16093,13951,2051,691,34,147,570,817,154,51,48,1,12130,91,332,2022-2023
Sevilla,35,38.0,19193,17244,1843,526,36,209,827,746,174,42,81,1,15379,106,307,35,38.0,17319,15346,1898,543,49,187,673,774,170,68,62,2,13660,75,277,2022-2023
Valencia,28,38.0,17492,15405,2007,570,39,164,924,852,226,67,88,0,13592,80,345,28,38.0,16357,14310,1973,559,51,167,594,837,175,77,73,0,12580,74,347,2022-2023
Valladolid,36,38.0,16425,14336,1991,576,33,225,683,786,170,49,91,3,12627,98,365,36,38.0,17448,15392,2003,523,55,141,734,875,211,88,68,2,13635,53,349,2022-2023
Villarreal,32,38.0,19862,17980,1795,574,86,186,520,642,210,96,39,4,16634,87,347,32,38.0,15331,13541,1682,508,50,138,708,596,182,67,69,0,12047,108,304,2022-2023
Alavés,33,38.0,14175,12142,1961,543,27,188,758,825,139,54,63,1,9676,72,310,33,38.0,19908,17714,2105,567,77,202,789,962,231,50,110,3,15404,89,322,2021-2022
Athletic Club,26,38.0,17283,15195,1999,552,42,184,798,880,224,52,102,0,12947,89,332,26,38.0,18950,16909,1974,551,29,332,754,859,161,68,54,1,14696,67,340,2021-2022
Atlético Madrid,26,38.0,19098,17082,1931,534,80,228,703,832,201,72,83,0,15076,85,298,26,38.0,18803,16917,1850,529,32,209,601,729,149,67,64,1,14882,36,316,2021-2022
Barcelona,38,38.0,25006,23093,1814,567,90,193,798,712,219,70,82,0,21489,99,309,38,38.0,13908,12019,1811,571,39,128,500,644,128,52,52,1,10460,78,301,2021-2022
Betis,31,38.0,19444,17513,1860,586,66,181,547,749,174,56,78,0,15702,71,310,31,38.0,16934,14870,1935,530,43,168,764,808,215,96,80,2,13052,129,323,2021-2022
Cádiz,33,38.0,14415,12460,1886,511,37,183,865,795,181,79,63,1,10136,69,312,33,38.0,20783,18843,1877,515,50,183,750,806,176,60,76,3,16729,63,337,2021-2022
Celta Vigo,25,38.0,20591,18578,1930,501,60,169,768,898,167,81,60,1,16007,83,360,25,38.0,16708,14678,1995,562,22,184,609,925,146,56,57,0,12362,35,394,2021-2022
Elche,28,38.0,16836,14819,1943,591,34,180,720,763,155,63,70,1,12948,74,335,28,38.0,18212,16269,1839,547,78,195,767,775,195,74,74,0,14329,104,279,2021-2022
