Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,Tackles Tkl_for,Tackles TklW_for,Tackles Def 3rd_for,Tackles Mid 3rd_for,Tackles Att 3rd_for,Challenges Tkl_for,Challenges Att_for,Challenges Tkl%_for,Challenges Lost_for,Blocks Blocks_for,Blocks Sh_for,Blocks Pass_for,Unnamed: 15_level_0 Int_for,Unnamed: 16_level_0 Tkl+Int_for,Unnamed: 17_level_0 Clr_for,Unnamed: 18_level_0 Err_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,Tackles Tkl_against,Tackles TklW_against,Tackles Def 3rd_against,Tackles Mid 3rd_against,Tackles Att 3rd_against,Challenges Tkl_against,Challenges Att_against,Challenges Tkl%_against,Challenges Lost_against,Blocks Blocks_against,Blocks Sh_against,Blocks Pass_against,Unnamed: 15_level_0 Int_against,Unnamed: 16_level_0 Tkl+Int_against,Unnamed: 17_level_0 Clr_against,Unnamed: 18_level_0 Err_against,Season
Athletic Club,26,30.0,446,318,220,154,72,133,307,43.3,174,338,78,260,249,695,608,4,26,30.0,586,432,270,223,93,236,405,58.3,169,314,71,243,301,887,554,6,2024-2025-femenino
Atlético Madrid,23,30.0,463,329,221,175,67,145,279,52.0,134,340,87,253,287,750,502,5,23,30.0,587,416,309,210,68,218,407,53.6,189,311,76,235,330,917,664,2,2024-2025-femenino
Barcelona,26,30.0,434,330,94,186,154,150,240,62.5,90,241,25,216,217,651,140,8,26,30.0,526,359,396,97,33,234,487,48.0,253,488,230,258,375,901,1024,7,2024-2025-femenino
Dep La Coruña,27,30.0,507,365,292,163,52,184,398,46.2,214,347,99,248,300,807,832,4,27,30.0,503,368,203,206,94,188,423,44.4,235,285,56,229,282,785,391,3,2024-2025-femenino
Eibar,26,30.0,518,363,280,166,72,223,444,50.2,221,385,93,292,322,840,812,2,26,30.0,466,337,237,171,58,150,302,49.7,152,267,49,218,205,671,439,4,2024-2025-femenino
Espanyol,26,30.0,589,428,288,221,80,196,429,45.7,233,375,97,278,376,965,687,5,26,30.0,492,370,241,172,79,177,328,54.0,151,279,46,233,218,710,547,9,2024-2025-femenino
Granada,24,30.0,547,387,258,204,85,233,439,53.1,206,283,71,212,313,860,477,7,24,30.0,482,341,241,168,73,183,380,48.2,197,333,91,242,271,753,653,6,2024-2025-femenino
Levante,25,30.0,607,432,345,187,75,271,499,54.3,228,374,97,277,310,917,613,6,25,30.0,543,392,254,202,87,192,408,47.1,216,349,58,291,345,888,545,6,2024-2025-femenino
Levante Planas,27,30.0,503,350,204,196,103,187,369,50.7,182,298,55,243,284,787,525,3,27,30.0,639,471,328,230,81,214,455,47.0,241,339,83,256,339,978,594,5,2024-2025-femenino
Madrid CFF,26,30.0,529,388,292,190,47,198,374,52.9,176,324,91,233,315,844,625,4,26,30.0,434,300,179,178,77,151,297,50.8,146,355,74,281,341,775,559,4,2024-2025-femenino
Real Betis,26,30.0,575,418,277,220,78,220,446,49.3,226,360,114,246,267,842,615,14,26,30.0,602,440,207,272,123,214,391,54.7,177,339,55,284,337,939,461,5,2024-2025-femenino
Real Madrid,30,30.0,455,336,170,190,95,154,286,53.8,132,249,45,204,311,766,369,7,30,30.0,566,369,336,165,65,234,539,43.4,305,384,141,243,297,863,784,10,2024-2025-femenino
Real Sociedad,26,30.0,575,393,253,228,94,209,412,50.7,203,297,58,239,236,811,486,7,26,30.0,555,418,281,215,59,161,336,47.9,175,358,76,282,359,914,584,7,2024-2025-femenino
Sevilla,22,30.0,549,408,287,214,48,190,432,44.0,242,326,78,248,365,914,685,5,22,30.0,517,379,220,203,94,199,385,51.7,186,280,51,229,292,809,442,7,2024-2025-femenino
UDG Tenerife,28,30.0,502,370,258,185,59,164,354,46.3,190,362,106,256,332,834,692,5,28,30.0,507,375,238,212,57,183,362,50.6,179,257,53,204,244,751,643,2,2024-2025-femenino
Valencia,30,30.0,668,477,385,221,62,248,511,48.5,263,333,71,262,347,1015,678,3,30,30.0,462,325,184,176,102,171,314,54.5,143,294,55,239,295,757,462,6,2024-2025-femenino
