Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,Total Cmp_for,Total Att_for,Total Cmp%_for,Total TotDist_for,Total PrgDist_for,Short Cmp_for,Short Att_for,Short Cmp%_for,Medium Cmp_for,Medium Att_for,Medium Cmp%_for,Long Cmp_for,Long Att_for,Long Cmp%_for,Unnamed: 17_level_0 Ast_for,Unnamed: 18_level_0 xAG_for,Expected xA_for,Expected A-xAG_for,Unnamed: 21_level_0 KP_for,Unnamed: 22_level_0 1/3_for,Unnamed: 23_level_0 PPA_for,Unnamed: 24_level_0 CrsPA_for,Unnamed: 25_level_0 PrgP_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,Total Cmp_against,Total Att_against,Total Cmp%_against,Total TotDist_against,Total PrgDist_against,Short Cmp_against,Short Att_against,Short Cmp%_against,Medium Cmp_against,Medium Att_against,Medium Cmp%_against,Long Cmp_against,Long Att_against,Long Cmp%_against,Unnamed: 17_level_0 Ast_against,Unnamed: 18_level_0 xAG_against,Expected xA_against,Expected A-xAG_against,Unnamed: 21_level_0 KP_against,Unnamed: 22_level_0 1/3_against,Unnamed: 23_level_0 PPA_against,Unnamed: 24_level_0 CrsPA_against,Unnamed: 25_level_0 PrgP_against,Season
Athletic Club,26,30.0,11822,14972,79.0,220346,82560,4498,5269,85.4,5997,6915,86.7,1163,2168,53.6,24,22.4,20.9,1.6,190,899,180,60,1110,26,30.0,10347,13538,76.4,186768,73430,4502,5299,85.0,4445,5378,82.7,1161,2161,53.7,18,22.8,24.8,-4.8,258,950,233,79,1117,2024-2025-femenino
Atlético Madrid,23,30.0,13559,16594,81.7,233286,93234,6206,7030,88.3,5960,6931,86.0,1119,1917,58.4,35,30.8,33.5,4.2,297,1305,273,55,1603,23,30.0,8644,11713,73.8,156567,65767,3796,4448,85.3,3710,4519,82.1,959,2104,45.6,15,19.6,18.6,-4.6,246,697,171,61,814,2024-2025-femenino
Barcelona,26,30.0,19651,22664,86.7,299190,108004,11161,12116,92.1,6890,7781,88.5,1107,1756,63.0,90,81.8,91.3,8.2,705,2333,662,136,2601,26,30.0,5159,7865,65.6,96024,45055,2258,2833,79.7,2133,2798,76.2,654,1788,36.6,9,7.8,5.4,1.2,86,239,54,16,273,2024-2025-femenino
Dep La Coruña,27,30.0,8316,11499,72.3,157188,62989,3126,3887,80.4,4019,4918,81.7,1006,2116,47.5,18,17.6,14.0,0.4,207,592,138,39,762,27,30.0,10950,14397,76.1,193802,76989,4903,5787,84.7,4763,5748,82.9,1073,2111,50.8,32,37.7,41.6,-5.7,363,1106,307,105,1513,2024-2025-femenino
Eibar,26,30.0,4956,8728,56.8,103835,53073,1777,2582,68.8,2150,3157,68.1,908,2468,36.8,16,12.3,12.6,3.7,144,496,102,46,589,26,30.0,13183,17207,76.6,236885,89259,5640,6679,84.4,5986,7135,83.9,1331,2633,50.6,33,31.9,35.5,1.1,306,1382,282,64,1660,2024-2025-femenino
Espanyol,26,30.0,5124,8382,61.1,102614,54713,1951,2649,73.7,2234,3149,70.9,806,2032,39.7,20,17.8,18.4,2.2,185,502,138,58,626,26,30.0,12345,15813,78.1,230628,89076,4881,5770,84.6,5949,6977,85.3,1344,2455,54.7,29,33.1,36.9,-4.1,297,1146,252,62,1356,2024-2025-femenino
Granada,24,30.0,10208,13827,73.8,207866,80857,3433,4229,81.2,5071,6092,83.2,1566,2883,54.3,26,26.0,28.8,0.0,274,869,219,100,1094,24,30.0,8910,12186,73.1,162394,72318,3744,4509,83.0,3843,4827,79.6,1060,2149,49.3,31,29.5,27.5,1.5,237,797,205,42,1030,2024-2025-femenino
Levante,25,30.0,10610,13927,76.2,190663,78031,4554,5365,84.9,4796,5739,83.6,1057,2156,49.0,18,20.0,22.6,-2.0,215,862,176,47,1083,25,30.0,10305,13553,76.0,188613,77240,4208,5031,83.6,4719,5611,84.1,1135,2174,52.2,33,33.9,37.4,-0.9,291,934,215,64,1216,2024-2025-femenino
Levante Planas,27,30.0,10244,13597,75.3,182354,70761,4404,5223,84.3,4591,5581,82.3,1012,2080,48.7,11,21.9,24.5,-10.9,223,964,169,32,1175,27,30.0,10044,13449,74.7,179420,74226,4422,5244,84.3,4394,5333,82.4,1021,2166,47.1,34,24.8,25.5,9.2,212,877,187,62,919,2024-2025-femenino
Madrid CFF,26,30.0,9332,12849,72.6,169778,72574,3985,4904,81.3,4008,5010,80.0,1094,2197,49.8,27,25.3,20.4,1.7,259,697,181,60,884,26,30.0,10086,13473,74.9,185539,78042,4074,4915,82.9,4799,5779,83.0,1027,2198,46.7,42,30.5,28.4,11.5,291,1005,208,49,1159,2024-2025-femenino
Real Betis,26,30.0,8460,11853,71.4,156167,68954,3504,4344,80.7,3721,4612,80.7,1028,2184,47.1,14,15.4,16.4,-1.4,178,644,164,35,877,26,30.0,10529,13830,76.1,193158,79557,4360,5167,84.4,4823,5719,84.3,1123,2212,50.8,39,37.4,34.2,1.6,373,1013,289,90,1300,2024-2025-femenino
Real Madrid,30,30.0,13859,16851,82.2,252930,94539,5763,6574,87.7,6391,7270,87.9,1450,2261,64.1,57,53.6,53.4,3.4,440,1552,389,99,1858,30,30.0,8146,11191,72.8,146556,61995,3616,4254,85.0,3506,4308,81.4,859,2083,41.2,12,12.8,14.1,-0.8,147,575,135,36,704,2024-2025-femenino
Real Sociedad,26,30.0,12654,15838,79.9,225120,87386,5354,6146,87.1,5959,6832,87.2,1121,2134,52.5,28,28.2,27.6,-0.2,277,1161,237,54,1357,26,30.0,8461,11473,73.7,157655,71798,3658,4435,82.5,3540,4386,80.7,1108,2096,52.9,30,28.8,28.0,1.2,256,738,199,56,921,2024-2025-femenino
Sevilla,22,30.0,7661,11070,69.2,143258,62218,3086,3864,79.9,3601,4559,79.0,867,2138,40.6,17,20.8,17.0,-3.8,183,601,108,45,721,22,30.0,11451,14945,76.6,210364,82313,4687,5554,84.4,5341,6370,83.8,1225,2339,52.4,29,26.4,25.3,2.6,269,1058,206,64,1260,2024-2025-femenino
UDG Tenerife,28,30.0,7808,11368,68.7,156205,69945,2785,3615,77.0,3797,4762,79.7,1134,2485,45.6,26,21.7,22.4,4.3,209,688,169,58,851,28,30.0,10917,14495,75.3,198531,78298,4593,5506,83.4,4961,6018,82.4,1133,2279,49.7,25,24.1,26.0,0.9,275,1080,202,49,1224,2024-2025-femenino
Valencia,30,30.0,6881,10188,67.5,134902,61768,2579,3342,77.2,3115,4005,77.8,1014,2218,45.7,16,15.4,18.4,0.6,214,657,136,58,793,30,30.0,11668,15079,77.4,212798,86243,4824,5708,84.5,5388,6407,84.1,1239,2245,55.2,32,29.8,33.0,2.2,293,1225,296,83,1518,2024-2025-femenino
