Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,SCA SCA_for,SCA SCA90_for,SCA Types PassLive_for,SCA Types PassDead_for,SCA Types TO_for,SCA Types Sh_for,SCA Types Fld_for,SCA Types Def_for,GCA GCA_for,GCA GCA90_for,GCA Types PassLive_for,GCA Types PassDead_for,GCA Types TO_for,GCA Types Sh_for,GCA Types Fld_for,GCA Types Def_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,SCA SCA_against,SCA SCA90_against,SCA Types PassLive_against,SCA Types PassDead_against,SCA Types TO_against,SCA Types Sh_against,SCA Types Fld_against,SCA Types Def_against,GCA GCA_against,GCA GCA90_against,GCA Types PassLive_against,GCA Types PassDead_against,GCA Types TO_against,GCA Types Sh_against,GCA Types Fld_against,GCA Types Def_against,Season
Athletic Club,26,30.0,495,16.5,345,59,23,37,25,6,68,2.27,44,9,4,3,7,1,26,30.0,606,20.2,436,57,24,44,25,20,46,1.53,32,2,3,6,1,2,2024-2025-femenino
Atlético Madrid,23,30.0,689,22.97,513,65,36,38,28,9,79,2.63,60,4,6,5,4,0,23,30.0,560,18.67,416,44,21,29,32,18,35,1.17,23,4,2,3,2,1,2024-2025-femenino
Barcelona,26,30.0,1586,52.87,1253,109,65,106,31,22,222,7.4,166,10,14,21,8,3,26,30.0,188,6.27,130,20,12,7,8,11,22,0.73,16,1,2,1,0,2,2024-2025-femenino
Dep La Coruña,27,30.0,476,15.87,331,54,29,30,27,5,44,1.47,30,3,4,3,4,0,27,30.0,831,27.7,595,90,46,49,34,17,76,2.53,51,4,4,11,4,2,2024-2025-femenino
Eibar,26,30.0,368,12.27,227,52,23,16,34,16,39,1.3,20,4,5,3,6,1,26,30.0,723,24.1,561,60,40,32,16,14,71,2.37,50,6,8,2,3,2,2024-2025-femenino
Espanyol,26,30.0,461,15.37,293,71,27,25,36,9,44,1.47,33,6,2,2,1,0,26,30.0,727,24.23,515,64,47,46,40,15,82,2.73,48,6,11,8,6,3,2024-2025-femenino
Granada,24,30.0,628,20.93,449,58,41,37,27,16,71,2.37,48,4,7,6,6,0,24,30.0,541,18.03,395,46,39,29,20,12,74,2.47,44,10,8,6,5,1,2024-2025-femenino
Levante,25,30.0,485,16.17,353,45,31,25,17,14,43,1.43,25,3,6,3,3,3,25,30.0,680,22.67,474,73,39,46,43,5,78,2.6,55,5,11,4,3,0,2024-2025-femenino
Levante Planas,27,30.0,559,18.63,394,38,49,30,37,11,38,1.27,16,3,7,6,6,0,27,30.0,477,15.9,331,56,29,23,23,15,76,2.53,57,8,4,2,5,0,2024-2025-femenino
Madrid CFF,26,30.0,573,19.1,414,56,28,38,20,17,61,2.03,47,4,4,3,2,1,26,30.0,700,23.33,465,81,47,47,35,25,103,3.43,67,6,14,9,7,0,2024-2025-femenino
Real Betis,26,30.0,432,14.4,322,34,20,24,19,13,34,1.13,24,0,1,4,3,2,26,30.0,843,28.1,627,61,35,67,30,23,96,3.2,67,4,8,10,5,2,2024-2025-femenino
Real Madrid,30,30.0,1021,34.03,763,75,68,63,32,20,132,4.4,80,10,14,17,7,4,30,30.0,369,12.3,247,38,21,24,28,11,33,1.1,13,3,1,9,5,2,2024-2025-femenino
Real Sociedad,26,30.0,647,21.57,451,70,34,43,36,13,63,2.1,38,4,11,4,4,2,26,30.0,576,19.2,408,54,37,40,24,13,77,2.57,55,1,6,6,8,1,2024-2025-femenino
Sevilla,22,30.0,441,14.7,285,47,36,18,33,22,43,1.43,24,1,8,6,2,2,22,30.0,664,22.13,488,59,37,40,27,13,79,2.63,60,5,3,6,4,1,2024-2025-femenino
UDG Tenerife,28,30.0,508,16.93,349,59,22,25,34,19,67,2.23,48,5,3,5,4,2,28,30.0,701,23.37,503,66,35,41,41,15,61,2.03,37,6,8,6,4,0,2024-2025-femenino
Valencia,30,30.0,516,17.2,347,48,17,40,37,27,39,1.3,24,6,2,4,3,0,30,30.0,699,23.3,498,71,40,31,47,12,78,2.6,52,5,5,6,8,2,2024-2025-femenino
