Squad,Unnamed: 1_level_0 # Pl_for,Playing Time MP_for,Playing Time Starts_for,Playing Time Min_for,Playing Time 90s_for,Performance GA_for,Performance GA90_for,Performance SoTA_for,Performance Saves_for,Performance Save%_for,Performance W_for,Performance D_for,Performance L_for,Performance CS_for,Performance CS%_for,Penalty Kicks PKatt_for,Penalty Kicks PKA_for,Penalty Kicks PKsv_for,Penalty Kicks PKm_for,Penalty Kicks Save%_for,Unnamed: 1_level_0 # Pl_against,Playing Time MP_against,Playing Time Starts_against,Playing Time Min_against,Playing Time 90s_against,Performance GA_against,Performance GA90_against,Performance SoTA_against,Performance Saves_against,Performance Save%_against,Performance W_against,Performance D_against,Performance L_against,Performance CS_against,Performance CS%_against,Penalty Kicks PKatt_against,Penalty Kicks PKA_against,Penalty Kicks PKsv_against,Penalty Kicks PKm_against,Penalty Kicks Save%_against,Season
Athletic Club,2,30,30,2700,30.0,32,1.07,125,96,75.2,16,3,11,12,40.0,1,1,0,0,0.0,2,30,30,2700,30.0,40,1.33,100,62,64.0,11,3,16,8,26.7,4,4,0,0,0.0,2024-2025-femenino
Atlético Madrid,2,30,30,2700,30.0,23,0.77,102,80,78.4,16,10,4,18,60.0,1,1,0,0,0.0,2,30,30,2700,30.0,49,1.63,159,113,70.4,4,10,16,6,20.0,2,2,0,0,0.0,2024-2025-femenino
Barcelona,3,30,30,2700,30.0,16,0.53,47,31,66.0,28,0,2,17,56.7,0,0,0,0,,3,30,30,2698,30.0,128,4.27,328,201,63.1,2,0,28,0,0.0,7,7,0,0,0.0,2024-2025-femenino
Dep La Coruña,3,30,30,2698,30.0,48,1.6,182,135,74.2,6,9,15,8,26.7,1,1,0,0,0.0,3,30,30,2698,30.0,27,0.9,116,89,77.6,15,9,6,12,40.0,2,1,1,0,50.0,2024-2025-femenino
Eibar,3,30,30,2697,30.0,41,1.37,148,107,73.6,10,8,12,12,40.0,2,2,0,0,0.0,3,30,30,2700,30.0,24,0.8,84,59,75.0,12,8,10,11,36.7,4,3,1,0,25.0,2024-2025-femenino
Espanyol,3,30,30,2700,30.0,50,1.67,154,104,70.1,7,11,12,9,30.0,6,4,2,0,33.3,3,30,30,2700,30.0,29,0.97,95,66,70.5,12,11,7,10,33.3,2,1,1,0,50.0,2024-2025-femenino
Granada,3,30,30,2700,30.0,45,1.5,141,98,69.5,14,3,13,9,30.0,3,2,0,1,0.0,3,30,30,2700,30.0,42,1.4,114,73,66.7,13,3,14,8,26.7,4,4,0,0,0.0,2024-2025-femenino
Levante,2,30,30,2697,30.0,45,1.5,138,91,68.1,8,7,15,6,20.0,4,1,2,1,66.7,2,30,30,2697,30.0,30,1.0,121,90,76.9,15,7,8,11,36.7,2,2,0,0,0.0,2024-2025-femenino
Levante Planas,2,30,30,2700,30.0,45,1.5,107,63,59.8,6,10,14,7,23.3,2,2,0,0,0.0,2,30,30,2700,30.0,24,0.8,120,95,84.2,14,10,6,12,40.0,6,5,1,0,16.7,2024-2025-femenino
Madrid CFF,2,30,30,2700,30.0,62,2.07,148,87,60.8,9,6,15,2,6.7,4,4,0,0,0.0,2,30,30,2700,30.0,37,1.23,128,92,71.9,15,6,9,10,33.3,1,1,0,0,0.0,2024-2025-femenino
Real Betis,2,30,30,2698,30.0,67,2.23,187,121,66.8,6,5,19,4,13.3,6,5,1,0,16.7,2,30,30,2700,30.0,24,0.8,93,70,76.3,19,5,6,16,53.3,2,2,0,0,0.0,2024-2025-femenino
Real Madrid,3,30,30,2700,30.0,28,0.93,83,58,72.3,24,4,2,10,33.3,5,5,0,0,0.0,3,30,30,2691,30.0,87,2.91,231,146,64.1,2,4,24,2,6.7,8,4,2,2,33.3,2024-2025-femenino
Real Sociedad,3,30,30,2698,30.0,45,1.5,130,87,70.0,12,5,13,11,36.7,6,6,0,0,0.0,3,30,30,2700,30.0,40,1.33,142,103,72.5,13,5,12,9,30.0,2,1,1,0,50.0,2024-2025-femenino
Sevilla,2,30,30,2694,30.0,47,1.57,159,110,71.1,10,6,14,9,30.0,3,1,2,0,66.7,2,30,30,2698,30.0,32,1.07,96,65,67.7,14,6,10,11,36.7,1,1,0,0,0.0,2024-2025-femenino
UDG Tenerife,2,30,30,2700,30.0,36,1.2,135,98,75.6,11,9,10,10,33.3,4,3,1,0,25.0,2,30,30,2700,30.0,40,1.33,125,85,70.4,10,9,11,10,33.3,4,3,1,0,25.0,2024-2025-femenino
Valencia,2,30,30,2700,30.0,47,1.57,172,124,75.6,5,8,17,4,13.3,7,5,2,0,28.6,2,30,30,2700,30.0,24,0.8,106,81,79.2,17,8,5,12,40.0,4,2,2,0,50.0,2024-2025-femenino
