Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,Standard Gls_for,Standard Sh_for,Standard SoT_for,Standard SoT%_for,Standard Sh/90_for,Standard SoT/90_for,Standard G/Sh_for,Standard G/SoT_for,Standard Dist_for,Standard FK_for,Standard PK_for,Standard PKatt_for,Expected xG_for,Expected npxG_for,Expected npxG/Sh_for,Expected G-xG_for,Expected np:G-xG_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,Standard Gls_against,Standard Sh_against,Standard SoT_against,Standard SoT%_against,Standard Sh/90_against,Standard SoT/90_against,Standard G/Sh_against,Standard G/SoT_against,Standard Dist_against,Standard FK_against,Standard PK_against,Standard PKatt_against,Expected xG_against,Expected npxG_against,Expected npxG/Sh_against,Expected G-xG_against,Expected np:G-xG_against,Season
Athletic Club,26,30.0,38,284,96,33.8,9.47,3.2,0.12,0.35,16.2,6,4,4,34.5,31.6,0.11,3.5,2.4,26,30.0,29,363,124,34.2,12.1,4.13,0.08,0.23,17.8,12,1,1,32.0,31.3,0.09,-3.0,-3.3,2024-2025-femenino
Atlético Madrid,23,30.0,46,390,157,40.3,13.0,5.23,0.11,0.28,16.5,9,2,2,41.4,39.9,0.11,4.6,4.1,23,30.0,22,340,101,29.7,11.33,3.37,0.06,0.21,19.0,10,1,1,28.3,27.6,0.08,-6.3,-6.6,2024-2025-femenino
Barcelona,26,30.0,127,876,321,36.6,29.2,10.7,0.14,0.37,16.2,16,7,7,109.0,103.9,0.12,18.0,16.1,26,30.0,16,129,47,36.4,4.3,1.57,0.12,0.34,21.3,2,0,0,12.7,12.7,0.1,3.3,3.3,2024-2025-femenino
Dep La Coruña,27,30.0,26,287,114,39.7,9.57,3.8,0.09,0.22,20.0,12,1,2,25.2,23.6,0.08,0.8,1.4,27,30.0,47,493,181,36.7,16.43,6.03,0.09,0.25,17.2,12,1,1,50.9,50.1,0.11,-3.9,-4.1,2024-2025-femenino
Eibar,26,30.0,24,231,80,34.6,7.7,2.67,0.09,0.26,20.2,7,3,4,22.2,19.3,0.08,1.8,1.7,26,30.0,41,418,146,34.9,13.93,4.87,0.09,0.27,17.9,8,2,2,43.9,42.4,0.1,-2.9,-3.4,2024-2025-femenino
Espanyol,26,30.0,28,299,93,31.1,9.97,3.1,0.09,0.29,18.9,10,1,2,27.1,25.6,0.09,0.9,1.4,26,30.0,48,421,148,35.2,14.03,4.93,0.1,0.3,18.0,12,4,6,48.8,44.3,0.11,-0.8,-0.3,2024-2025-femenino
Granada,24,30.0,41,370,110,29.7,12.33,3.67,0.1,0.34,17.5,6,4,4,35.5,32.6,0.09,5.5,4.4,24,30.0,43,330,139,42.1,11.0,4.63,0.12,0.29,16.8,4,2,3,42.6,40.4,0.13,0.4,0.6,2024-2025-femenino
Levante,25,30.0,30,299,119,39.8,9.97,3.97,0.09,0.24,17.8,5,2,2,27.6,26.2,0.09,2.4,1.8,25,30.0,45,402,135,33.6,13.4,4.5,0.11,0.33,17.0,9,1,4,48.1,45.1,0.12,-3.1,-1.1,2024-2025-femenino
Levante Planas,27,30.0,24,327,114,34.9,10.9,3.8,0.06,0.17,19.5,16,5,6,34.6,30.2,0.09,-10.6,-11.2,27,30.0,44,286,105,36.7,9.53,3.5,0.15,0.4,16.8,6,2,2,32.7,31.2,0.11,11.3,10.8,2024-2025-femenino
Madrid CFF,26,30.0,36,354,127,35.9,11.8,4.23,0.1,0.28,19.1,5,1,1,34.1,33.4,0.1,1.9,1.6,26,30.0,61,420,144,34.3,14.0,4.8,0.14,0.4,18.9,13,4,4,41.5,38.7,0.09,19.5,18.3,2024-2025-femenino
Real Betis,26,30.0,23,262,91,34.7,8.73,3.03,0.08,0.23,19.0,6,2,2,22.8,21.4,0.08,0.2,-0.4,26,30.0,64,520,181,34.8,17.33,6.03,0.11,0.33,18.1,12,5,6,56.5,51.9,0.1,7.5,7.1,2024-2025-femenino
Real Madrid,30,30.0,83,593,225,37.9,19.77,7.5,0.13,0.35,17.4,6,4,8,76.1,70.0,0.12,6.9,9.0,30,30.0,25,229,78,34.1,7.63,2.6,0.09,0.26,19.2,9,5,5,22.1,18.4,0.08,2.9,1.6,2024-2025-femenino
Real Sociedad,26,30.0,38,379,140,36.9,12.63,4.67,0.1,0.26,17.6,17,1,2,37.1,35.7,0.1,0.9,1.3,26,30.0,43,328,124,37.8,10.93,4.13,0.11,0.3,18.3,6,6,6,38.4,34.1,0.11,4.6,2.9,2024-2025-femenino
Sevilla,22,30.0,31,283,95,33.6,9.43,3.17,0.11,0.32,20.0,12,1,1,32.2,31.4,0.12,-1.2,-1.4,22,30.0,47,385,156,40.5,12.83,5.2,0.12,0.29,18.4,12,1,3,38.4,36.2,0.1,8.6,9.8,2024-2025-femenino
UDG Tenerife,28,30.0,39,304,121,39.8,10.13,4.03,0.12,0.3,18.6,14,3,4,32.5,29.6,0.1,6.5,6.4,28,30.0,36,410,131,32.0,13.67,4.37,0.08,0.25,20.0,20,3,4,36.6,33.7,0.09,-0.6,-0.7,2024-2025-femenino
Valencia,30,30.0,23,329,102,31.0,10.97,3.4,0.06,0.21,21.2,14,2,4,25.4,22.4,0.07,-2.4,-1.4,30,30.0,46,393,165,42.0,13.1,5.5,0.1,0.25,17.9,14,5,7,44.0,38.7,0.1,2.0,2.3,2024-2025-femenino
