Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 Age_for,Unnamed: 3_level_0 Poss_for,Playing Time MP_for,Playing Time Starts_for,Playing Time Min_for,Playing Time 90s_for,Performance Gls_for,Performance Ast_for,Performance G+A_for,Performance G-PK_for,Performance PK_for,Performance PKatt_for,Performance CrdY_for,Performance CrdR_for,Expected xG_for,Expected npxG_for,Expected xAG_for,Expected npxG+xAG_for,Progression PrgC_for,Progression PrgP_for,Per 90 Minutes Gls_for,Per 90 Minutes Ast_for,Per 90 Minutes G+A_for,Per 90 Minutes G-PK_for,Per 90 Minutes G+A-PK_for,Per 90 Minutes xG_for,Per 90 Minutes xAG_for,Per 90 Minutes xG+xAG_for,Per 90 Minutes npxG_for,Per 90 Minutes npxG+xAG_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 Age_against,Unnamed: 3_level_0 Poss_against,Playing Time MP_against,Playing Time Starts_against,Playing Time Min_against,Playing Time 90s_against,Performance Gls_against,Performance Ast_against,Performance G+A_against,Performance G-PK_against,Performance PK_against,Performance PKatt_against,Performance CrdY_against,Performance CrdR_against,Expected xG_against,Expected npxG_against,Expected xAG_against,Expected npxG+xAG_against,Progression PrgC_against,Progression PrgP_against,Per 90 Minutes Gls_against,Per 90 Minutes Ast_against,Per 90 Minutes G+A_against,Per 90 Minutes G-PK_against,Per 90 Minutes G+A-PK_against,Per 90 Minutes xG_against,Per 90 Minutes xAG_against,Per 90 Minutes xG+xAG_against,Per 90 Minutes npxG_against,Per 90 Minutes npxG+xAG_against,Season
Athletic Club,26,23.3,52.6,30,330,2700,30.0,38,24,62,34,4,4,42,1,34.5,31.6,22.4,53.9,302,1110,1.27,0.8,2.07,1.13,1.93,1.15,0.75,1.9,1.05,1.8,26,25.8,47.4,30,330,2700,30.0,29,18,47,28,1,1,47,1,32.0,31.3,22.8,54.1,382,1117,0.97,0.6,1.57,0.93,1.53,1.07,0.76,1.83,1.04,1.8,2024-2025-femenino
Atlético Madrid,23,25.2,59.1,30,330,2700,30.0,46,35,81,44,2,2,50,1,41.4,39.9,30.8,70.7,494,1603,1.53,1.17,2.7,1.47,2.63,1.38,1.03,2.4,1.33,2.36,23,25.7,40.9,30,330,2700,30.0,22,15,37,21,1,1,55,2,28.3,27.6,19.6,47.2,339,814,0.73,0.5,1.23,0.7,1.2,0.94,0.65,1.6,0.92,1.57,2024-2025-femenino
Barcelona,26,26.0,74.4,30,330,2700,30.0,127,90,217,120,7,7,20,0,109.0,103.9,81.8,185.8,765,2601,4.23,3.0,7.23,4.0,7.0,3.63,2.73,6.36,3.46,6.19,26,25.4,25.6,30,330,2700,30.0,16,9,25,16,0,0,27,2,12.7,12.7,7.8,20.5,154,273,0.53,0.3,0.83,0.53,0.83,0.42,0.26,0.68,0.42,0.68,2024-2025-femenino
Dep La Coruña,27,25.2,45.0,30,330,2700,30.0,26,18,44,25,1,2,45,1,25.2,23.6,17.6,41.2,349,762,0.87,0.6,1.47,0.83,1.43,0.84,0.59,1.43,0.79,1.37,27,25.6,55.0,30,330,2700,30.0,47,32,79,46,1,1,61,2,50.9,50.1,37.7,87.8,525,1513,1.57,1.07,2.63,1.53,2.6,1.7,1.26,2.95,1.67,2.93,2024-2025-femenino
Eibar,26,24.9,34.4,30,330,2700,30.0,24,16,40,21,3,4,43,1,22.2,19.3,12.3,31.7,185,589,0.8,0.53,1.33,0.7,1.23,0.74,0.41,1.15,0.64,1.06,26,25.4,65.6,30,330,2700,30.0,41,33,74,39,2,2,41,2,43.9,42.4,31.9,74.3,555,1660,1.37,1.1,2.47,1.3,2.4,1.46,1.06,2.52,1.41,2.48,2024-2025-femenino
Espanyol,26,25.9,35.2,30,330,2700,30.0,28,20,48,27,1,2,66,4,27.1,25.6,17.8,43.4,303,626,0.93,0.67,1.6,0.9,1.57,0.9,0.59,1.5,0.85,1.45,26,25.4,64.8,30,330,2700,30.0,48,29,77,44,4,6,63,3,48.8,44.3,33.1,77.4,419,1356,1.6,0.97,2.57,1.47,2.43,1.63,1.1,2.73,1.48,2.58,2024-2025-femenino
Granada,24,24.9,53.7,30,330,2700,30.0,41,26,67,37,4,4,50,1,35.5,32.6,26.0,58.6,425,1094,1.37,0.87,2.23,1.23,2.1,1.18,0.87,2.05,1.09,1.95,24,25.5,46.3,30,330,2700,30.0,43,31,74,41,2,3,39,0,42.6,40.4,29.5,69.9,368,1030,1.43,1.03,2.47,1.37,2.4,1.42,0.98,2.4,1.35,2.33,2024-2025-femenino
Levante,25,24.4,51.1,30,330,2700,30.0,30,18,48,28,2,2,49,4,27.6,26.2,20.0,46.1,363,1083,1.0,0.6,1.6,0.93,1.53,0.92,0.67,1.59,0.87,1.54,25,25.8,48.9,30,330,2700,30.0,45,33,78,44,1,4,45,2,48.1,45.1,33.9,79.1,426,1216,1.5,1.1,2.6,1.47,2.57,1.6,1.13,2.74,1.5,2.64,2024-2025-femenino
Levante Planas,27,26.2,50.7,30,330,2700,30.0,24,11,35,19,5,6,60,1,34.6,30.2,21.9,52.1,447,1175,0.8,0.37,1.17,0.63,1.0,1.15,0.73,1.88,1.01,1.74,27,25.5,49.3,30,330,2700,30.0,44,34,78,42,2,2,57,1,32.7,31.2,24.8,56.0,339,919,1.47,1.13,2.6,1.4,2.53,1.09,0.83,1.92,1.04,1.87,2024-2025-femenino
Madrid CFF,26,26.5,49.4,30,330,2700,30.0,36,27,63,35,1,1,39,0,34.1,33.4,25.3,58.7,410,884,1.2,0.9,2.1,1.17,2.07,1.14,0.84,1.98,1.11,1.96,26,25.5,50.6,30,330,2700,30.0,61,42,103,57,4,4,46,1,41.5,38.7,30.5,69.1,374,1159,2.03,1.4,3.43,1.9,3.3,1.38,1.02,2.4,1.29,2.3,2024-2025-femenino
Real Betis,26,27.1,46.9,30,330,2700,30.0,23,14,37,21,2,2,71,3,22.8,21.4,15.4,36.8,271,877,0.77,0.47,1.23,0.7,1.17,0.76,0.51,1.27,0.71,1.23,26,25.5,53.1,30,330,2700,30.0,64,39,103,59,5,6,61,1,56.5,51.9,37.4,89.3,464,1300,2.13,1.3,3.43,1.97,3.27,1.88,1.25,3.13,1.73,2.98,2024-2025-femenino
Real Madrid,30,25.6,60.6,30,330,2700,30.0,83,57,140,79,4,8,38,0,76.1,70.0,53.6,123.6,682,1858,2.77,1.9,4.67,2.63,4.53,2.54,1.79,4.32,2.33,4.12,30,25.4,39.4,30,330,2700,30.0,25,12,37,20,5,5,47,2,22.1,18.4,12.8,31.2,266,704,0.83,0.4,1.23,0.67,1.07,0.74,0.43,1.16,0.61,1.04,2024-2025-femenino
Real Sociedad,26,24.0,58.4,30,330,2700,30.0,38,28,66,37,1,2,44,3,37.1,35.7,28.2,63.8,416,1357,1.27,0.93,2.2,1.23,2.17,1.24,0.94,2.18,1.19,2.13,26,25.6,41.6,30,330,2700,30.0,43,30,73,37,6,6,50,2,38.4,34.1,28.8,62.9,331,921,1.43,1.0,2.43,1.23,2.23,1.28,0.96,2.24,1.14,2.1,2024-2025-femenino
Sevilla,22,26.5,43.2,30,330,2700,30.0,31,17,48,30,1,1,60,4,32.2,31.4,20.8,52.2,298,721,1.03,0.57,1.6,1.0,1.57,1.07,0.69,1.77,1.05,1.74,22,25.4,56.8,30,330,2700,30.0,47,29,76,46,1,3,40,1,38.4,36.2,26.4,62.6,430,1260,1.57,0.97,2.53,1.53,2.5,1.28,0.88,2.16,1.21,2.09,2024-2025-femenino
UDG Tenerife,28,27.5,44.6,30,330,2700,30.0,39,26,65,36,3,4,43,2,32.5,29.6,21.7,51.3,309,851,1.3,0.87,2.17,1.2,2.07,1.08,0.72,1.81,0.99,1.71,28,25.4,55.4,30,330,2700,30.0,36,25,61,33,3,4,46,2,36.6,33.7,24.1,57.8,465,1224,1.2,0.83,2.03,1.1,1.93,1.22,0.8,2.02,1.12,1.93,2024-2025-femenino
Valencia,30,25.1,40.8,30,330,2700,30.0,23,16,39,21,2,4,62,1,25.4,22.4,15.4,37.8,335,793,0.77,0.53,1.3,0.7,1.23,0.85,0.51,1.36,0.75,1.26,30,25.5,59.2,30,330,2700,30.0,46,32,78,41,5,7,57,3,44.0,38.7,29.8,68.5,517,1518,1.53,1.07,2.6,1.37,2.43,1.47,0.99,2.46,1.29,2.28,2024-2025-femenino
