Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 Poss_for,Unnamed: 3_level_0 90s_for,Touches Touches_for,Touches Def Pen_for,Touches Def 3rd_for,Touches Mid 3rd_for,Touches Att 3rd_for,Touches Att Pen_for,Touches Live_for,Take-Ons Att_for,Take-Ons Succ_for,Take-Ons Succ%_for,Take-Ons Tkld_for,Take-Ons Tkld%_for,Carries Carries_for,Carries TotDist_for,Carries PrgDist_for,Carries PrgC_for,Carries 1/3_for,Carries CPA_for,Carries Mis_for,Carries Dis_for,Receiving Rec_for,Receiving PrgR_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 Poss_against,Unnamed: 3_level_0 90s_against,Touches Touches_against,Touches Def Pen_against,Touches Def 3rd_against,Touches Mid 3rd_against,Touches Att 3rd_against,Touches Att Pen_against,Touches Live_against,Take-Ons Att_against,Take-Ons Succ_against,Take-Ons Succ%_against,Take-Ons Tkld_against,Take-Ons Tkld%_against,Carries Carries_against,Carries TotDist_against,Carries PrgDist_against,Carries PrgC_against,Carries 1/3_against,Carries CPA_against,Carries Mis_against,Carries Dis_against,Receiving Rec_against,Receiving PrgR_against,Season
Arsenal,25,56.9,38.0,24056,1844,6064,10362,7808,1282,24054,726,320,44.1,316,43.5,14234,75544,40246,852,540,286,483,382,16894,1801,25,43.1,38.0,19306,2948,7642,7501,4397,632,19303,595,255,42.9,260,43.7,10350,57925,30357,618,413,162,451,338,12077,927,2024-2025 Premier League
Aston Villa,28,50.5,38.0,21699,2646,7301,9257,5362,951,21693,726,327,45.0,299,41.2,12334,68906,36242,720,448,212,508,386,14423,1331,28,49.5,38.0,21614,2408,6804,9497,5515,886,21611,617,236,38.2,310,50.2,12031,65638,34386,688,462,205,491,327,14278,1292,2024-2025 Premier League
Bournemouth,29,48.5,38.0,21618,2217,6444,9314,6128,1005,21611,672,294,43.8,300,44.6,11733,69030,36709,754,534,228,597,350,12855,1474,29,51.5,38.0,22681,2841,8227,9246,5446,934,22677,704,326,46.3,301,42.8,12104,65710,32384,685,452,203,663,390,13911,1280,2024-2025 Premier League
Brentford,28,47.9,38.0,21491,3282,8328,8055,5310,987,21485,627,265,42.3,293,46.7,11412,61938,31661,598,380,213,549,300,13153,1339,28,52.1,38.0,23090,2608,7185,8991,7103,1189,23089,661,282,42.7,314,47.5,12890,68221,36588,835,579,294,507,319,14889,1547,2024-2025 Premier League
Brighton,32,52.3,38.0,23677,2601,7503,10292,6153,1085,23670,797,338,42.4,382,47.9,13919,76882,41746,816,576,263,583,344,15637,1522,32,47.7,38.0,22046,2949,8740,9148,4374,877,22037,795,353,44.4,350,44.0,12304,64473,31459,607,355,243,503,355,14102,1196,2024-2025 Premier League
Chelsea,29,57.1,38.0,25217,2410,7564,11375,6497,1115,25212,783,326,41.6,336,42.9,14501,78314,41394,861,493,317,466,297,17888,1576,29,42.9,38.0,20227,2916,8063,8175,4232,771,20221,627,263,41.9,273,43.5,11048,60917,31015,600,391,179,468,315,12876,1190,2024-2025 Premier League
Crystal Palace,29,42.8,38.0,20389,2570,7689,8441,4456,797,20385,500,209,41.8,241,48.2,10275,51887,25304,510,354,126,491,339,11783,1140,29,57.2,38.0,25561,2451,7644,11861,6291,904,25559,733,319,43.5,324,44.2,14221,76019,39539,686,501,175,582,443,17148,1566,2024-2025 Premier League
Everton,26,40.9,38.0,19408,2462,6930,7927,4762,732,19406,636,283,44.5,305,48.0,9535,51039,25414,486,364,119,525,390,11309,1023,26,59.1,38.0,25864,2401,8222,11641,6229,931,25862,729,318,43.6,338,46.4,15106,79769,42431,724,520,195,549,394,17776,1616,2024-2025 Premier League
Fulham,26,52.3,38.0,23926,2641,8095,9787,6287,954,23922,637,288,45.2,254,39.9,14026,73723,38440,786,544,213,515,281,16043,1544,26,47.7,38.0,22348,2568,7282,10037,5271,825,22344,658,276,41.9,289,43.9,12382,68477,35170,654,459,180,572,390,14544,1384,2024-2025 Premier League
Ipswich Town,32,40.6,38.0,19091,3012,7764,7504,4032,605,19089,643,277,43.1,290,45.1,9384,53235,26144,513,330,150,538,347,11405,920,32,59.4,38.0,25927,2229,7646,11051,7443,1168,25921,674,323,47.9,281,41.7,15621,79646,40213,812,547,286,498,308,18201,1703,2024-2025 Premier League
Leicester City,32,45.4,38.0,21748,2881,8066,9845,4048,632,21745,638,264,41.4,304,47.6,12276,61780,30421,576,365,143,500,336,13828,1072,32,54.6,38.0,25340,2098,7128,11349,7106,1214,25336,782,359,45.9,336,43.0,14685,76672,39044,735,534,236,518,392,17421,1736,2024-2025 Premier League
Liverpool,24,57.7,38.0,25905,2422,7285,11575,7274,1315,25896,677,301,44.5,310,45.8,14931,76208,41047,825,558,322,532,350,18113,1910,24,42.3,38.0,20431,3165,8090,8088,4492,779,20429,740,316,42.7,340,45.9,10760,62080,32543,683,407,241,541,302,12509,1074,2024-2025 Premier League
Manchester City,30,61.3,38.0,28103,2092,6503,12076,9753,1348,28099,799,377,47.2,301,37.7,18077,103744,56163,1146,863,404,476,395,21242,1920,30,38.7,38.0,19488,3154,8514,7370,3783,699,19484,523,235,44.9,214,40.9,10841,55784,27469,546,343,164,487,283,12560,904,2024-2025 Premier League
Manchester Utd,31,53.5,38.0,24734,2553,8593,10460,5908,967,24730,621,252,40.6,323,52.0,15116,75007,37992,697,475,230,521,353,16672,1433,31,46.5,38.0,22105,2507,7059,9848,5437,800,22100,775,323,41.7,400,51.6,12263,65968,33543,672,529,184,489,417,14134,1172,2024-2025 Premier League
Newcastle Utd,24,51.3,38.0,23032,2284,7468,9671,6124,1082,23026,657,282,42.9,298,45.4,13016,71021,36065,759,474,263,491,438,15294,1583,24,48.7,38.0,22228,2680,7157,9564,5732,888,22226,687,298,43.4,306,44.5,12457,65304,33229,667,474,223,543,297,14188,1260,2024-2025 Premier League
Nott'ham Forest,23,41.2,38.0,18996,2463,6477,7689,5063,785,18993,581,259,44.6,233,40.1,8768,49825,26563,633,384,187,563,324,10733,1117,23,58.8,38.0,24861,2141,6917,11116,7047,1068,24858,755,327,43.3,343,45.4,14317,84446,48375,966,599,245,588,355,16672,1868,2024-2025 Premier League
Southampton,36,48.5,38.0,22776,3003,8424,9788,4766,688,22774,736,312,42.4,333,45.2,12656,66945,34286,640,460,165,486,355,15394,1118,36,51.5,38.0,23778,2130,6772,9944,7291,1264,23769,661,304,46.0,280,42.4,13724,72045,37999,814,548,300,429,372,16411,1635,2024-2025 Premier League
Tottenham,31,54.7,38.0,24315,2626,8159,10173,6223,1001,24311,812,308,37.9,425,52.3,15073,82903,41758,840,566,249,538,426,16373,1582,31,45.3,38.0,21039,2561,7305,8457,5517,994,21036,693,302,43.6,296,42.7,11514,60259,29730,660,417,220,497,365,12992,1316,2024-2025 Premier League
West Ham,27,48.4,38.0,22887,2942,8352,9852,4896,839,22884,793,347,43.8,360,45.4,11796,59439,29684,632,394,175,492,392,14712,1214,27,51.6,38.0,23805,2423,7191,10213,6620,1094,23802,605,242,40.0,290,47.9,13771,74244,39404,832,510,242,512,364,15670,1610,2024-2025 Premier League
Wolves,32,48.1,38.0,22329,2578,7797,10051,4750,729,22328,731,324,44.3,315,43.1,12486,66974,34365,607,458,146,591,369,14358,1179,32,51.9,38.0,23658,2351,7218,10397,6274,982,23649,778,296,38.0,373,47.9,13159,70747,36766,767,520,234,557,428,15750,1522,2024-2025 Premier League
Atalanta,32,55.3,38.0,25020,2035,6907,11325,7007,1076,25013,645,257,39.8,330,51.2,15076,80503,42064,897,696,254,574,362,17329,1808,32,44.7,38.0,21205,2790,8216,9243,3956,555,21203,573,234,40.8,272,47.5,11137,57758,27101,510,355,115,603,299,13265,976,2024-2025 Serie A
Bologna,30,58.1,38.0,23304,2070,6703,10984,5817,831,23297,555,221,39.8,266,47.9,13684,70992,33468,639,422,167,598,361,15512,1457,30,41.9,38.0,18117,2704,7710,7369,3241,566,18114,611,255,41.7,283,46.3,9049,46842,21444,440,311,141,557,308,10342,869,2024-2025 Serie A
Cagliari,28,44.9,38.0,19802,2531,7637,8203,4166,645,19799,552,228,41.3,274,49.6,10679,52998,25903,506,339,115,585,294,11974,1140,28,55.1,38.0,23820,2217,7184,11262,5576,864,23814,498,211,42.4,238,47.8,14003,76881,38241,756,548,216,621,300,15925,1490,2024-2025 Serie A
Como,38,54.6,38.0,23246,2359,7668,10461,5315,791,23244,622,264,42.4,288,46.3,14108,70678,35128,658,463,202,577,360,15729,1371,38,45.4,38.0,20145,2452,7535,8695,4136,636,20137,653,288,44.1,303,46.4,11073,57995,28814,539,369,132,524,360,12668,1106,2024-2025 Serie A
Empoli,34,41.7,38.0,18255,2279,6509,8088,3861,562,18252,505,212,42.0,238,47.1,8486,43445,20518,428,284,102,594,349,9986,1004,34,58.3,38.0,24163,2469,7992,10874,5490,824,24160,612,234,38.2,309,50.5,13687,70351,32220,588,461,162,582,380,15959,1386,2024-2025 Serie A
Fiorentina,34,51.0,38.0,21431,2419,7306,9857,4479,671,21423,600,270,45.0,254,42.3,12538,66795,32278,620,479,164,535,306,14051,1226,34,49.0,38.0,21017,2165,6702,9865,4642,739,21014,549,240,43.7,248,45.2,12226,66938,34823,675,429,148,530,283,13680,1265,2024-2025 Serie A
Genoa,37,45.6,38.0,20080,2523,7477,8829,3958,644,20078,505,187,37.0,260,51.5,10006,52887,25471,470,343,112,593,289,11902,967,37,54.4,38.0,23029,2327,7364,10399,5459,832,23021,650,283,43.5,283,43.5,13102,65300,31780,609,484,166,587,389,14943,1359,2024-2025 Serie A
Hellas Verona,32,38.7,38.0,17659,2055,5973,8025,3869,532,17657,508,228,44.9,233,45.9,8757,47190,22203,449,338,100,533,254,9765,998,32,61.3,38.0,25434,2078,7310,12632,5689,799,25430,665,281,42.3,311,46.8,14985,78285,41167,665,502,158,567,361,17750,1582,2024-2025 Serie A
