Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 Age_for,Playing Time MP_for,Playing Time Min_for,Playing Time Mn/MP_for,Playing Time Min%_for,Playing Time 90s_for,Starts Starts_for,Starts Mn/Start_for,Starts Compl_for,Subs Subs_for,Subs Mn/Sub_for,Subs unSub_for,Team Success PPM_for,Team Success onG_for,Team Success onGA_for,Team Success +/-_for,Team Success +/-90_for,Team Success (xG) onxG_for,Team Success (xG) onxGA_for,Team Success (xG) xG+/-_for,Team Success (xG) xG+/-90_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 Age_against,Playing Time MP_against,Playing Time Min_against,Playing Time Mn/MP_against,Playing Time Min%_against,Playing Time 90s_against,Starts Starts_against,Starts Mn/Start_against,Starts Compl_against,Subs Subs_against,Subs Mn/Sub_against,Subs unSub_against,Team Success PPM_against,Team Success onG_against,Team Success onGA_against,Team Success +/-_against,Team Success +/-90_against,Team Success (xG) onxG_against,Team Success (xG) onxGA_against,Team Success (xG) xG+/-_against,Team Success (xG) xG+/-90_against,Season
Arsenal,25,25.8,38,3420,90,100,38.0,418,83,272,142,18,200,1.95,69,34,35,0.92,59.9,34.4,25.5,0.67,25,26.1,38,3420,90,100,38.0,418,83,259,157,21,185,0.68,34,69,-35,-0.92,34.4,59.9,-25.5,-0.67,2024-2025 Premier League
Aston Villa,28,27.0,38,3420,90,100,38.0,418,80,246,170,23,170,1.74,58,51,7,0.18,56.1,50.1,5.9,0.16,28,26.3,38,3420,90,100,38.0,418,80,263,157,18,185,1.03,51,58,-7,-0.18,50.1,56.1,-5.9,-0.16,2024-2025 Premier League
Bournemouth,29,25.1,38,3420,90,100,38.0,418,83,254,162,18,180,1.47,58,46,12,0.32,64.0,48.5,15.5,0.41,29,26.4,38,3420,90,100,38.0,418,83,254,160,20,182,1.24,46,58,-12,-0.32,48.5,64.0,-15.5,-0.41,2024-2025 Premier League
Brentford,28,25.8,38,3420,90,100,38.0,418,85,277,142,15,200,1.47,66,57,9,0.24,59.0,55.4,3.6,0.09,28,26.4,38,3420,90,100,38.0,418,85,251,165,20,177,1.32,57,66,-9,-0.24,55.4,59.0,-3.6,-0.09,2024-2025 Premier League
Brighton,32,24.8,38,3420,90,100,38.0,418,82,231,184,18,158,1.61,66,59,7,0.18,58.7,54.6,4.1,0.11,32,26.2,38,3420,90,100,38.0,418,82,254,163,20,179,1.05,59,66,-7,-0.18,54.6,58.7,-4.1,-0.11,2024-2025 Premier League
Chelsea,29,23.7,38,3420,90,100,38.0,418,83,277,140,19,202,1.82,64,43,21,0.55,67.8,47.3,20.5,0.54,29,26.5,38,3420,90,100,38.0,418,83,263,154,19,188,0.95,43,64,-21,-0.55,47.3,67.8,-20.5,-0.54,2024-2025 Premier League
Crystal Palace,29,26.2,38,3420,90,100,38.0,418,83,268,148,18,192,1.39,51,51,0,0.0,60.4,49.1,11.3,0.3,29,26.1,38,3420,90,100,38.0,418,83,259,156,20,186,1.24,51,51,0,0.0,49.1,60.4,-11.3,-0.3,2024-2025 Premier League
Everton,26,28.0,38,3420,90,100,38.0,418,84,286,130,19,211,1.26,42,44,-2,-0.05,41.8,46.2,-4.5,-0.12,26,26.2,38,3420,90,100,38.0,418,84,266,151,18,190,1.34,44,42,2,0.05,46.2,41.8,4.5,0.12,2024-2025 Premier League
Fulham,26,28.1,38,3420,90,100,38.0,418,83,239,179,17,163,1.42,54,54,0,0.0,49.0,47.2,1.8,0.05,26,26.3,38,3420,90,100,38.0,418,83,258,160,18,181,1.34,54,54,0,0.0,47.2,49.0,-1.8,-0.05,2024-2025 Premier League
Ipswich Town,32,25.8,38,3420,90,100,38.0,418,82,237,178,17,164,0.58,36,82,-46,-1.21,34.4,72.7,-38.3,-1.01,32,26.3,38,3420,90,100,38.0,418,82,255,162,18,178,2.16,82,36,46,1.21,72.7,34.4,38.3,1.01,2024-2025 Premier League
Leicester City,32,26.6,38,3420,90,100,38.0,418,82,250,168,19,174,0.66,33,80,-47,-1.24,32.6,71.9,-39.3,-1.03,32,26.3,38,3420,90,100,38.0,418,82,253,165,17,175,2.16,80,33,47,1.24,71.9,32.6,39.3,1.03,2024-2025 Premier League
Liverpool,24,27.2,38,3420,90,100,38.0,418,82,252,165,20,177,2.21,86,41,45,1.18,82.2,38.6,43.6,1.15,24,26.1,38,3420,90,100,38.0,418,82,257,160,20,179,0.55,41,86,-45,-1.18,38.6,82.2,-43.6,-1.15,2024-2025 Premier League
Manchester City,30,26.8,38,3420,90,100,38.0,418,85,286,131,16,207,1.87,72,44,28,0.74,68.1,47.7,20.4,0.54,30,26.2,38,3420,90,100,38.0,418,85,255,161,18,180,0.92,44,72,-28,-0.74,47.7,68.1,-20.4,-0.54,2024-2025 Premier League
Manchester Utd,31,25.5,38,3420,90,100,38.0,418,81,256,161,23,180,1.11,44,54,-10,-0.26,52.6,53.8,-1.3,-0.03,31,26.4,38,3420,90,100,38.0,418,81,256,159,17,183,1.66,54,44,10,0.26,53.8,52.6,1.3,0.03,2024-2025 Premier League
Newcastle Utd,24,27.4,38,3420,90,100,38.0,418,83,254,163,18,179,1.74,68,47,21,0.55,63.8,45.5,18.3,0.48,24,26.3,38,3420,90,100,38.0,418,83,254,161,19,180,1.11,47,68,-21,-0.55,45.5,63.8,-18.3,-0.48,2024-2025 Premier League
Nott'ham Forest,23,26.1,38,3420,90,100,38.0,418,83,249,167,18,174,1.71,58,46,12,0.32,45.5,48.9,-3.4,-0.09,23,26.2,38,3420,90,100,38.0,418,83,255,162,20,180,1.08,46,58,-12,-0.32,48.9,45.5,3.4,0.09,2024-2025 Premier League
Southampton,36,25.2,38,3420,90,100,38.0,418,80,237,180,22,162,0.32,26,86,-60,-1.58,32.7,84.8,-52.1,-1.37,36,26.2,38,3420,90,100,38.0,418,80,249,168,19,172,2.53,86,26,60,1.58,84.8,32.7,52.1,1.37,2024-2025 Premier League
Tottenham,31,25.0,38,3420,90,100,38.0,418,82,261,158,22,183,1.0,64,65,-1,-0.03,58.8,63.3,-4.5,-0.12,31,26.2,38,3420,90,100,38.0,418,82,259,158,18,184,1.87,65,64,1,0.03,63.3,58.8,4.5,0.12,2024-2025 Premier League
West Ham,27,28.1,38,3420,90,100,38.0,418,81,243,172,22,170,1.13,46,62,-16,-0.42,47.0,59.7,-12.7,-0.33,27,26.1,38,3420,90,100,38.0,418,81,256,162,18,180,1.61,62,46,16,0.42,59.7,47.0,12.7,0.33,2024-2025 Premier League
Wolves,32,26.9,38,3420,90,100,38.0,418,83,250,167,18,174,1.11,54,69,-15,-0.39,43.7,58.1,-14.5,-0.38,32,26.2,38,3420,90,100,38.0,418,83,249,166,20,176,1.74,69,54,15,0.39,58.1,43.7,14.5,0.38,2024-2025 Premier League
Atalanta,32,27.1,38,3420,90,100,38.0,418,79,233,185,24,250,1.95,78,37,41,1.08,65.0,38.6,26.4,0.69,32,26.2,38,3420,90,100,38.0,418,79,242,175,22,289,0.84,37,78,-41,-1.08,38.6,65.0,-26.4,-0.69,2024-2025 Serie A
Bologna,30,26.4,38,3420,90,100,38.0,418,80,230,185,21,335,1.63,57,47,10,0.26,49.3,36.7,12.6,0.33,30,26.3,38,3420,90,100,38.0,418,80,240,178,21,286,1.0,47,57,-10,-0.26,36.7,49.3,-12.6,-0.33,2024-2025 Serie A
Cagliari,28,26.6,38,3420,90,100,38.0,418,80,233,182,22,307,0.95,40,56,-16,-0.42,42.7,55.3,-12.6,-0.33,28,26.4,38,3420,90,100,38.0,418,80,235,181,21,284,1.82,56,40,16,0.42,55.3,42.7,12.6,0.33,2024-2025 Serie A
Como,38,26.3,38,3420,90,100,38.0,418,81,229,187,18,308,1.29,49,52,-3,-0.08,45.4,43.0,2.4,0.06,38,26.3,38,3420,90,100,38.0,418,81,233,183,23,286,1.45,52,49,3,0.08,43.0,45.4,-2.4,-0.06,2024-2025 Serie A
Empoli,34,25.4,38,3420,90,100,38.0,418,82,245,169,19,292,0.82,33,59,-26,-0.68,32.5,50.1,-17.6,-0.46,34,26.5,38,3420,90,100,38.0,418,82,240,175,23,306,1.84,59,33,26,0.68,50.1,32.5,17.6,0.46,2024-2025 Serie A
Fiorentina,34,26.3,37,3419,92,100,38.0,407,82,236,172,20,253,1.68,57,41,16,0.42,48.9,42.8,6.1,0.16,34,26.3,37,3419,92,100,38.0,407,82,236,168,22,283,1.11,41,57,-16,-0.42,42.8,48.9,-6.1,-0.16,2024-2025 Serie A
Genoa,37,26.2,38,3420,90,100,38.0,418,81,249,170,22,319,1.13,37,49,-12,-0.32,37.2,47.2,-10.0,-0.26,37,26.3,38,3420,90,100,38.0,418,81,243,175,21,292,1.53,49,37,12,0.32,47.2,37.2,10.0,0.26,2024-2025 Serie A
Hellas Verona,32,25.1,38,3420,90,100,38.0,418,80,231,180,23,368,0.97,34,66,-32,-0.84,33.8,53.4,-19.6,-0.51,32,26.2,38,3420,90,100,38.0,418,80,237,180,20,277,1.84,66,34,32,0.84,53.4,33.8,19.6,0.51,2024-2025 Serie A
Inter,26,29.4,37,3419,92,100,38.0,407,80,225,183,22,273,2.19,79,32,47,1.24,66.9,36.4,30.5,0.8,26,26.2,37,3419,92,100,38.0,407,80,236,168,21,280,0.57,32,79,-47,-1.24,36.4,66.9,-30.5,-0.8,2024-2025 Serie A
Juventus,29,24.6,38,3420,90,100,38.0,418,82,255,164,20,203,1.84,58,35,23,0.61,51.0,34.0,16.9,0.45,29,26.4,38,3420,90,100,38.0,418,82,240,180,21,287,0.74,35,58,-23,-0.61,34.0,51.0,-16.9,-0.45,2024-2025 Serie A
Lazio,27,27.1,38,3420,90,100,38.0,418,80,239,174,22,244,1.71,61,49,12,0.32,57.2,37.7,19.5,0.51,27,26.2,38,3420,90,100,38.0,418,80,233,176,21,293,1.0,49,61,-12,-0.32,37.7,57.2,-19.5,-0.51,2024-2025 Serie A
Lecce,31,26.1,38,3420,90,100,38.0,418,80,245,168,24,339,0.89,27,58,-31,-0.82,34.6,57.1,-22.5,-0.59,31,26.4,38,3420,90,100,38.0,418,80,236,179,22,284,1.84,58,27,31,0.82,57.1,34.6,22.5,0.59,2024-2025 Serie A
Milan,35,25.6,38,3420,90,100,38.0,418,81,249,166,22,282,1.66,61,43,18,0.47,63.7,41.3,22.4,0.59,35,26.4,38,3420,90,100,38.0,418,81,237,180,19,289,1.11,43,61,-18,-0.47,41.3,63.7,-22.4,-0.59,2024-2025 Serie A
Monza,36,26.8,38,3420,90,100,38.0,418,81,243,172,20,310,0.47,28,69,-41,-1.08,29.9,54.7,-24.8,-0.65,36,26.2,38,3420,90,100,38.0,418,81,244,175,21,298,2.29,69,28,41,1.08,54.7,29.9,24.8,0.65,2024-2025 Serie A
Napoli,27,28.6,38,3420,90,100,38.0,418,85,260,158,14,269,2.16,59,27,32,0.84,52.9,29.6,23.3,0.61,27,26.0,38,3420,90,100,38.0,418,85,241,176,20,298,0.58,27,59,-32,-0.84,29.6,52.9,-23.3,-0.61,2024-2025 Serie A
Parma,32,23.8,38,3420,90,100,38.0,418,78,234,185,26,284,0.95,44,58,-14,-0.37,43.1,56.4,-13.3,-0.35,32,26.4,38,3420,90,100,38.0,418,78,245,170,20,296,1.66,58,44,14,0.37,56.4,43.1,13.3,0.35,2024-2025 Serie A
Roma,28,26.5,38,3420,90,100,38.0,418,81,247,171,21,317,1.82,56,35,21,0.55,53.0,40.9,12.1,0.32,28,26.3,38,3420,90,100,38.0,418,81,239,175,24,294,0.95,35,56,-21,-0.55,40.9,53.0,-12.1,-0.32,2024-2025 Serie A
Torino,31,26.7,38,3420,90,100,38.0,418,80,236,179,21,253,1.16,39,45,-6,-0.16,34.6,50.4,-15.8,-0.42,31,26.3,38,3420,90,100,38.0,418,80,251,167,20,303,1.47,45,39,6,0.16,50.4,34.6,15.8,0.42,2024-2025 Serie A
Udinese,31,26.4,38,3420,90,100,38.0,418,80,232,181,21,278,1.16,41,56,-15,-0.39,38.2,52.6,-14.4,-0.38,31,26.5,38,3420,90,100,38.0,418,80,236,180,20,280,1.63,56,41,15,0.39,52.6,38.2,14.4,0.38,2024-2025 Serie A
Venezia,36,25.4,38,3420,90,100,38.0,418,81,232,187,19,317,0.76,32,56,-24,-0.63,35.8,57.5,-21.7,-0.57,36,26.4,38,3420,90,100,38.0,418,81,239,177,20,296,1.87,56,32,24,0.63,57.5,35.8,21.7,0.57,2024-2025 Serie A
Angers,30,27.5,34,3060,90,100,34.0,374,81,216,157,20,148,1.06,32,53,-21,-0.62,36.0,57.8,-21.8,-0.64,30,25.9,34,3060,90,100,34.0,374,81,218,151,20,155,1.76,53,32,21,0.62,57.8,36.0,21.8,0.64,2024-2025 Ligue 1
Auxerre,29,25.9,34,3060,90,100,34.0,374,83,215,155,16,151,1.24,48,51,-3,-0.09,41.0,58.6,-17.6,-0.52,29,25.9,34,3060,90,100,34.0,374,83,214,158,20,148,1.5,51,48,3,0.09,58.6,41.0,17.6,0.52,2024-2025 Ligue 1
Brest,30,28.2,34,3060,90,100,34.0,374,82,226,147,20,152,1.47,52,59,-7,-0.21,45.4,57.4,-12.0,-0.35,30,25.7,34,3060,90,100,34.0,374,82,225,150,19,155,1.38,59,52,7,0.21,57.4,45.4,12.0,0.35,2024-2025 Ligue 1
Le Havre,31,26.9,34,3060,90,100,34.0,374,82,224,147,19,159,1.0,40,71,-31,-0.91,41.4,62.8,-21.4,-0.63,31,25.9,34,3060,90,100,34.0,374,82,217,153,20,153,1.88,71,40,31,0.91,62.8,41.4,21.4,0.63,2024-2025 Ligue 1
Lens,33,27.1,34,3060,90,100,34.0,374,81,214,158,19,146,1.53,42,39,3,0.09,51.8,45.3,6.5,0.19,33,25.9,34,3060,90,100,34.0,374,81,233,140,19,165,1.26,39,42,-3,-0.09,45.3,51.8,-6.5,-0.19,2024-2025 Ligue 1
Lille,27,26.1,34,3060,90,100,34.0,374,82,218,156,20,149,1.76,52,36,16,0.47,54.7,42.5,12.2,0.36,27,25.9,34,3060,90,100,34.0,374,82,216,152,19,152,0.97,36,52,-16,-0.47,42.5,54.7,-12.2,-0.36,2024-2025 Ligue 1
Lyon,31,27.4,34,3060,90,100,34.0,374,83,232,143,18,163,1.68,65,46,19,0.56,60.3,45.7,14.6,0.43,31,25.7,34,3060,90,100,34.0,374,83,217,156,17,146,1.15,46,65,-19,-0.56,45.7,60.3,-14.6,-0.43,2024-2025 Ligue 1
Marseille,32,26.7,34,3060,90,100,34.0,374,81,225,147,21,158,1.91,74,47,27,0.79,63.8,45.2,18.6,0.55,32,25.9,34,3060,90,100,34.0,374,81,229,143,18,161,0.94,47,74,-27,-0.79,45.2,63.8,-18.6,-0.55,2024-2025 Ligue 1
Monaco,28,24.4,34,3060,90,100,34.0,374,82,219,153,19,152,1.79,63,41,22,0.65,72.8,34.8,38.0,1.12,28,26.1,34,3060,90,100,34.0,374,82,231,140,19,166,1.0,41,63,-22,-0.65,34.8,72.8,-38.0,-1.12,2024-2025 Ligue 1
Montpellier,35,26.1,34,3060,90,100,34.0,374,81,219,151,23,147,0.47,23,79,-56,-1.65,33.5,63.3,-29.9,-0.88,35,25.7,34,3060,90,100,34.0,374,81,221,153,18,153,2.41,79,23,56,1.65,63.3,33.5,29.9,0.88,2024-2025 Ligue 1
