Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,Goals GA_for,Goals PKA_for,Goals FK_for,Goals CK_for,Goals OG_for,Expected PSxG_for,Expected PSxG/SoT_for,Expected PSxG+/-_for,Expected /90_for,Launched Cmp_for,Launched Att_for,Launched Cmp%_for,Passes Att (GK)_for,Passes Thr_for,Passes Launch%_for,Passes AvgLen_for,Goal Kicks Att_for,Goal Kicks Launch%_for,Goal Kicks AvgLen_for,Crosses Opp_for,Crosses Stp_for,Crosses Stp%_for,Sweeper #OPA_for,Sweeper #OPA/90_for,Sweeper AvgDist_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,Goals GA_against,Goals PKA_against,Goals FK_against,Goals CK_against,Goals OG_against,Expected PSxG_against,Expected PSxG/SoT_against,Expected PSxG+/-_against,Expected /90_against,Launched Cmp_against,Launched Att_against,Launched Cmp%_against,Passes Att (GK)_against,Passes Thr_against,Passes Launch%_against,Passes AvgLen_against,Goal Kicks Att_against,Goal Kicks Launch%_against,Goal Kicks AvgLen_against,Crosses Opp_against,Crosses Stp_against,Crosses Stp%_against,Sweeper #OPA_against,Sweeper #OPA/90_against,Sweeper AvgDist_against,Season
Arsenal,1,38.0,34,3,2,8,0,35.1,0.28,1.1,0.03,149,478,31.2,1210,178,31.2,29.9,200,50.0,38.6,402,53,13.2,66,1.74,17.2,1,38.0,69,2,0,12,2,61.5,0.35,-5.5,-0.14,215,661,32.5,1123,116,44.9,37.7,309,50.8,39.1,602,33,5.5,33,0.87,11.8,2024-2025 Premier League
Aston Villa,2,38.0,51,2,1,2,0,52.1,0.32,1.1,0.03,181,474,38.2,1182,133,29.5,30.4,299,41.8,35.1,538,59,11.0,35,0.92,13.7,2,38.0,58,3,0,9,2,57.7,0.33,1.7,0.04,149,380,39.2,882,167,30.6,32.4,262,42.0,34.2,462,40,8.7,44,1.16,13.1,2024-2025 Premier League
Bournemouth,3,38.0,46,4,1,5,0,54.8,0.3,8.8,0.23,174,465,37.4,960,158,35.2,32.9,266,47.7,39.4,460,25,5.4,62,1.63,16.0,3,38.0,58,6,1,5,1,65.0,0.3,8.0,0.21,242,673,36.0,1233,155,41.2,36.5,343,48.1,37.5,637,47,7.4,50,1.32,13.7,2024-2025 Premier League
Brentford,2,38.0,57,1,0,2,3,53.3,0.26,-0.7,-0.02,264,697,37.9,1453,129,36.3,34.4,327,51.7,41.3,597,48,8.0,34,0.89,11.5,2,38.0,66,5,0,5,1,67.3,0.36,2.3,0.06,187,583,32.1,1160,184,40.3,35.7,252,45.6,36.6,534,44,8.2,67,1.76,15.6,2024-2025 Premier League
Brighton,2,38.0,59,9,1,4,2,51.5,0.3,-5.5,-0.15,129,402,32.1,1178,129,29.3,25.1,243,23.5,23.1,436,29,6.7,50,1.32,15.4,2,38.0,66,7,2,6,2,67.8,0.33,3.8,0.1,204,619,33.0,1368,187,35.5,33.4,298,44.6,36.2,541,29,5.4,64,1.68,15.8,2024-2025 Premier League
Chelsea,2,38.0,43,5,0,5,0,45.0,0.26,2.0,0.05,105,457,23.0,1207,209,34.5,33.4,224,17.9,20.9,423,49,11.6,59,1.55,14.5,2,38.0,64,4,2,7,3,68.9,0.32,7.9,0.21,180,583,30.9,1207,196,36.5,34.1,310,45.8,37.0,495,33,6.7,44,1.16,13.7,2024-2025 Premier League
Crystal Palace,1,38.0,51,1,1,5,3,51.2,0.35,3.2,0.08,157,600,26.2,922,115,48.5,38.5,293,52.2,42.4,559,30,5.4,40,1.05,14.3,1,38.0,51,3,1,10,2,57.5,0.31,8.5,0.22,179,449,39.9,1224,206,27.8,30.3,248,44.0,36.8,490,39,8.0,54,1.42,14.4,2024-2025 Premier League
Everton,1,38.0,44,0,1,6,0,48.8,0.3,4.8,0.13,304,806,37.7,1297,161,51.0,39.7,289,50.2,40.7,558,31,5.6,57,1.5,15.2,1,38.0,42,2,1,4,3,40.3,0.28,1.3,0.03,101,332,30.4,1107,201,22.6,29.1,244,33.6,30.9,539,43,8.0,33,0.87,12.5,2024-2025 Premier League
Fulham,1,38.0,54,3,0,6,2,48.9,0.29,-3.1,-0.08,141,367,38.4,1138,167,24.5,28.9,265,33.2,30.2,507,23,4.5,33,0.87,13.3,1,38.0,54,3,0,3,1,55.3,0.31,2.3,0.06,140,480,29.2,1017,166,35.0,34.2,296,41.9,35.6,661,33,5.0,48,1.26,14.6,2024-2025 Premier League
Ipswich Town,3,38.0,82,6,0,11,2,73.6,0.33,-6.4,-0.17,189,531,35.6,1000,184,36.6,34.3,306,53.9,41.4,609,71,11.7,35,0.92,8.2,3,38.0,36,2,0,4,1,35.3,0.28,0.3,0.01,105,439,23.9,1154,112,29.5,31.8,206,48.1,38.6,388,37,9.5,46,1.21,15.0,2024-2025 Premier League
