Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,SCA SCA_for,SCA SCA90_for,SCA Types PassLive_for,SCA Types PassDead_for,SCA Types TO_for,SCA Types Sh_for,SCA Types Fld_for,SCA Types Def_for,GCA GCA_for,GCA GCA90_for,GCA Types PassLive_for,GCA Types PassDead_for,GCA Types TO_for,GCA Types Sh_for,GCA Types Fld_for,GCA Types Def_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,SCA SCA_against,SCA SCA90_against,SCA Types PassLive_against,SCA Types PassDead_against,SCA Types TO_against,SCA Types Sh_against,SCA Types Fld_against,SCA Types Def_against,GCA GCA_against,GCA GCA90_against,GCA Types PassLive_against,GCA Types PassDead_against,GCA Types TO_against,GCA Types Sh_against,GCA Types Fld_against,GCA Types Def_against,Season
Arsenal,25,38.0,969,25.5,726,82,52,64,34,11,119,3.13,86,11,6,11,4,1,25,38.0,646,17.0,480,47,32,40,31,16,61,1.61,37,8,2,5,7,2,2024-2025 Premier League
Aston Villa,28,38.0,849,22.34,602,85,51,58,39,14,102,2.68,80,7,3,6,4,2,28,38.0,818,21.53,637,52,38,46,29,16,86,2.26,66,3,5,4,5,3,2024-2025 Premier League
Bournemouth,29,38.0,1012,26.63,767,68,44,70,42,21,93,2.45,62,6,5,8,10,2,29,38.0,878,23.11,647,78,54,46,39,14,84,2.21,59,5,10,4,5,1,2024-2025 Premier League
Brentford,28,38.0,780,20.53,569,74,40,51,35,11,113,2.97,78,11,5,9,9,1,28,38.0,1152,30.32,913,67,57,69,30,16,96,2.53,85,1,3,5,1,1,2024-2025 Premier League
Brighton,32,38.0,933,24.55,685,70,56,53,55,14,113,2.97,78,7,10,6,10,2,32,38.0,746,19.63,539,69,49,44,35,10,97,2.55,64,6,7,9,10,1,2024-2025 Premier League
Chelsea,29,38.0,1061,27.92,811,60,58,70,39,23,109,2.87,75,5,9,9,7,4,29,38.0,698,18.37,514,55,40,33,40,16,73,1.92,48,5,9,4,5,2,2024-2025 Premier League
Crystal Palace,29,38.0,877,23.08,633,76,33,71,48,16,89,2.34,60,8,6,8,6,1,29,38.0,850,22.37,610,77,45,78,24,16,84,2.21,55,6,5,10,4,4,2024-2025 Premier League
Everton,26,38.0,713,18.76,530,65,44,31,31,12,68,1.79,46,4,6,4,5,3,26,38.0,846,22.26,624,74,45,60,29,14,74,1.95,58,2,5,5,1,3,2024-2025 Premier League
Fulham,26,38.0,940,24.74,718,73,38,70,25,16,99,2.61,80,3,5,4,4,3,26,38.0,756,19.89,519,76,55,41,56,9,90,2.37,64,7,5,7,5,2,2024-2025 Premier League
Ipswich Town,32,38.0,658,17.32,458,72,51,30,33,14,58,1.53,46,2,6,2,2,0,32,38.0,1080,28.42,837,67,63,65,33,15,142,3.74,108,7,7,12,7,1,2024-2025 Premier League
Leicester City,32,38.0,585,15.39,427,49,44,26,34,5,56,1.47,37,4,6,5,4,0,32,38.0,1136,29.89,827,88,68,79,49,25,134,3.53,105,7,5,12,5,0,2024-2025 Premier League
Liverpool,24,38.0,1151,30.29,881,70,82,73,27,18,147,3.87,111,7,12,10,6,1,24,38.0,659,17.34,491,44,40,38,39,7,66,1.74,45,7,4,5,4,1,2024-2025 Premier League
Manchester City,30,38.0,1096,28.84,852,69,68,56,41,10,125,3.29,95,3,11,10,4,2,30,38.0,626,16.47,483,51,29,32,19,12,76,2.0,59,5,5,1,5,1,2024-2025 Premier League
Manchester Utd,31,38.0,939,24.71,711,78,38,61,36,15,70,1.84,45,4,5,6,6,4,31,38.0,714,18.79,498,64,50,54,38,10,86,2.26,61,6,5,9,4,1,2024-2025 Premier League
Newcastle Utd,24,38.0,938,24.68,711,73,39,53,37,25,115,3.03,94,7,3,5,4,2,24,38.0,832,21.89,616,65,48,54,33,16,79,2.08,63,5,4,1,4,2,2024-2025 Premier League
Nott'ham Forest,23,38.0,798,21.0,569,74,35,60,40,20,91,2.39,58,10,3,8,8,4,23,38.0,941,24.76,698,89,67,51,26,10,80,2.11,55,4,9,8,3,1,2024-2025 Premier League
Southampton,36,38.0,616,16.21,427,56,51,46,28,8,42,1.11,23,5,3,9,1,1,36,38.0,1207,31.76,870,84,72,92,51,38,144,3.79,94,12,11,14,7,6,2024-2025 Premier League
Tottenham,31,38.0,875,23.03,648,67,53,59,36,12,106,2.79,79,7,8,7,4,1,31,38.0,903,23.76,656,72,60,70,30,15,110,2.89,78,8,8,9,4,3,2024-2025 Premier League
West Ham,27,38.0,815,21.45,582,69,48,65,34,17,67,1.76,42,5,3,13,3,1,27,38.0,1041,27.39,797,81,30,66,48,19,99,2.61,69,7,6,8,6,3,2024-2025 Premier League
Wolves,32,38.0,756,19.89,547,57,58,36,34,24,96,2.53,77,5,7,1,2,4,32,38.0,832,21.89,598,87,41,45,49,12,117,3.08,79,10,7,9,11,1,2024-2025 Premier League
Atalanta,32,38.0,966,25.42,736,75,51,71,22,11,131,3.45,105,5,4,13,4,0,32,38.0,697,18.34,510,57,26,53,38,13,60,1.58,44,4,4,4,2,2,2024-2025 Serie A
Bologna,30,38.0,913,24.03,666,84,39,53,51,20,103,2.71,78,3,3,9,7,3,30,38.0,571,15.03,384,68,39,36,31,13,79,2.08,58,4,8,7,2,0,2024-2025 Serie A
Cagliari,28,38.0,748,19.68,516,88,36,66,34,8,71,1.87,54,4,2,5,5,1,28,38.0,890,23.42,667,69,37,69,38,10,99,2.61,64,7,7,15,5,1,2024-2025 Serie A
Como,38,38.0,920,24.21,673,84,44,66,40,13,79,2.08,66,2,5,3,1,2,38,38.0,655,17.24,449,54,40,40,45,27,90,2.37,65,5,7,6,5,2,2024-2025 Serie A
Empoli,34,38.0,638,16.79,452,53,41,35,39,18,51,1.34,35,4,5,4,2,1,34,38.0,916,24.11,670,88,48,62,37,11,100,2.63,75,5,5,10,2,3,2024-2025 Serie A
