Squad,Unnamed: 1_level_0 # Pl_for,Playing Time MP_for,Playing Time Starts_for,Playing Time Min_for,Playing Time 90s_for,Performance GA_for,Performance GA90_for,Performance SoTA_for,Performance Saves_for,Performance Save%_for,Performance W_for,Performance D_for,Performance L_for,Performance CS_for,Performance CS%_for,Penalty Kicks PKatt_for,Penalty Kicks PKA_for,Penalty Kicks PKsv_for,Penalty Kicks PKm_for,Penalty Kicks Save%_for,Unnamed: 1_level_0 # Pl_against,Playing Time MP_against,Playing Time Starts_against,Playing Time Min_against,Playing Time 90s_against,Performance GA_against,Performance GA90_against,Performance SoTA_against,Performance Saves_against,Performance Save%_against,Performance W_against,Performance D_against,Performance L_against,Performance CS_against,Performance CS%_against,Penalty Kicks PKatt_against,Penalty Kicks PKA_against,Penalty Kicks PKsv_against,Penalty Kicks PKm_against,Penalty Kicks Save%_against,Season
Arsenal,1,38,38,3420,38.0,34,0.89,120,86,74.2,20,14,4,13,34.2,3,3,0,0,0.0,1,38,38,3420,38.0,69,1.82,180,113,62.8,4,14,20,5,13.2,2,2,0,0,0.0,2024-2025 Premier League
Aston Villa,2,38,38,3420,38.0,51,1.34,156,104,68.6,19,9,10,9,23.7,3,2,1,0,33.3,2,38,38,3420,38.0,58,1.53,165,106,66.7,10,9,19,7,18.4,6,3,3,0,50.0,2024-2025 Premier League
Bournemouth,3,38,38,3420,38.0,46,1.21,172,126,75.6,15,11,12,9,23.7,4,4,0,0,0.0,3,38,38,3420,38.0,58,1.53,199,141,73.9,12,11,15,8,21.1,7,6,1,0,14.3,2024-2025 Premier League
Brentford,2,38,38,3420,38.0,57,1.5,207,153,72.9,16,8,14,8,21.1,1,1,0,0,0.0,2,38,38,3420,38.0,66,1.74,179,113,65.9,14,8,16,8,21.1,6,5,1,0,16.7,2024-2025 Premier League
Brighton,2,38,38,3420,38.0,59,1.55,147,90,66.0,16,13,9,8,21.1,9,9,0,0,0.0,2,38,38,3420,38.0,66,1.74,190,126,68.9,9,13,16,5,13.2,7,7,0,0,0.0,2024-2025 Premier League
Chelsea,2,38,38,3420,38.0,43,1.13,155,111,75.5,20,9,9,11,28.9,6,5,1,0,16.7,2,38,38,3420,38.0,64,1.68,208,146,71.2,9,9,20,7,18.4,5,4,1,0,20.0,2024-2025 Premier League
Crystal Palace,1,38,38,3420,38.0,51,1.34,150,101,66.7,13,14,11,11,28.9,2,1,1,0,50.0,1,38,38,3420,38.0,51,1.34,179,129,73.2,11,14,13,8,21.1,4,3,1,0,25.0,2024-2025 Premier League
Everton,1,38,38,3420,38.0,44,1.16,163,117,73.0,11,15,12,12,31.6,2,0,2,0,100.0,1,38,38,3420,38.0,42,1.11,141,102,71.6,12,15,11,15,39.5,2,2,0,0,0.0,2024-2025 Premier League
Fulham,1,38,38,3420,38.0,54,1.42,159,106,67.9,15,9,14,5,13.2,4,3,1,0,25.0,1,38,38,3420,38.0,54,1.42,171,117,70.2,14,9,15,7,18.4,4,3,1,0,25.0,2024-2025 Premier League
Ipswich Town,3,38,38,3420,38.0,82,2.16,210,130,63.8,4,10,24,2,5.3,6,6,0,0,0.0,3,38,38,3420,38.0,36,0.95,122,87,72.1,24,10,4,14,36.8,2,2,0,0,0.0,2024-2025 Premier League
Leicester City,3,38,38,3420,38.0,80,2.11,209,131,63.2,6,7,25,3,7.9,4,3,1,0,25.0,3,38,38,3420,38.0,33,0.87,108,74,71.3,25,7,6,17,44.7,3,2,1,0,33.3,2024-2025 Premier League
Liverpool,3,38,38,3420,38.0,41,1.08,138,98,71.0,25,9,4,14,36.8,2,1,1,0,50.0,3,38,38,3420,38.0,86,2.26,224,139,65.6,4,9,25,1,2.6,9,9,0,0,0.0,2024-2025 Premier League
Manchester City,2,38,38,3420,38.0,44,1.16,128,86,68.8,21,8,9,13,34.2,4,4,0,0,0.0,2,38,38,3420,38.0,72,1.89,212,140,67.5,9,8,21,6,15.8,4,3,1,0,25.0,2024-2025 Premier League
Manchester Utd,2,38,38,3420,38.0,54,1.42,149,96,65.8,11,9,18,10,26.3,4,3,1,0,25.0,2,38,38,3420,38.0,44,1.16,172,130,76.7,18,9,11,15,39.5,4,4,0,0,0.0,2024-2025 Premier League
Newcastle Utd,2,38,38,3420,38.0,47,1.24,161,115,71.4,20,6,12,13,34.2,2,1,1,0,50.0,2,38,38,3420,38.0,68,1.79,169,102,62.7,12,6,20,7,18.4,6,5,1,0,16.7,2024-2025 Premier League
Nott'ham Forest,1,38,38,3420,38.0,46,1.21,165,119,73.9,19,8,11,13,34.2,3,3,0,0,0.0,1,38,38,3420,38.0,58,1.53,165,108,66.7,11,8,19,8,21.1,3,3,0,0,0.0,2024-2025 Premier League
Southampton,3,38,38,3420,38.0,86,2.26,245,157,67.8,2,6,30,3,7.9,9,7,2,0,22.2,3,38,38,3420,38.0,26,0.68,108,81,75.9,30,6,2,16,42.1,2,0,2,0,100.0,2024-2025 Premier League
Tottenham,4,38,38,3420,38.0,65,1.71,180,119,65.6,11,5,22,6,15.8,3,3,0,0,0.0,4,38,38,3420,38.0,64,1.68,181,119,66.3,22,5,11,9,23.7,4,3,1,0,25.0,2024-2025 Premier League
West Ham,2,38,38,3420,38.0,62,1.63,186,127,68.3,11,10,17,7,18.4,3,3,0,0,0.0,2,38,38,3420,38.0,46,1.21,140,97,69.3,17,10,11,8,21.1,3,3,0,0,0.0,2024-2025 Premier League
Wolves,4,38,38,3420,38.0,69,1.82,168,100,63.1,12,6,20,8,21.1,9,7,2,0,22.2,4,38,38,3420,38.0,54,1.42,155,102,65.2,20,6,12,7,18.4,0,0,0,0,,2024-2025 Premier League
Atalanta,3,38,38,3420,38.0,37,0.97,147,112,76.2,22,8,8,15,39.5,2,2,0,0,0.0,3,38,38,3420,38.0,78,2.05,188,110,61.2,8,8,22,7,18.4,7,5,2,0,28.6,2024-2025 Serie A
Bologna,2,38,38,3420,38.0,47,1.24,106,60,57.5,16,14,8,12,31.6,3,2,1,0,33.3,2,38,38,3420,38.0,57,1.5,173,116,70.5,8,14,16,7,18.4,7,6,1,0,14.3,2024-2025 Serie A
Cagliari,4,38,38,3420,38.0,56,1.47,153,97,67.3,9,9,20,7,18.4,6,6,0,0,0.0,4,38,38,3420,38.0,40,1.05,118,80,68.6,20,9,9,15,39.5,3,3,0,0,0.0,2024-2025 Serie A
Como,3,38,38,3420,38.0,52,1.37,143,91,68.5,13,10,15,7,18.4,7,7,0,0,0.0,3,38,38,3420,38.0,49,1.29,177,132,72.3,15,10,13,8,21.1,2,0,1,1,100.0,2024-2025 Serie A
