Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,Goals GA_for,Goals PKA_for,Goals FK_for,Goals CK_for,Goals OG_for,Expected PSxG_for,Expected PSxG/SoT_for,Expected PSxG+/-_for,Expected /90_for,Launched Cmp_for,Launched Att_for,Launched Cmp%_for,Passes Att (GK)_for,Passes Thr_for,Passes Launch%_for,Passes AvgLen_for,Goal Kicks Att_for,Goal Kicks Launch%_for,Goal Kicks AvgLen_for,Crosses Opp_for,Crosses Stp_for,Crosses Stp%_for,Sweeper #OPA_for,Sweeper #OPA/90_for,Sweeper AvgDist_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,Goals GA_against,Goals PKA_against,Goals FK_against,Goals CK_against,Goals OG_against,Expected PSxG_against,Expected PSxG/SoT_against,Expected PSxG+/-_against,Expected /90_against,Launched Cmp_against,Launched Att_against,Launched Cmp%_against,Passes Att (GK)_against,Passes Thr_against,Passes Launch%_against,Passes AvgLen_against,Goal Kicks Att_against,Goal Kicks Launch%_against,Goal Kicks AvgLen_against,Crosses Opp_against,Crosses Stp_against,Crosses Stp%_against,Sweeper #OPA_against,Sweeper #OPA/90_against,Sweeper AvgDist_against,Season
Alavés,3,38.0,48,11,2,4,2,46.0,0.29,0.0,0.0,361,877,41.2,869,82,71.5,47.7,307,83.4,58.6,552,36,6.5,31,0.82,12.7,3,38.0,38,9,0,4,0,43.8,0.27,5.8,0.15,207,550,37.6,1023,198,39.2,35.7,302,49.3,41.0,621,48,7.7,51,1.34,14.8,2024-2025
Athletic Club,3,38.0,29,3,2,4,1,31.5,0.25,3.5,0.09,190,540,35.2,948,157,39.9,34.4,229,70.7,52.7,449,41,9.1,48,1.26,15.5,3,38.0,54,3,0,10,1,51.7,0.31,-1.3,-0.03,228,598,38.1,1195,188,35.6,33.8,337,51.3,41.8,598,36,6.0,32,0.84,12.8,2024-2025
Atlético Madrid,2,38.0,30,5,1,3,2,25.7,0.19,-2.3,-0.06,110,286,38.5,683,194,24.3,30.2,323,37.2,34.9,511,30,5.9,28,0.74,14.0,2,38.0,68,6,2,4,0,69.2,0.36,1.2,0.03,193,531,36.3,1011,164,40.1,36.3,285,44.2,38.9,505,38,7.5,52,1.37,14.6,2024-2025
Barcelona,3,38.0,39,4,0,3,0,35.1,0.3,-3.9,-0.1,62,172,36.0,1139,181,11.9,25.1,194,19.1,27.7,356,15,4.2,158,4.16,20.2,3,38.0,102,7,1,9,3,89.8,0.35,-9.2,-0.24,242,703,34.4,906,171,53.4,42.4,360,60.8,44.9,564,29,5.1,37,0.97,11.4,2024-2025
Betis,3,38.0,50,4,2,8,1,49.1,0.33,0.1,0.0,115,376,30.6,1027,177,28.6,31.2,230,35.7,34.3,516,30,5.8,51,1.34,11.7,3,38.0,57,7,1,8,2,56.7,0.27,1.7,0.05,186,571,32.6,986,155,42.1,36.8,303,51.5,41.9,474,37,7.8,52,1.37,14.1,2024-2025
Celta Vigo,2,38.0,57,3,0,9,2,48.9,0.32,-6.1,-0.16,69,242,28.5,805,210,18.4,27.3,282,33.3,32.9,501,27,5.4,49,1.29,14.0,2,38.0,59,8,1,3,1,61.0,0.31,3.0,0.08,223,616,36.2,1135,137,41.8,37.0,248,57.3,44.4,377,23,6.1,81,2.13,18.9,2024-2025
Espanyol,1,38.0,51,4,2,6,1,57.7,0.28,7.7,0.2,194,526,36.9,930,197,41.9,34.8,326,41.7,34.9,670,64,9.6,35,0.92,12.0,1,38.0,40,5,1,6,2,33.4,0.3,-4.6,-0.12,151,389,38.8,930,166,30.0,32.0,247,44.5,38.7,480,32,6.7,64,1.68,16.3,2024-2025
Getafe,1,38.0,39,8,0,5,0,42.0,0.29,3.0,0.08,300,799,37.5,711,68,73.4,48.8,312,88.8,60.1,479,25,5.2,39,1.03,14.7,1,38.0,34,5,1,4,0,37.1,0.27,3.1,0.08,182,587,31.0,1081,175,39.6,36.9,323,49.2,41.3,567,48,8.5,39,1.03,13.2,2024-2025
Girona,3,38.0,60,3,1,7,1,53.0,0.3,-6.0,-0.16,107,328,32.6,1049,152,23.6,29.4,251,31.9,33.2,463,40,8.6,35,0.92,12.6,3,38.0,44,4,0,7,1,43.8,0.29,0.8,0.02,146,465,31.4,871,117,38.5,36.4,268,48.5,40.3,602,29,4.8,31,0.82,12.8,2024-2025
Las Palmas,2,38.0,61,5,0,4,3,63.7,0.31,5.7,0.15,193,584,33.0,1203,195,39.5,32.5,318,34.3,33.3,561,22,3.9,36,0.95,15.6,2,38.0,40,3,3,4,2,37.3,0.25,-0.7,-0.02,155,451,34.4,907,142,33.6,33.9,268,54.5,43.6,500,29,5.8,41,1.08,14.6,2024-2025
