Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,Performance CrdY_for,Performance CrdR_for,Performance 2CrdY_for,Performance Fls_for,Performance Fld_for,Performance Off_for,Performance Crs_for,Performance Int_for,Performance TklW_for,Performance PKwon_for,Performance PKcon_for,Performance OG_for,Performance Recov_for,Aerial Duels Won_for,Aerial Duels Lost_for,Aerial Duels Won%_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,Performance CrdY_against,Performance CrdR_against,Performance 2CrdY_against,Performance Fls_against,Performance Fld_against,Performance Off_against,Performance Crs_against,Performance Int_against,Performance TklW_against,Performance PKwon_against,Performance PKcon_against,Performance OG_against,Performance Recov_against,Aerial Duels Won_against,Aerial Duels Lost_against,Aerial Duels Won%_against,Season
Alavés,29,38.0,107,5,2,623,476,77,798,309,459,8,11,2,1499,639,694,47.9,29,38.0,107,5,0,504,590,64,722,287,328,6,11,0,1420,694,639,52.1,2024-2025
Athletic Club,31,38.0,64,3,1,483,386,68,772,344,345,5,5,1,1735,496,514,49.1,31,38.0,83,4,2,406,462,84,592,361,471,5,6,1,1624,514,496,50.9,2024-2025
Atlético Madrid,24,38.0,75,3,0,412,427,72,675,260,375,4,5,2,1563,445,420,51.4,24,38.0,68,0,0,450,384,37,656,369,365,3,7,0,1547,420,445,48.6,2024-2025
Barcelona,28,38.0,63,3,1,368,465,65,709,227,332,8,4,0,1673,380,339,52.9,28,38.0,89,2,0,479,351,181,482,381,405,4,8,3,1499,339,380,47.1,2024-2025
Betis,36,38.0,75,4,0,433,524,56,627,356,397,9,4,1,1679,464,478,49.3,36,38.0,102,7,3,552,408,92,683,332,459,3,10,2,1618,478,464,50.7,2024-2025
Celta Vigo,30,38.0,84,6,3,462,436,67,501,282,340,6,4,2,1532,375,439,46.1,30,38.0,88,7,2,455,447,75,667,390,382,2,9,1,1698,439,375,53.9,2024-2025
Espanyol,27,38.0,88,1,0,498,432,61,619,315,397,5,6,1,1364,493,504,49.4,27,38.0,66,2,0,457,469,53,858,292,309,6,5,2,1576,504,493,50.6,2024-2025
Getafe,30,38.0,110,7,3,602,506,90,721,276,393,3,9,0,1436,771,738,51.1,30,38.0,101,5,1,529,561,85,626,282,391,7,5,0,1419,738,771,48.9,2024-2025
Girona,30,38.0,76,2,0,437,439,79,804,279,348,4,6,1,1443,321,344,48.3,30,38.0,80,4,1,460,426,44,607,277,348,6,5,1,1414,344,321,51.7,2024-2025
Las Palmas,34,38.0,110,4,2,452,462,59,674,321,370,1,10,3,1454,529,561,48.5,34,38.0,90,7,2,489,431,99,740,307,360,9,4,2,1625,561,529,51.5,2024-2025
Leganés,26,38.0,82,6,0,503,470,84,495,332,384,7,8,3,1500,472,614,43.5,26,38.0,74,1,0,492,475,47,879,279,351,6,7,1,1568,614,472,56.5,2024-2025
Mallorca,28,38.0,81,6,1,466,432,78,735,326,361,4,3,1,1523,672,609,52.5,28,38.0,70,2,0,451,440,41,821,272,402,1,5,1,1546,609,672,47.5,2024-2025
Osasuna,25,38.0,88,0,0,508,379,66,819,266,365,9,7,1,1461,617,515,54.5,25,38.0,81,6,2,405,485,103,704,250,385,7,9,2,1532,515,617,45.5,2024-2025
Rayo Vallecano,26,38.0,96,3,0,522,391,79,769,334,396,1,8,1,1688,485,540,47.3,26,38.0,78,4,1,422,499,50,678,314,398,7,1,3,1600,540,485,52.7,2024-2025
Real Madrid,30,38.0,57,4,0,332,518,85,578,331,359,11,3,1,1541,334,267,55.6,30,38.0,89,6,1,534,316,43,554,333,408,3,14,0,1467,267,334,44.4,2024-2025
Real Sociedad,31,38.0,85,4,0,501,417,82,740,283,401,3,7,0,1569,578,606,48.8,31,38.0,82,0,0,446,479,85,610,292,377,4,4,1,1530,606,578,51.2,2024-2025
Sevilla,35,38.0,98,8,3,494,402,70,612,367,390,1,6,1,1551,531,442,54.6,35,38.0,93,4,0,433,469,62,661,283,375,4,3,3,1409,442,531,45.4,2024-2025
Valencia,32,38.0,86,1,0,442,446,72,763,302,415,4,9,3,1550,449,540,45.4,32,38.0,86,3,1,474,418,107,691,293,388,6,5,1,1589,540,449,54.6,2024-2025
Valladolid,38,38.0,91,5,2,459,486,67,671,311,357,3,7,1,1355,544,524,50.9,38,38.0,86,3,2,505,434,60,743,211,329,6,5,0,1489,524,544,49.1,2024-2025
Villarreal,31,38.0,96,4,1,442,463,77,674,281,396,6,8,1,1547,492,399,55.2,31,38.0,99,7,1,496,413,42,782,297,349,7,7,2,1493,399,492,44.8,2024-2025
Alavés,30,38.0,84,1,0,481,449,69,830,279,347,7,8,2,1807,574,625,47.9,30,38.0,102,7,3,476,451,60,686,233,340,6,7,3,1752,625,574,52.1,2023-2024
Almería,35,38.0,93,6,4,478,493,75,659,313,372,2,9,0,1716,557,587,48.7,35,38.0,72,4,0,509,450,73,828,280,364,6,2,1,1780,587,557,51.3,2023-2024
Athletic Club,27,38.0,80,5,3,511,428,78,845,278,362,4,5,4,2010,541,525,50.8,27,38.0,82,3,2,453,487,91,626,370,428,2,5,2,2051,525,541,49.2,2023-2024
Atlético Madrid,27,38.0,89,5,3,438,447,123,621,256,399,4,2,0,1896,422,392,51.8,27,38.0,79,2,0,471,411,37,764,298,318,1,6,2,1846,392,422,48.2,2023-2024
Barcelona,29,38.0,87,2,1,412,469,99,651,257,363,6,2,0,1789,453,399,53.2,29,38.0,98,8,2,491,401,117,574,318,392,2,7,3,1678,399,453,46.8,2023-2024
Betis,35,38.0,87,3,1,429,497,73,636,345,440,1,8,3,1921,479,500,48.9,35,38.0,97,5,3,521,411,106,712,314,464,7,3,2,1864,500,479,51.1,2023-2024
Cádiz,34,38.0,107,7,0,576,498,90,791,298,398,2,2,1,1831,632,673,48.4,34,38.0,97,4,2,525,550,65,758,243,370,1,3,1,1871,673,632,51.6,2023-2024
Celta Vigo,31,38.0,66,5,2,463,485,63,661,297,382,4,8,3,1908,522,548,48.8,31,38.0,89,4,1,496,445,53,746,335,382,7,5,1,1879,548,522,51.2,2023-2024
Getafe,33,38.0,135,10,5,648,437,78,701,307,364,3,7,0,1773,657,692,48.7,33,38.0,105,10,4,464,623,141,640,261,348,6,7,0,1878,692,657,51.3,2023-2024
Girona,25,38.0,75,1,0,406,471,95,698,257,340,7,7,0,1808,373,390,48.9,25,38.0,104,5,3,495,383,49,711,301,423,5,8,1,1745,390,373,51.1,2023-2024
Granada,40,38.0,98,4,1,514,504,75,664,280,374,5,6,2,1708,484,540,47.3,40,38.0,92,5,1,534,495,108,718,290,344,6,8,3,1884,540,484,52.7,2023-2024
Las Palmas,29,38.0,84,5,1,411,499,93,580,281,397,3,9,3,1846,395,489,44.7,29,38.0,97,5,2,525,378,164,694,335,415,8,5,0,1963,489,395,55.3,2023-2024
Mallorca,25,38.0,105,4,2,567,412,104,763,365,388,2,5,1,1816,773,686,53.0,25,38.0,53,1,0,434,538,36,656,295,318,3,3,0,1802,686,773,47.0,2023-2024
Osasuna,29,38.0,78,5,1,518,392,68,813,263,311,4,2,0,1802,750,655,53.4,29,38.0,92,6,2,420,500,126,694,291,339,1,5,0,1887,655,750,46.6,2023-2024
Rayo Vallecano,26,38.0,108,5,3,563,518,96,688,308,372,3,2,2,1908,506,578,46.7,26,38.0,105,7,3,557,535,87,682,285,408,0,6,0,1934,578,506,53.3,2023-2024
Real Madrid,27,38.0,69,4,1,368,523,79,618,296,368,3,1,1,1766,329,272,54.7,27,38.0,95,0,0,548,354,38,680,296,389,0,5,2,1609,272,329,45.3,2023-2024
Real Sociedad,31,38.0,98,2,0,604,442,92,672,253,405,1,7,1,1816,759,714,51.5,31,38.0,100,6,3,469,570,98,523,278,368,4,4,3,1665,714,759,48.5,2023-2024
Sevilla,35,38.0,108,4,0,477,443,77,934,313,463,1,5,2,1901,610,525,53.7,35,38.0,81,3,1,464,445,78,698,236,347,1,2,2,1720,525,610,46.3,2023-2024
Valencia,29,38.0,64,5,2,481,475,69,593,324,379,7,6,2,1863,485,628,43.6,29,38.0,102,5,0,495,456,86,734,269,379,5,9,1,1898,628,485,56.4,2023-2024
Villarreal,32,38.0,110,8,4,488,462,92,592,304,348,5,6,1,1697,474,357,57.0,32,38.0,91,2,2,486,461,75,886,346,436,3,7,1,1876,357,474,43.0,2023-2024
Almería,29,38.0,98,4,2,443,401,83,605,322,322,2,6,1,1890,482,530,47.6,29,38.0,93,5,2,427,427,158,851,249,369,5,3,0,2010,530,482,52.4,2022-2023
Athletic Club,26,38.0,81,5,1,512,421,96,918,310,369,3,3,3,2194,532,487,52.2,26,38.0,97,3,1,449,479,77,579,384,416,3,7,1,2087,487,532,47.8,2022-2023
Atlético Madrid,27,38.0,92,8,3,440,418,79,625,304,408,0,5,0,1977,445,399,52.7,27,38.0,93,6,2,449,419,57,743,368,317,3,1,2,2011,399,445,47.3,2022-2023
Barcelona,29,38.0,84,6,3,433,452,98,744,253,324,0,3,3,1995,467,359,56.5,29,38.0,93,8,2,471,412,120,483,369,385,3,2,1,1831,359,467,43.5,2022-2023
Betis,30,38.0,83,15,3,414,535,74,514,364,421,4,3,1,1918,453,502,47.4,30,38.0,99,8,1,568,389,104,756,324,417,2,9,3,1977,502,453,52.6,2022-2023
Cádiz,38,38.0,116,7,4,532,482,75,633,270,410,2,10,0,1953,606,651,48.2,38,38.0,100,11,5,508,503,69,852,242,374,6,5,1,1954,651,606,51.8,2022-2023
Celta Vigo,26,38.0,85,6,3,469,493,81,705,368,413,2,8,1,2031,458,539,45.9,26,38.0,112,9,3,520,446,64,633,394,356,6,3,2,2018,539,458,54.1,2022-2023
Elche,32,38.0,99,12,3,525,394,81,750,323,363,4,10,2,1924,484,465,51.0,32,38.0,83,8,4,417,499,100,753,288,402,7,5,0,1979,465,484,49.0,2022-2023
Espanyol,33,38.0,99,10,4,457,493,62,713,338,379,3,6,2,1791,647,596,52.1,33,38.0,111,8,5,515,443,82,730,238,326,4,5,1,1886,596,647,47.9,2022-2023
Getafe,25,38.0,126,9,6,600,437,79,649,320,339,3,8,2,1871,714,697,50.6,25,38.0,91,7,4,463,559,95,771,300,290,2,8,0,2137,697,714,49.4,2022-2023
Girona,29,38.0,92,3,2,440,507,87,713,266,321,7,8,0,1836,428,435,49.6,29,38.0,91,5,1,537,423,64,753,304,415,6,9,3,1905,435,428,50.4,2022-2023
Mallorca,31,38.0,120,5,0,611,457,77,635,318,344,4,7,0,1833,674,629,51.7,31,38.0,94,4,1,482,591,40,822,231,296,4,5,1,1900,629,674,48.3,2022-2023
Osasuna,26,38.0,93,7,1,544,410,60,794,315,328,5,4,2,1930,613,628,49.4,26,38.0,81,9,5,430,513,109,696,311,332,4,5,1,1892,628,613,50.6,2022-2023
Rayo Vallecano,28,38.0,90,6,2,544,490,98,832,309,393,2,5,4,2085,437,527,45.3,28,38.0,93,7,4,525,514,85,654,345,391,2,8,4,2125,527,437,54.7,2022-2023
Real Madrid,26,38.0,72,3,2,367,530,89,574,296,353,8,5,1,1843,339,231,59.5,26,38.0,97,7,1,549,348,56,541,331,407,0,12,2,1730,231,339,40.5,2022-2023
Real Sociedad,30,38.0,90,2,0,621,452,91,538,271,395,4,2,2,2018,664,557,54.4,30,38.0,98,10,5,470,591,91,570,325,403,2,4,4,1911,557,664,45.6,2022-2023
Sevilla,35,38.0,121,13,4,474,460,106,827,339,367,4,3,3,1973,497,475,51.1,35,38.0,95,8,1,477,452,75,673,271,353,2,5,0,1822,475,497,48.9,2022-2023
Valencia,28,38.0,93,8,3,504,510,80,924,288,428,6,5,2,2015,492,561,46.7,28,38.0,127,10,2,527,476,74,594,294,382,3,8,2,1925,561,492,53.3,2022-2023
Valladolid,36,38.0,94,6,2,460,516,98,683,345,396,4,10,1,1966,471,617,43.3,36,38.0,66,2,0,555,427,53,734,264,389,5,4,1,1939,617,471,56.7,2022-2023
Villarreal,32,38.0,91,4,2,450,482,87,520,262,370,5,4,1,1819,357,375,48.8,32,38.0,105,5,1,501,429,108,708,349,423,3,7,2,1823,375,357,51.2,2022-2023
Alavés,33,38.0,93,4,3,529,455,72,758,376,324,6,9,0,1910,869,674,56.3,33,38.0,79,4,1,484,497,89,789,311,273,3,7,2,2061,674,869,43.7,2021-2022
Athletic Club,26,38.0,90,4,3,487,483,89,798,339,292,5,3,1,2098,585,572,50.6,26,38.0,105,9,4,513,455,67,754,387,353,2,7,3,2036,572,585,49.4,2021-2022
Atlético Madrid,26,38.0,111,7,3,473,503,85,703,365,346,4,8,3,2002,559,539,50.9,26,38.0,102,4,1,520,444,36,601,404,309,3,5,2,1930,539,559,49.1,2021-2022
Barcelona,38,38.0,97,5,3,499,489,99,798,325,331,6,3,0,2066,454,410,52.5,38,38.0,93,5,1,511,465,78,500,392,352,2,7,0,1885,410,454,47.5,2021-2022
Betis,31,38.0,87,6,1,485,470,71,547,361,392,4,3,2,1908,505,511,49.7,31,38.0,74,3,1,495,455,129,764,375,370,3,6,2,1869,511,505,50.3,2021-2022
Cádiz,33,38.0,105,3,3,488,449,69,865,413,380,5,13,0,2077,601,693,46.4,33,38.0,98,6,3,472,462,63,750,323,312,10,6,0,2038,693,601,53.6,2021-2022
Celta Vigo,25,38.0,87,3,1,507,463,83,768,376,409,3,8,2,2144,603,696,46.4,25,38.0,103,5,0,488,481,35,609,454,324,6,6,0,2175,696,603,53.6,2021-2022
Elche,28,38.0,104,6,1,518,471,74,720,305,325,1,10,0,1982,527,515,50.6,28,38.0,80,2,0,504,495,104,767,359,346,8,1,1,2077,515,527,49.4,2021-2022
Espanyol,34,38.0,99,7,3,440,516,70,627,326,338,3,5,2,1736,447,574,43.8,34,38.0,120,7,4,540,418,86,888,287,350,2,5,1,1899,574,447,56.2,2021-2022
Getafe,31,38.0,121,8,1,559,481,53,621,401,360,1,4,1,1924,721,717,50.1,31,38.0,110,4,2,510,530,109,752,357,279,3,5,2,2111,717,721,49.9,2021-2022
