Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 Poss_for,Unnamed: 3_level_0 90s_for,Touches Touches_for,Touches Def Pen_for,Touches Def 3rd_for,Touches Mid 3rd_for,Touches Att 3rd_for,Touches Att Pen_for,Touches Live_for,Take-Ons Att_for,Take-Ons Succ_for,Take-Ons Succ%_for,Take-Ons Tkld_for,Take-Ons Tkld%_for,Carries Carries_for,Carries TotDist_for,Carries PrgDist_for,Carries PrgC_for,Carries 1/3_for,Carries CPA_for,Carries Mis_for,Carries Dis_for,Receiving Rec_for,Receiving PrgR_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 Poss_against,Unnamed: 3_level_0 90s_against,Touches Touches_against,Touches Def Pen_against,Touches Def 3rd_against,Touches Mid 3rd_against,Touches Att 3rd_against,Touches Att Pen_against,Touches Live_against,Take-Ons Att_against,Take-Ons Succ_against,Take-Ons Succ%_against,Take-Ons Tkld_against,Take-Ons Tkld%_against,Carries Carries_against,Carries TotDist_against,Carries PrgDist_against,Carries PrgC_against,Carries 1/3_against,Carries CPA_against,Carries Mis_against,Carries Dis_against,Receiving Rec_against,Receiving PrgR_against,Season
Alavés,29,45.3,38.0,19070,1876,5802,8634,4809,691,19059,478,185,38.7,245,51.3,9128,45578,22946,449,346,90,598,307,10419,1148,29,54.7,38.0,22689,2367,7584,10446,4876,659,22678,810,378,46.7,348,43.0,11958,63721,33531,573,440,137,645,389,14127,1309,2024-2025
Athletic Club,31,48.4,38.0,21761,1884,6255,10334,5382,760,21755,791,328,41.5,388,49.1,11368,61421,32773,682,444,188,597,401,13522,1561,31,51.6,38.0,23225,2765,9110,10141,4156,588,23220,633,283,44.7,296,46.8,12464,60243,29674,468,345,111,608,281,14809,1168,2024-2025
Atlético Madrid,24,52.6,38.0,25387,2335,8013,11493,6074,860,25380,639,276,43.2,305,47.7,15829,77524,41305,760,579,167,541,275,17707,1553,24,47.4,38.0,23851,2405,6916,11439,5686,619,23846,694,308,44.4,319,46.0,13506,67569,34768,581,479,100,577,300,16092,1533,2024-2025
Barcelona,28,68.3,38.0,29805,1857,6516,14966,8535,1208,29797,909,455,50.1,375,41.3,18077,92092,49435,860,667,238,579,316,22187,2201,28,31.7,38.0,16221,2896,7293,6081,3011,566,16217,572,249,43.5,271,47.4,7646,39978,19702,406,246,147,545,267,8434,769,2024-2025
Betis,36,52.4,38.0,23872,2253,7466,10545,6088,921,23862,722,312,43.2,344,47.6,13910,69976,36269,679,532,228,676,378,15627,1468,36,47.6,38.0,22048,2459,7355,9895,5002,750,22044,702,302,43.0,342,48.7,11838,60140,30507,611,421,165,564,303,13770,1394,2024-2025
Celta Vigo,30,53.6,38.0,25123,2232,7618,12133,5574,831,25114,628,254,40.4,312,49.7,15010,75647,39392,709,500,218,558,296,17691,1649,30,46.4,38.0,22435,2437,7311,10538,4807,676,22431,638,290,45.5,286,44.8,12857,65278,31170,564,463,144,527,269,14814,1209,2024-2025
Espanyol,27,39.8,38.0,18406,2655,7408,7625,3582,548,18401,546,221,40.5,266,48.7,9361,52875,28280,497,359,109,561,241,10490,991,27,60.2,38.0,25692,1881,6559,12682,6675,1016,25686,686,300,43.7,310,45.2,15118,83083,44099,838,604,195,585,330,17827,1808,2024-2025
Getafe,30,41.8,38.0,17605,1770,5183,7998,4646,675,17600,631,265,42.0,312,49.4,7825,40262,19034,368,311,105,719,357,8611,966,30,58.2,38.0,22942,2431,8144,10481,4497,630,22933,740,332,44.9,333,45.0,11645,58255,30057,499,343,123,641,312,13820,1269,2024-2025
Girona,30,56.3,38.0,25088,2516,7829,11533,5912,795,25083,634,291,45.9,276,43.5,15275,86324,44108,765,553,180,522,312,18040,1684,30,43.7,38.0,20788,2333,7034,8948,5006,779,20782,620,265,42.7,292,47.1,11640,59568,29907,582,402,202,476,277,13689,1174,2024-2025
Las Palmas,34,50.7,38.0,22497,2561,7809,10353,4511,669,22493,571,239,41.9,288,50.4,11365,56979,28603,499,346,113,547,275,14222,1197,34,49.3,38.0,22205,2110,6608,10200,5612,931,22195,654,285,43.6,307,46.9,11832,64867,34121,684,471,197,638,312,13983,1457,2024-2025
Leganés,26,42.6,38.0,19312,2448,7029,8720,3764,482,19305,627,302,48.2,263,41.9,9782,47776,24033,417,364,105,575,314,11128,1023,26,57.4,38.0,24252,1859,6747,11160,6562,957,24244,683,304,44.5,295,43.2,13277,70117,38008,754,561,191,609,338,16152,1661,2024-2025
Mallorca,28,46.8,38.0,20649,2598,7168,9299,4391,635,20644,583,255,43.7,260,44.6,10945,56532,26760,479,409,85,567,377,12481,1169,28,53.2,38.0,22970,2030,6645,10519,6025,901,22967,549,243,44.3,257,46.8,12758,66974,35251,693,462,189,577,327,14846,1572,2024-2025
Osasuna,25,46.1,38.0,20036,2263,6318,8904,5007,737,20027,592,260,43.9,279,47.1,10439,54365,27022,567,424,134,532,293,12053,1204,25,53.9,38.0,23180,2310,7397,10374,5622,821,23173,671,307,45.8,311,46.3,12868,68588,36262,647,491,168,675,303,15079,1535,2024-2025
Rayo Vallecano,26,51.7,38.0,22372,2557,7799,9339,5455,711,22371,647,286,44.2,304,47.0,12068,58402,29156,589,431,143,630,327,13833,1346,26,48.3,38.0,21249,2413,7416,9160,4906,774,21241,740,355,48.0,309,41.8,10729,60783,31944,613,434,161,630,318,12661,1318,2024-2025
Real Madrid,30,60.4,38.0,28252,2392,7662,12794,8048,1181,28238,878,412,46.9,384,43.7,17893,93355,50356,983,696,364,528,290,21223,1953,30,39.6,38.0,19910,2621,7172,8356,4578,643,19907,521,222,42.6,264,50.7,11509,60630,31994,648,470,160,476,322,12876,1155,2024-2025
Real Sociedad,31,53.8,38.0,23027,2275,7208,10770,5243,747,23023,659,295,44.8,307,46.6,12533,67115,34084,645,417,163,603,297,14716,1325,31,46.2,38.0,20816,2394,7200,8796,5046,752,20809,643,271,42.1,308,47.9,10345,51781,25476,538,384,168,618,341,12516,1128,2024-2025
Sevilla,35,50.5,38.0,22465,2404,8057,9800,4813,669,22462,720,339,47.1,320,44.4,11147,58366,29786,594,397,161,624,331,14288,1186,35,49.5,38.0,22206,2259,7100,10193,5095,670,22200,637,251,39.4,312,49.0,12283,61270,31116,551,423,139,527,336,14188,1249,2024-2025
Valencia,32,48.4,38.0,21876,2290,7206,9840,5033,653,21871,625,236,37.8,321,51.4,11347,59375,30877,572,414,122,535,340,13802,1328,32,51.6,38.0,23232,2269,7471,10614,5323,743,23223,633,252,39.8,321,50.7,12610,64537,31522,589,414,156,581,326,15181,1403,2024-2025
Valladolid,38,42.8,38.0,19507,2681,8158,8153,3393,523,19502,624,289,46.3,266,42.6,9680,54312,27524,476,316,120,513,268,11933,976,38,57.2,38.0,24328,1805,5842,11908,6783,982,24321,616,290,47.1,276,44.8,14005,73671,39730,724,592,199,547,320,16996,1741,2024-2025
Villarreal,31,47.6,38.0,22112,2612,7831,9120,5352,983,22105,627,279,44.5,278,44.3,12034,63384,34540,693,503,202,560,289,14383,1510,31,52.4,38.0,23983,2415,7431,10422,6344,822,23975,689,292,42.4,336,48.8,14128,70607,37444,720,563,183,519,313,16496,1586,2024-2025
Alavés,30,41.8,38.0,18179,2162,6122,7564,4706,764,18172,625,310,49.6,254,40.6,8574,48049,25494,550,364,138,572,299,9972,1252,30,58.2,38.0,24410,2398,7446,11388,5787,818,24402,698,339,48.6,290,41.5,13762,75816,41243,744,542,187,663,288,16187,1487,2023-2024
Almería,35,46.4,38.0,20902,2654,7711,9323,4094,614,20900,667,299,44.8,314,47.1,11128,59196,30444,590,424,132,550,269,12660,1082,35,53.6,38.0,23390,2099,6542,10880,6169,1003,23381,641,302,47.1,280,43.7,13182,69802,36749,751,563,204,518,353,15316,1620,2023-2024
