Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 Age_for,Unnamed: 3_level_0 Poss_for,Playing Time MP_for,Playing Time Starts_for,Playing Time Min_for,Playing Time 90s_for,Performance Gls_for,Performance Ast_for,Performance G+A_for,Performance G-PK_for,Performance PK_for,Performance PKatt_for,Performance CrdY_for,Performance CrdR_for,Expected xG_for,Expected npxG_for,Expected xAG_for,Expected npxG+xAG_for,Progression PrgC_for,Progression PrgP_for,Per 90 Minutes Gls_for,Per 90 Minutes Ast_for,Per 90 Minutes G+A_for,Per 90 Minutes G-PK_for,Per 90 Minutes G+A-PK_for,Per 90 Minutes xG_for,Per 90 Minutes xAG_for,Per 90 Minutes xG+xAG_for,Per 90 Minutes npxG_for,Per 90 Minutes npxG+xAG_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 Age_against,Unnamed: 3_level_0 Poss_against,Playing Time MP_against,Playing Time Starts_against,Playing Time Min_against,Playing Time 90s_against,Performance Gls_against,Performance Ast_against,Performance G+A_against,Performance G-PK_against,Performance PK_against,Performance PKatt_against,Performance CrdY_against,Performance CrdR_against,Expected xG_against,Expected npxG_against,Expected xAG_against,Expected npxG+xAG_against,Progression PrgC_against,Progression PrgP_against,Per 90 Minutes Gls_against,Per 90 Minutes Ast_against,Per 90 Minutes G+A_against,Per 90 Minutes G-PK_against,Per 90 Minutes G+A-PK_against,Per 90 Minutes xG_against,Per 90 Minutes xAG_against,Per 90 Minutes xG+xAG_against,Per 90 Minutes npxG_against,Per 90 Minutes npxG+xAG_against,Season
Alavés,29,26.6,45.3,38,418,3420,38.0,38,20,58,29,9,11,107,5,42.8,34.1,25.4,59.5,449,1160,1.0,0.53,1.53,0.76,1.29,1.13,0.67,1.79,0.9,1.57,29,26.9,54.7,38,418,3420,38.0,46,28,74,35,11,11,107,5,47.0,38.5,33.3,71.8,573,1323,1.21,0.74,1.95,0.92,1.66,1.24,0.88,2.11,1.01,1.89,2024-2025
Athletic Club,31,26.9,48.4,38,418,3420,38.0,53,40,93,50,3,6,64,3,53.0,48.2,36.7,84.9,682,1579,1.39,1.05,2.45,1.32,2.37,1.39,0.97,2.36,1.27,2.23,31,26.6,51.6,38,418,3420,38.0,28,11,39,25,3,5,83,4,37.8,33.9,22.9,56.7,468,1177,0.74,0.29,1.03,0.66,0.95,0.99,0.6,1.6,0.89,1.49,2024-2025
Atlético Madrid,24,28.4,52.6,38,418,3420,38.0,68,51,119,62,6,7,75,3,64.6,59.3,47.9,107.2,760,1559,1.79,1.34,3.13,1.63,2.97,1.7,1.26,2.96,1.56,2.82,24,26.8,47.4,38,418,3420,38.0,28,17,45,23,5,5,68,0,33.4,29.5,23.9,53.4,581,1543,0.74,0.45,1.18,0.61,1.05,0.88,0.63,1.51,0.78,1.4,2024-2025
Barcelona,28,24.7,68.3,38,418,3420,38.0,99,72,171,92,7,8,63,3,91.5,85.2,67.5,152.7,860,2212,2.61,1.89,4.5,2.42,4.32,2.41,1.78,4.18,2.24,4.02,28,26.8,31.7,38,418,3420,38.0,39,31,70,35,4,4,89,2,41.9,38.8,32.6,71.4,406,780,1.03,0.82,1.84,0.92,1.74,1.1,0.86,1.96,1.02,1.88,2024-2025
Betis,36,27.5,52.4,38,418,3420,38.0,55,37,92,48,7,10,75,4,54.7,46.9,37.5,84.5,679,1486,1.45,0.97,2.42,1.26,2.24,1.44,0.99,2.43,1.23,2.22,36,27.0,47.6,38,418,3420,38.0,49,32,81,45,4,4,102,7,50.6,47.4,38.4,85.9,611,1411,1.29,0.84,2.13,1.18,2.03,1.33,1.01,2.34,1.25,2.26,2024-2025
Celta Vigo,30,26.9,53.6,38,418,3420,38.0,58,40,98,50,8,9,84,6,54.2,47.3,38.4,85.7,709,1659,1.53,1.05,2.58,1.32,2.37,1.43,1.01,2.44,1.24,2.26,30,26.7,46.4,38,418,3420,38.0,55,45,100,52,3,4,88,7,43.4,40.0,33.3,73.3,564,1222,1.45,1.18,2.63,1.37,2.55,1.14,0.88,2.02,1.05,1.93,2024-2025
Espanyol,27,25.2,39.8,38,418,3420,38.0,38,27,65,33,5,5,88,1,34.4,30.5,24.5,55.0,497,1000,1.0,0.71,1.71,0.87,1.58,0.91,0.65,1.55,0.8,1.45,27,27.0,60.2,38,418,3420,38.0,50,39,89,46,4,6,66,2,53.8,49.0,39.6,88.6,838,1821,1.32,1.03,2.34,1.21,2.24,1.42,1.04,2.46,1.29,2.33,2024-2025
Getafe,30,27.7,41.8,38,418,3420,38.0,34,21,55,29,5,5,110,7,36.8,33.0,23.9,56.9,368,981,0.89,0.55,1.45,0.76,1.32,0.97,0.63,1.6,0.87,1.5,30,27.0,58.2,38,418,3420,38.0,39,21,60,31,8,9,101,5,46.2,39.4,31.3,70.7,499,1284,1.03,0.55,1.58,0.82,1.37,1.22,0.82,2.04,1.04,1.86,2024-2025
Girona,30,27.5,56.3,38,418,3420,38.0,43,31,74,39,4,5,76,2,42.5,38.6,31.6,70.2,765,1691,1.13,0.82,1.95,1.03,1.84,1.12,0.83,1.95,1.02,1.85,30,26.9,43.7,38,418,3420,38.0,59,46,105,56,3,6,80,4,50.4,45.7,36.5,82.2,582,1183,1.55,1.21,2.76,1.47,2.68,1.33,0.96,2.29,1.2,2.16,2024-2025
Las Palmas,34,26.8,50.7,38,418,3420,38.0,38,27,65,35,3,4,110,4,36.3,33.2,26.3,59.4,499,1210,1.0,0.71,1.71,0.92,1.63,0.96,0.69,1.65,0.87,1.56,34,26.8,49.3,38,418,3420,38.0,58,43,101,53,5,10,90,7,66.8,59.3,47.5,106.8,684,1470,1.53,1.13,2.66,1.39,2.53,1.76,1.25,3.01,1.56,2.81,2024-2025
Leganés,26,27.8,42.6,38,418,3420,38.0,38,27,65,33,5,7,82,6,36.0,30.6,23.3,53.8,417,1030,1.0,0.71,1.71,0.87,1.58,0.95,0.61,1.56,0.8,1.42,26,26.8,57.4,38,418,3420,38.0,53,34,87,46,7,8,74,1,59.4,53.1,40.9,94.0,754,1675,1.39,0.89,2.29,1.21,2.11,1.56,1.08,2.64,1.4,2.47,2024-2025
Mallorca,28,28.7,46.8,38,418,3420,38.0,34,24,58,30,4,5,81,6,38.8,34.9,26.5,61.3,479,1184,0.89,0.63,1.53,0.79,1.42,1.02,0.7,1.72,0.92,1.61,28,26.6,53.2,38,418,3420,38.0,43,31,74,40,3,3,70,2,46.8,44.5,36.0,80.5,693,1587,1.13,0.82,1.95,1.05,1.87,1.23,0.95,2.18,1.17,2.12,2024-2025
Osasuna,25,27.4,46.1,38,418,3420,38.0,46,28,74,37,9,9,88,0,44.0,37.8,29.8,67.6,567,1221,1.21,0.74,1.95,0.97,1.71,1.16,0.78,1.94,0.99,1.78,25,26.7,53.9,38,418,3420,38.0,51,38,89,44,7,7,81,6,53.7,48.2,40.6,88.9,647,1546,1.34,1.0,2.34,1.16,2.16,1.41,1.07,2.48,1.27,2.34,2024-2025
Rayo Vallecano,26,29.3,51.7,38,418,3420,38.0,38,27,65,38,0,1,96,3,45.4,44.6,36.2,80.9,589,1362,1.0,0.71,1.71,1.0,1.71,1.2,0.95,2.15,1.17,2.13,26,26.4,48.3,38,418,3420,38.0,44,33,77,38,6,8,78,4,49.0,42.7,33.0,75.7,613,1326,1.16,0.87,2.03,1.0,1.87,1.29,0.87,2.16,1.12,1.99,2024-2025
Real Madrid,30,26.6,60.4,38,418,3420,38.0,78,55,133,68,10,14,57,4,75.3,64.5,54.6,119.0,983,1967,2.05,1.45,3.5,1.79,3.24,1.98,1.44,3.42,1.7,3.13,30,26.7,39.6,38,418,3420,38.0,37,27,64,34,3,3,89,6,42.8,40.8,32.0,72.8,648,1168,0.97,0.71,1.68,0.89,1.61,1.13,0.84,1.97,1.07,1.92,2024-2025
Real Sociedad,31,25.2,53.8,38,418,3420,38.0,34,22,56,30,4,4,85,4,42.5,39.3,30.9,70.3,645,1341,0.89,0.58,1.47,0.79,1.37,1.12,0.81,1.93,1.03,1.85,31,26.8,46.2,38,418,3420,38.0,46,32,78,41,5,7,82,0,43.9,38.3,29.0,67.3,538,1141,1.21,0.84,2.05,1.08,1.92,1.16,0.76,1.92,1.01,1.77,2024-2025
Sevilla,35,26.1,50.5,38,418,3420,38.0,39,32,71,37,2,3,98,8,42.7,40.3,30.8,71.1,594,1193,1.03,0.84,1.87,0.97,1.82,1.12,0.81,1.93,1.06,1.87,35,26.8,49.5,38,418,3420,38.0,54,37,91,49,5,6,93,4,47.4,42.7,34.0,76.7,551,1262,1.42,0.97,2.39,1.29,2.26,1.25,0.89,2.14,1.12,2.02,2024-2025
Valencia,32,24.7,48.4,38,418,3420,38.0,43,26,69,38,5,5,86,1,43.2,39.3,30.0,69.3,572,1340,1.13,0.68,1.82,1.0,1.68,1.14,0.79,1.93,1.03,1.82,32,26.8,51.6,38,418,3420,38.0,51,38,89,45,6,9,86,3,51.9,44.9,37.2,82.0,589,1419,1.34,1.0,2.34,1.18,2.18,1.36,0.98,2.34,1.18,2.16,2024-2025
Valladolid,38,25.6,42.8,38,418,3420,38.0,26,15,41,21,5,5,91,5,34.6,30.7,25.7,56.4,476,991,0.68,0.39,1.08,0.55,0.95,0.91,0.68,1.59,0.81,1.48,38,27.0,57.2,38,418,3420,38.0,89,62,151,82,7,7,86,3,67.6,62.4,46.8,109.2,724,1753,2.34,1.63,3.97,2.16,3.79,1.78,1.23,3.01,1.64,2.87,2024-2025
Villarreal,31,26.7,47.6,38,418,3420,38.0,69,51,120,64,5,7,96,4,64.8,59.1,49.7,108.8,693,1522,1.82,1.34,3.16,1.68,3.03,1.71,1.31,3.01,1.56,2.86,31,26.8,52.4,38,418,3420,38.0,50,28,78,43,7,8,99,7,44.4,38.2,28.5,66.7,720,1597,1.32,0.74,2.05,1.13,1.87,1.17,0.75,1.92,1.01,1.75,2024-2025
Alavés,30,25.6,41.8,38,418,3420,38.0,33,28,61,30,3,7,84,1,46.2,40.7,32.4,73.0,550,1260,0.87,0.74,1.61,0.79,1.53,1.22,0.85,2.07,1.07,1.92,30,27.2,58.2,38,418,3420,38.0,44,29,73,36,8,8,102,7,44.7,38.5,29.8,68.3,744,1502,1.16,0.76,1.92,0.95,1.71,1.18,0.78,1.96,1.01,1.8,2023-2024
Almería,35,25.6,46.4,38,418,3420,38.0,42,25,67,40,2,2,93,6,48.7,47.1,34.2,81.4,590,1097,1.11,0.66,1.76,1.05,1.71,1.28,0.9,2.18,1.24,2.14,35,27.1,53.6,38,418,3420,38.0,75,56,131,69,6,9,72,4,61.6,54.5,45.3,99.8,751,1644,1.97,1.47,3.45,1.82,3.29,1.62,1.19,2.81,1.43,2.63,2023-2024
Athletic Club,27,27.3,49.8,38,418,3420,38.0,59,41,100,56,3,5,80,5,52.7,48.7,37.0,85.8,735,1610,1.55,1.08,2.63,1.47,2.55,1.39,0.97,2.36,1.28,2.26,27,27.0,50.2,38,418,3420,38.0,33,27,60,32,1,5,82,3,41.3,37.5,32.0,69.5,521,1298,0.87,0.71,1.58,0.84,1.55,1.09,0.84,1.93,0.99,1.83,2023-2024
Atlético Madrid,27,29.2,50.8,38,418,3420,38.0,68,48,116,63,5,6,89,5,62.4,57.9,47.4,105.2,758,1597,1.79,1.26,3.05,1.66,2.92,1.64,1.25,2.89,1.52,2.77,27,26.9,49.2,38,418,3420,38.0,43,33,76,42,1,2,79,2,39.5,37.9,29.7,67.6,648,1544,1.13,0.87,2.0,1.11,1.97,1.04,0.78,1.82,1.0,1.78,2023-2024
Barcelona,29,26.0,64.3,38,418,3420,38.0,76,55,131,70,6,7,87,2,77.6,72.1,57.4,129.5,964,1925,2.0,1.45,3.45,1.84,3.29,2.04,1.51,3.55,1.9,3.41,29,26.9,35.7,38,418,3420,38.0,44,35,79,42,2,2,98,8,41.6,40.1,30.9,71.0,487,992,1.16,0.92,2.08,1.11,2.03,1.1,0.81,1.91,1.05,1.87,2023-2024
