Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes,Season
1,Barcelona,30,28,0,2,128,16,112,84,2.8,109.0,12.7,96.4,3.21,,Ewa Pajor - 25,Cata Coll,,2024-2025-femenino
2,Real Madrid,30,24,4,2,87,28,59,76,2.53,76.1,22.1,54.0,1.8,,Alba Redondo - 15,Misa Rodríguez,,2024-2025-femenino
3,Atlético Madrid,30,16,10,4,49,23,26,58,1.93,41.4,28.3,13.0,0.43,,Rasheedat Ajibade - 7,Dolores Gallardo,,2024-2025-femenino
4,Athletic Club,30,16,3,11,40,32,8,51,1.7,34.5,32.0,2.4,0.08,,Ane Azkona - 6,Adriana Nanclares,,2024-2025-femenino
5,Granada,30,14,3,13,42,45,-3,45,1.5,35.5,42.6,-7.0,-0.23,,Edna Imade - 16,Sandra Estévez,,2024-2025-femenino
6,UDG Tenerife,30,11,9,10,40,36,4,42,1.4,32.5,36.6,-4.1,-0.14,,"Gift Monday, Rinsola Babajide - 10",Noelia Ramos,,2024-2025-femenino
7,Real Sociedad,30,12,5,13,40,45,-5,41,1.37,37.1,38.4,-1.3,-0.04,,Amaiur Sarriegi - 10,Elene Lete,,2024-2025-femenino
8,Eibar,30,10,8,12,24,41,-17,38,1.27,22.2,43.9,-21.7,-0.72,,Esperanza Pizarro - 5,Eunate Astralaga,,2024-2025-femenino
9,Sevilla,30,10,6,14,32,47,-15,36,1.2,32.2,38.4,-6.2,-0.21,,Natalia Padilla-Bidas - 11,Esther Sullastres,,2024-2025-femenino
10,Madrid CFF,30,9,6,15,37,62,-25,33,1.1,34.1,41.5,-7.4,-0.25,,Emilie Nautnes - 9,Paola Ulloa,,2024-2025-femenino
11,Espanyol,30,7,11,12,29,50,-21,32,1.07,27.1,48.8,-21.7,-0.72,,Lice Chamorro - 7,Romane Salvador,,2024-2025-femenino
12,Levante,30,8,7,15,30,45,-15,31,1.03,27.6,48.1,-20.5,-0.68,,Ivonne Chacón - 11,Andrea Tarazona,,2024-2025-femenino
13,Levante Planas,30,6,10,14,24,45,-21,28,0.93,34.6,32.7,1.9,0.06,,María Llompart - 4,María López,,2024-2025-femenino
14,Dep La Coruña,30,6,9,15,27,48,-21,27,0.9,25.2,50.9,-25.7,-0.86,,Millene Cabral - 6,Inês Pereira,,2024-2025-femenino
15,Valencia,30,5,8,17,24,47,-23,23,0.77,25.4,44.0,-18.6,-0.62,,Marina Martí - 6,Antonia Canales,Relegated,2024-2025-femenino
16,Real Betis,30,6,5,19,24,67,-43,23,0.77,22.8,56.5,-33.6,-1.12,,Rosa Marquez - 5,Paula Vizoso,Relegated,2024-2025-femenino
