Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,Goals GA_for,Goals PKA_for,Goals FK_for,Goals CK_for,Goals OG_for,Expected PSxG_for,Expected PSxG/SoT_for,Expected PSxG+/-_for,Expected /90_for,Launched Cmp_for,Launched Att_for,Launched Cmp%_for,Passes Att (GK)_for,Passes Thr_for,Passes Launch%_for,Passes AvgLen_for,Goal Kicks Att_for,Goal Kicks Launch%_for,Goal Kicks AvgLen_for,Crosses Opp_for,Crosses Stp_for,Crosses Stp%_for,Sweeper #OPA_for,Sweeper #OPA/90_for,Sweeper AvgDist_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,Goals GA_against,Goals PKA_against,Goals FK_against,Goals CK_against,Goals OG_against,Expected PSxG_against,Expected PSxG/SoT_against,Expected PSxG+/-_against,Expected /90_against,Launched Cmp_against,Launched Att_against,Launched Cmp%_against,Passes Att (GK)_against,Passes Thr_against,Passes Launch%_against,Passes AvgLen_against,Goal Kicks Att_against,Goal Kicks Launch%_against,Goal Kicks AvgLen_against,Crosses Opp_against,Crosses Stp_against,Crosses Stp%_against,Sweeper #OPA_against,Sweeper #OPA/90_against,Sweeper AvgDist_against,Season
Athletic Club,2,30.0,32,1,0,2,3,32.9,0.26,3.9,0.13,140,342,40.9,1016,134,23.2,27.5,258,41.1,31.3,428,20,4.7,24,0.8,14.1,2,30.0,40,4,1,7,2,36.3,0.35,-1.7,-0.06,95,255,37.3,627,118,29.5,31.7,210,33.3,27.8,421,39,9.3,35,1.17,12.5,2024-2025-femenino
Atlético Madrid,2,30.0,23,1,0,4,1,26.1,0.25,4.1,0.14,75,164,45.7,776,156,13.5,21.0,223,26.5,27.6,365,24,6.6,30,1.0,16.9,2,30.0,49,2,0,7,3,44.6,0.27,-1.4,-0.05,134,386,34.7,743,104,35.4,33.0,282,43.6,32.9,445,31,7.0,29,0.97,11.6,2024-2025-femenino
Barcelona,3,30.0,16,0,0,0,0,13.0,0.28,-3.0,-0.1,26,44,59.1,623,92,6.7,21.7,71,2.8,17.4,99,10,10.1,68,2.27,20.8,3,30.0,128,7,2,14,1,100.0,0.3,-27.0,-0.9,146,488,29.9,683,155,41.9,35.8,470,43.0,32.3,713,21,2.9,24,0.8,10.6,2024-2025-femenino
Dep La Coruña,3,30.0,48,1,2,9,1,56.4,0.31,9.4,0.31,101,346,29.2,732,141,33.3,32.1,319,32.0,27.5,586,30,5.1,43,1.43,14.3,3,30.0,27,1,2,1,1,26.8,0.22,0.8,0.03,96,244,39.3,614,110,26.2,28.8,194,42.8,33.1,226,14,6.2,47,1.57,17.5,2024-2025-femenino
Eibar,3,30.0,41,2,0,2,0,39.5,0.26,-1.5,-0.05,237,808,29.3,691,33,78.0,51.4,341,78.9,48.1,480,40,8.3,18,0.6,9.6,3,30.0,24,3,1,2,0,27.8,0.3,3.8,0.13,112,353,31.7,776,114,32.9,33.2,204,48.0,34.6,286,15,5.2,52,1.73,19.0,2024-2025-femenino
Espanyol,3,30.0,50,4,0,5,2,52.5,0.32,4.5,0.15,186,532,35.0,555,81,67.2,45.6,279,57.0,39.8,399,13,3.3,15,0.5,10.9,3,30.0,29,1,0,1,1,25.8,0.26,-2.2,-0.07,91,233,39.1,678,137,21.5,28.8,241,36.1,30.9,325,19,5.8,35,1.17,14.9,2024-2025-femenino
Granada,3,30.0,45,2,1,8,2,44.2,0.31,1.2,0.04,148,338,43.8,734,125,31.3,33.9,224,48.2,36.4,320,13,4.1,41,1.37,15.0,3,30.0,42,4,1,6,1,37.7,0.31,-3.3,-0.11,110,309,35.6,657,106,30.0,31.9,280,40.0,32.3,549,25,4.6,34,1.13,13.7,2024-2025-femenino
Levante,2,30.0,45,1,0,4,0,49.6,0.35,4.6,0.15,88,214,41.1,580,132,17.1,26.0,278,41.4,31.9,413,17,4.1,20,0.67,10.9,2,30.0,30,2,0,3,0,35.1,0.28,5.1,0.17,116,285,40.7,681,120,27.5,29.5,239,41.0,32.2,365,38,10.4,48,1.6,13.7,2024-2025-femenino
Levante Planas,2,30.0,45,2,1,5,1,39.4,0.36,-4.6,-0.15,57,179,31.8,629,168,21.6,27.8,206,20.9,24.1,351,17,4.8,39,1.3,15.0,2,30.0,24,5,0,2,0,32.9,0.24,8.9,0.3,123,332,37.0,735,114,31.6,31.9,257,38.9,30.9,310,24,7.7,24,0.8,13.5,2024-2025-femenino
Madrid CFF,2,30.0,62,4,2,8,1,47.2,0.3,-13.8,-0.46,52,140,37.1,591,138,13.7,25.1,353,16.7,21.3,381,6,1.6,13,0.43,12.4,2,30.0,37,1,0,3,1,35.8,0.27,-0.2,-0.01,130,342,38.0,630,102,34.0,33.1,231,55.4,38.0,355,22,6.2,40,1.33,14.5,2024-2025-femenino
Real Betis,2,30.0,67,5,0,6,3,63.1,0.32,-0.9,-0.03,111,368,30.2,872,180,28.6,30.6,305,39.0,31.5,484,25,5.2,77,2.57,16.6,2,30.0,24,2,0,2,1,24.4,0.25,1.4,0.05,81,233,34.8,679,122,22.5,29.0,199,40.2,32.0,269,15,5.6,31,1.03,14.9,2024-2025-femenino
Real Madrid,3,30.0,28,5,0,5,3,25.4,0.27,0.4,0.01,57,142,40.1,687,128,12.4,24.6,200,28.5,27.9,290,16,5.5,61,2.03,16.5,3,30.0,87,4,0,8,4,74.6,0.31,-8.4,-0.28,140,424,33.0,787,131,32.0,32.1,337,51.0,34.5,510,24,4.7,12,0.4,10.1,2024-2025-femenino
Real Sociedad,3,30.0,45,6,2,1,2,36.9,0.26,-6.1,-0.2,73,192,38.0,666,111,17.7,25.7,225,32.9,29.3,325,14,4.3,52,1.73,16.4,3,30.0,40,1,1,5,2,45.6,0.31,7.6,0.25,120,350,34.3,809,134,30.8,32.5,278,36.3,31.7,393,31,7.9,42,1.4,13.7,2024-2025-femenino
Sevilla,2,30.0,47,1,0,6,0,47.0,0.29,0.0,0.0,111,419,26.5,714,102,39.4,34.2,282,48.9,35.5,430,41,9.5,27,0.9,11.7,2,30.0,32,1,0,4,1,31.1,0.33,0.1,0.0,98,249,39.4,700,118,25.3,29.8,203,35.5,29.2,294,14,4.8,40,1.33,16.5,2024-2025-femenino
UDG Tenerife,2,30.0,36,3,0,6,0,36.0,0.25,0.0,0.0,176,464,37.9,751,82,39.7,35.6,285,58.2,38.9,411,36,8.8,22,0.73,10.4,2,30.0,40,3,0,4,1,34.7,0.26,-4.3,-0.14,97,282,34.4,690,126,26.2,30.3,225,44.9,35.4,378,20,5.3,29,0.97,14.1,2024-2025-femenino
Valencia,2,30.0,47,5,0,5,1,49.1,0.26,3.1,0.1,140,355,39.4,526,137,39.9,35.5,265,54.7,35.0,474,51,10.8,16,0.53,9.6,2,30.0,24,2,0,7,1,26.9,0.23,3.9,0.13,89,282,31.6,654,129,28.7,30.5,264,35.6,30.3,397,21,5.3,44,1.47,15.0,2024-2025-femenino
