Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,Performance CrdY_for,Performance CrdR_for,Performance 2CrdY_for,Performance Fls_for,Performance Fld_for,Performance Off_for,Performance Crs_for,Performance Int_for,Performance TklW_for,Performance PKwon_for,Performance PKcon_for,Performance OG_for,Performance Recov_for,Aerial Duels Won_for,Aerial Duels Lost_for,Aerial Duels Won%_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,Performance CrdY_against,Performance CrdR_against,Performance 2CrdY_against,Performance Fls_against,Performance Fld_against,Performance Off_against,Performance Crs_against,Performance Int_against,Performance TklW_against,Performance PKwon_against,Performance PKcon_against,Performance OG_against,Performance Recov_against,Aerial Duels Won_against,Aerial Duels Lost_against,Aerial Duels Won%_against,Season
Athletic Club,26,30.0,42,1,0,293,314,51,515,249,318,4,1,3,1245,233,244,48.8,26,30.0,47,1,0,323,281,46,522,301,432,1,4,2,1343,245,233,51.3,2024-2025-femenino
Atlético Madrid,23,30.0,50,1,0,336,271,65,541,287,329,2,1,1,1379,243,189,56.3,23,30.0,55,2,1,279,326,51,455,330,416,1,2,3,1300,188,241,43.8,2024-2025-femenino
Barcelona,26,30.0,20,0,0,203,193,72,878,217,330,5,0,0,1570,225,131,63.2,26,30.0,27,2,1,199,190,60,113,375,359,0,7,1,924,130,225,36.6,2024-2025-femenino
Dep La Coruña,27,30.0,45,1,0,277,286,36,297,300,365,2,1,1,1220,197,250,44.1,27,30.0,61,2,1,302,260,75,760,282,368,1,2,1,1422,253,194,56.6,2024-2025-femenino
Eibar,26,30.0,43,1,0,271,274,53,365,322,363,2,2,0,1128,347,348,49.9,26,30.0,41,2,1,291,255,94,597,205,337,1,4,0,1388,348,350,49.9,2024-2025-femenino
Espanyol,26,30.0,66,4,3,348,270,60,431,376,428,1,7,2,1227,237,268,46.9,26,30.0,63,3,0,289,325,55,481,218,370,5,2,1,1281,269,235,53.4,2024-2025-femenino
Granada,24,30.0,50,1,0,304,270,77,678,313,387,3,3,2,1383,297,244,54.9,24,30.0,39,0,0,289,292,46,422,271,341,2,5,1,1339,244,295,45.3,2024-2025-femenino
Levante,25,30.0,49,4,3,294,294,55,443,310,432,2,4,0,1343,205,245,45.6,25,30.0,45,2,1,310,284,41,533,345,392,3,2,0,1336,244,205,54.3,2024-2025-femenino
Levante Planas,27,30.0,60,1,1,330,296,61,368,284,350,5,2,1,1402,160,231,40.9,27,30.0,57,1,0,313,313,98,441,339,471,1,6,0,1352,231,159,59.2,2024-2025-femenino
Madrid CFF,26,30.0,39,0,0,266,280,64,442,315,388,0,4,1,1317,227,183,55.4,26,30.0,46,1,1,295,251,43,469,341,300,1,1,1,1386,183,226,44.7,2024-2025-femenino
Real Betis,26,30.0,71,3,1,297,334,52,353,267,418,2,6,3,1374,178,272,39.6,26,30.0,61,1,0,358,285,117,608,337,440,4,2,1,1578,272,178,60.4,2024-2025-femenino
Real Madrid,30,30.0,38,0,0,257,260,78,634,311,336,5,5,3,1437,205,188,52.2,30,30.0,47,2,0,275,247,62,348,297,369,5,8,4,1237,188,205,47.8,2024-2025-femenino
Real Sociedad,26,30.0,44,3,1,291,303,95,486,236,393,1,6,2,1397,202,196,50.8,26,30.0,50,2,1,314,280,44,409,359,418,6,2,2,1266,201,202,49.9,2024-2025-femenino
Sevilla,22,30.0,60,4,1,302,288,55,381,365,408,1,3,0,1283,202,258,43.9,22,30.0,40,1,0,296,290,77,537,292,379,2,1,1,1432,259,201,56.3,2024-2025-femenino
UDG Tenerife,28,30.0,43,2,0,365,306,96,479,332,370,4,4,0,1265,313,262,54.4,28,30.0,46,2,1,319,339,31,514,244,375,3,4,1,1264,264,313,45.8,2024-2025-femenino
Valencia,30,30.0,62,1,1,336,304,57,498,347,477,3,7,1,1232,286,239,54.5,30,30.0,57,3,3,318,325,87,580,295,325,6,4,1,1354,238,286,45.4,2024-2025-femenino
