Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 Age_for,Playing Time MP_for,Playing Time Min_for,Playing Time Mn/MP_for,Playing Time Min%_for,Playing Time 90s_for,Starts Starts_for,Starts Mn/Start_for,Starts Compl_for,Subs Subs_for,Subs Mn/Sub_for,Subs unSub_for,Team Success PPM_for,Team Success onG_for,Team Success onGA_for,Team Success +/-_for,Team Success +/-90_for,Team Success (xG) onxG_for,Team Success (xG) onxGA_for,Team Success (xG) xG+/-_for,Team Success (xG) xG+/-90_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 Age_against,Playing Time MP_against,Playing Time Min_against,Playing Time Mn/MP_against,Playing Time Min%_against,Playing Time 90s_against,Starts Starts_against,Starts Mn/Start_against,Starts Compl_against,Subs Subs_against,Subs Mn/Sub_against,Subs unSub_against,Team Success PPM_against,Team Success onG_against,Team Success onGA_against,Team Success +/-_against,Team Success +/-90_against,Team Success (xG) onxG_against,Team Success (xG) onxGA_against,Team Success (xG) xG+/-_against,Team Success (xG) xG+/-90_against,Season
Athletic Club,26,23.3,30,2700,90,100,30.0,330,82,197,132,20,116,1.7,40,32,8,0.27,34.5,32.0,2.4,0.08,26,25.8,30,2700,90,100,30.0,330,82,210,119,19,127,1.2,32,40,-8,-0.27,32.0,34.5,-2.4,-0.08,2024-2025-femenino
Atlético Madrid,23,25.2,30,2700,90,100,30.0,330,82,199,131,20,85,1.93,49,23,26,0.87,41.4,28.3,13.0,0.43,23,25.7,30,2700,90,100,30.0,330,82,193,133,20,129,0.73,23,49,-26,-0.87,28.3,41.4,-13.0,-0.43,2024-2025-femenino
Barcelona,26,26.0,30,2700,90,100,30.0,330,79,183,148,25,127,2.8,128,16,112,3.73,109.0,12.7,96.4,3.21,26,25.4,30,2700,90,100,30.0,330,79,186,142,21,109,0.2,16,128,-112,-3.73,12.7,109.0,-96.4,-3.21,2024-2025-femenino
Dep La Coruña,27,25.2,30,2700,90,100,30.0,330,82,191,138,18,104,0.9,27,48,-21,-0.7,25.2,50.9,-25.7,-0.86,27,25.6,30,2700,90,100,30.0,330,82,200,128,21,126,1.8,48,27,21,0.7,50.9,25.2,25.7,0.86,2024-2025-femenino
Eibar,26,24.9,30,2700,90,100,30.0,330,83,212,117,18,117,1.27,24,41,-17,-0.57,22.2,43.9,-21.7,-0.72,26,25.4,30,2700,90,100,30.0,330,83,194,134,21,118,1.47,41,24,17,0.57,43.9,22.2,21.7,0.72,2024-2025-femenino
Espanyol,26,25.9,30,2700,90,100,30.0,330,82,195,134,18,138,1.07,29,50,-21,-0.7,27.1,48.8,-21.7,-0.72,26,25.4,30,2700,90,100,30.0,330,82,195,135,22,117,1.57,50,29,21,0.7,48.8,27.1,21.7,0.72,2024-2025-femenino
Granada,24,24.9,30,2700,90,100,30.0,330,83,201,128,18,132,1.5,42,45,-3,-0.1,35.5,42.6,-7.0,-0.23,24,25.5,30,2700,90,100,30.0,330,83,195,136,21,111,1.4,45,42,3,0.1,42.6,35.5,7.0,0.23,2024-2025-femenino
Levante,25,24.4,30,2700,90,100,30.0,330,84,214,113,17,100,1.03,30,45,-15,-0.5,27.6,48.1,-20.5,-0.68,25,25.8,30,2700,90,100,30.0,330,84,193,137,19,120,1.73,45,30,15,0.5,48.1,27.6,20.5,0.68,2024-2025-femenino
Levante Planas,27,26.2,30,2700,90,100,30.0,330,82,204,124,20,111,0.93,24,45,-21,-0.7,34.6,32.7,1.9,0.06,27,25.5,30,2700,90,100,30.0,330,82,203,126,23,130,1.73,45,24,21,0.7,32.7,34.6,-1.9,-0.06,2024-2025-femenino
Madrid CFF,26,26.5,30,2700,90,100,30.0,330,83,205,125,18,85,1.1,37,62,-25,-0.83,34.1,41.5,-7.4,-0.25,26,25.5,30,2700,90,100,30.0,330,83,198,131,20,120,1.7,62,37,25,0.83,41.5,34.1,7.4,0.25,2024-2025-femenino
Real Betis,26,27.1,30,2700,90,100,30.0,330,82,192,135,20,95,0.77,24,67,-43,-1.43,22.8,56.5,-33.6,-1.12,26,25.5,30,2700,90,100,30.0,330,82,194,136,23,120,2.07,67,24,43,1.43,56.5,22.8,33.6,1.12,2024-2025-femenino
Real Madrid,30,25.6,30,2700,90,100,30.0,330,78,183,147,26,156,2.53,87,28,59,1.97,76.1,22.1,54.0,1.8,30,25.4,30,2700,90,100,30.0,330,78,196,132,20,127,0.33,28,87,-59,-1.97,22.1,76.1,-54.0,-1.8,2024-2025-femenino
Real Sociedad,26,24.0,30,2700,90,100,30.0,330,78,187,142,28,126,1.37,40,45,-5,-0.17,37.1,38.4,-1.3,-0.04,26,25.6,30,2700,90,100,30.0,330,78,192,136,21,115,1.47,45,40,5,0.17,38.4,37.1,1.3,0.04,2024-2025-femenino
Sevilla,22,26.5,30,2700,90,100,30.0,330,81,192,135,20,81,1.2,32,47,-15,-0.5,32.2,38.4,-6.2,-0.21,22,25.4,30,2700,90,100,30.0,330,81,196,133,21,124,1.6,47,32,15,0.5,38.4,32.2,6.2,0.21,2024-2025-femenino
UDG Tenerife,28,27.5,30,2700,90,100,30.0,330,81,192,137,21,107,1.4,40,36,4,0.13,32.5,36.6,-4.1,-0.14,28,25.4,30,2700,90,100,30.0,330,81,200,130,22,113,1.3,36,40,-4,-0.13,36.6,32.5,4.1,0.14,2024-2025-femenino
Valencia,30,25.1,30,2700,90,100,30.0,330,81,197,134,22,78,0.77,24,47,-23,-0.77,25.4,44.0,-18.6,-0.62,30,25.5,30,2700,90,100,30.0,330,81,199,132,20,121,1.97,47,24,23,0.77,44.0,25.4,18.6,0.62,2024-2025-femenino
