Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 Poss_for,Unnamed: 3_level_0 90s_for,Touches Touches_for,Touches Def Pen_for,Touches Def 3rd_for,Touches Mid 3rd_for,Touches Att 3rd_for,Touches Att Pen_for,Touches Live_for,Take-Ons Att_for,Take-Ons Succ_for,Take-Ons Succ%_for,Take-Ons Tkld_for,Take-Ons Tkld%_for,Carries Carries_for,Carries TotDist_for,Carries PrgDist_for,Carries PrgC_for,Carries 1/3_for,Carries CPA_for,Carries Mis_for,Carries Dis_for,Receiving Rec_for,Receiving PrgR_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 Poss_against,Unnamed: 3_level_0 90s_against,Touches Touches_against,Touches Def Pen_against,Touches Def 3rd_against,Touches Mid 3rd_against,Touches Att 3rd_against,Touches Att Pen_against,Touches Live_against,Take-Ons Att_against,Take-Ons Succ_against,Take-Ons Succ%_against,Take-Ons Tkld_against,Take-Ons Tkld%_against,Carries Carries_against,Carries TotDist_against,Carries PrgDist_against,Carries PrgC_against,Carries 1/3_against,Carries CPA_against,Carries Mis_against,Carries Dis_against,Receiving Rec_against,Receiving PrgR_against,Season
Athletic Club,26,52.6,30.0,17864,1948,6765,7703,3543,468,17860,406,169,41.6,236,58.1,9576,46070,22571,302,217,87,461,350,11710,1099,26,47.4,30.0,16578,1634,5576,7007,4124,594,16577,310,174,56.1,133,42.9,9014,42622,20782,382,259,104,470,311,10237,1100,2024-2025-femenino
Atlético Madrid,23,59.1,30.0,19592,1859,5876,8824,5026,671,19590,414,189,45.7,219,52.9,11135,52742,28575,494,341,148,483,371,13386,1577,23,40.9,30.0,14789,1949,6031,5669,3224,502,14788,280,134,47.9,145,51.8,7167,35332,17424,339,221,117,416,311,8549,803,2024-2025-femenino
Barcelona,26,74.4,30.0,25465,807,3561,10864,11172,1585,25458,487,251,51.5,234,48.0,15949,68121,34221,765,542,300,413,289,19501,2581,26,25.6,30.0,11299,3145,7149,3230,1003,161,11299,241,90,37.3,151,62.7,4273,21945,10348,154,94,53,402,284,5101,268,2024-2025-femenino
Dep La Coruña,27,45.0,30.0,14813,2287,6341,6082,2535,383,14811,424,235,55.4,189,44.6,7331,39519,20634,349,205,97,506,309,8214,747,27,55.0,30.0,17361,1267,4632,7597,5298,881,17360,401,214,53.4,184,45.9,9488,48222,25152,525,341,181,481,319,10799,1483,2024-2025-femenino
Eibar,26,34.4,30.0,12043,1843,4979,4595,2576,341,12039,302,150,49.7,150,49.7,4295,22935,9719,185,164,75,481,318,4875,576,26,65.6,30.0,20059,1483,5390,9269,5574,691,20057,448,220,49.1,223,49.8,9558,50675,27239,555,356,131,506,291,13005,1637,2024-2025-femenino
Espanyol,26,35.2,30.0,11814,1762,4790,4447,2755,441,11812,331,153,46.2,177,53.5,4671,27609,13216,303,212,97,553,312,5017,610,26,64.8,30.0,18820,1596,5923,8451,4598,658,18814,433,234,54.0,197,45.5,10321,48770,25326,419,261,136,526,384,12212,1342,2024-2025-femenino
Granada,24,53.7,30.0,16720,1650,5735,7263,3884,584,16716,381,195,51.2,183,48.0,8360,40406,19574,425,236,94,426,296,10072,1074,24,46.3,30.0,15325,1855,5785,6243,3445,539,15322,440,206,46.8,233,53.0,7412,39047,18951,368,218,123,500,315,8790,1012,2024-2025-femenino
Levante,25,51.1,30.0,17156,1947,6660,6946,3678,485,17154,412,217,52.7,193,46.8,8567,40549,20220,363,203,100,540,349,10503,1070,25,48.9,30.0,16838,1579,5315,7280,4403,683,16834,501,227,45.3,271,54.1,8758,46619,22189,426,265,130,478,329,10205,1206,2024-2025-femenino
Levante Planas,27,50.7,30.0,16685,1672,5463,7052,4351,547,16679,457,241,52.7,214,46.8,8750,46020,22422,447,319,156,580,424,10112,1153,27,49.3,30.0,16629,1876,6187,7042,3549,510,16627,373,185,49.6,187,50.1,8368,39806,19190,339,212,106,531,317,9930,907,2024-2025-femenino
Madrid CFF,26,49.4,30.0,15867,2005,6762,6223,3031,546,15866,297,145,48.8,151,50.8,7634,39837,20352,410,202,127,456,276,9199,877,26,50.6,30.0,16637,1522,4781,7445,4585,608,16633,374,176,47.1,198,52.9,8957,42418,20397,374,310,129,570,331,9976,1140,2024-2025-femenino
