Squad,season,liga,Cluster_Por90min_Femenino,Cluster_Normalizado_Femenino,Cluster_Por90min_La_Liga,Cluster_Normalizado_La_Liga,Cluster_Por90min_Bundesliga,Cluster_Normalizado_Bundesliga,Cluster_Por90min_Ligue_1,Cluster_Normalizado_Ligue_1,Cluster_Por90min_Serie_A,Cluster_Normalizado_Serie_A,Cluster_Por90min_Premier_League,Cluster_Normalizado_Premier_League,Cluster_Por90min_Global,Cluster_Normalizado_Global,Cluster_pred_Serie A_Normalizado,Cluster_pred_Femenino_Por90min,Cluster_pred_Femenino_Normalizado,Cluster_pred_Bundesliga_Por90min,Cluster_pred_Bundesliga_Normalizado,Cluster_pred_Ligue_1_Por90min,Cluster_pred_Ligue_1_Normalizado,Cluster_pred_Serie_A_Por90min,Cluster_pred_Serie_A_Normalizado,Cluster_pred_Premier_League_Por90min,Cluster_pred_Premier_League_Normalizado
Arsenal,2024-2025,Premier League,,,,,,,,,,,2.0,1.0,1.0,3.0,,,,,,,,,,,
Aston Villa,2024-2025,Premier League,,,,,,,,,,,3.0,1.0,1.0,3.0,,,,,,,,,,,
Bournemouth,2024-2025,Premier League,,,,,,,,,,,3.0,2.0,1.0,1.0,,,,,,,,,,,
Brentford,2024-2025,Premier League,,,,,,,,,,,3.0,2.0,1.0,1.0,,,,,,,,,,,
Brighton,2024-2025,Premier League,,,,,,,,,,,3.0,1.0,1.0,3.0,,,,,,,,,,,
Chelsea,2024-2025,Premier League,,,,,,,,,,,2.0,1.0,1.0,3.0,,,,,,,,,,,
Crystal Palace,2024-2025,Premier League,,,,,,,,,,,1.0,2.0,2.0,1.0,,,,,,,,,,,
Everton,2024-2025,Premier League,,,,,,,,,,,1.0,2.0,2.0,1.0,,,,,,,,,,,
Fulham,2024-2025,Premier League,,,,,,,,,,,3.0,1.0,1.0,1.0,,,,,,,,,,,
Ipswich Town,2024-2025,Premier League,,,,,,,,,,,1.0,3.0,2.0,1.0,,,,,,,,,,,
Leicester City,2024-2025,Premier League,,,,,,,,,,,1.0,3.0,2.0,1.0,,,,,,,,,,,
Liverpool,2024-2025,Premier League,,,,,,,,,,,2.0,1.0,3.0,3.0,,,,,,,,,,,
Manchester City,2024-2025,Premier League,,,,,,,,,,,2.0,1.0,3.0,3.0,,,,,,,,,,,
Manchester Utd,2024-2025,Premier League,,,,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,
Newcastle Utd,2024-2025,Premier League,,,,,,,,,,,3.0,1.0,1.0,3.0,,,,,,,,,,,
Nott'ham Forest,2024-2025,Premier League,,,,,,,,,,,1.0,2.0,2.0,1.0,,,,,,,,,,,
Southampton,2024-2025,Premier League,,,,,,,,,,,3.0,3.0,1.0,1.0,,,,,,,,,,,
Tottenham,2024-2025,Premier League,,,,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,
West Ham,2024-2025,Premier League,,,,,,,,,,,3.0,3.0,1.0,1.0,,,,,,,,,,,
Wolves,2024-2025,Premier League,,,,,,,,,,,3.0,3.0,1.0,1.0,,,,,,,,,,,
