Squad,Tackles TklW_for,Tackles Def 3rd_for,Tackles Mid 3rd_for,Tackles Att 3rd_for,Challenges Tkl_for,Challenges Tkl%_for,Challenges Lost_for,Blocks Blocks_for,Blocks Sh_for,Blocks Pass_for,Unnamed: 15_level_0 Int_for,Unnamed: 17_level_0 Clr_for,Unnamed: 18_level_0 Err_for,Tackles TklW_against,Tackles Def 3rd_against,Tackles Mid 3rd_against,Tackles Att 3rd_against,Challenges Tkl_against,Challenges Tkl%_against,Challenges Lost_against,Blocks Blocks_against,Blocks Sh_against,Blocks Pass_against,Unnamed: 15_level_0 Int_against,Unnamed: 17_level_0 Clr_against,Unnamed: 18_level_0 Err_against,Season,Performance CrdY_for,Performance CrdR_for,Performance 2CrdY_for,Performance Fls_for,Performance Fld_for,Performance Off_for,Performance Crs_for,Performance Int_for,Performance TklW_for,Performance PKwon_for,Performance PKcon_for,Performance OG_for,Performance Recov_for,Aerial Duels Won_for,Aerial Duels Lost_for,Performance CrdY_against,Performance CrdR_against,Performance 2CrdY_against,Performance Fls_against,Performance Fld_against,Performance Off_against,Performance Crs_against,Performance Int_against,Performance TklW_against,Performance PKwon_against,Performance PKcon_against,Performance OG_against,Performance Recov_against,Aerial Duels Won_against,Aerial Duels Lost_against,Total Cmp_for,Total Att_for,Total TotDist_for,Total PrgDist_for,Short Cmp_for,Short Att_for,Medium Cmp_for,Medium Att_for,Long Cmp_for,Long Att_for,Unnamed: 17_level_0 Ast_for,Unnamed: 18_level_0 xAG_for,Expected xA_for,Unnamed: 21_level_0 KP_for,Unnamed: 22_level_0 1/3_for,Unnamed: 23_level_0 PPA_for,Unnamed: 24_level_0 CrsPA_for,Unnamed: 25_level_0 PrgP_for,Total Cmp_against,Total Att_against,Total TotDist_against,Total PrgDist_against,Short Cmp_against,Short Att_against,Medium Cmp_against,Medium Att_against,Long Cmp_against,Long Att_against,Unnamed: 17_level_0 Ast_against,Unnamed: 18_level_0 xAG_against,Expected xA_against,Unnamed: 21_level_0 KP_against,Unnamed: 22_level_0 1/3_against,Unnamed: 23_level_0 PPA_against,Unnamed: 24_level_0 CrsPA_against,Unnamed: 25_level_0 PrgP_against,Unnamed: 3_level_0 Att_for,Pass Types Live_for,Pass Types Dead_for,Pass Types FK_for,Pass Types TB_for,Pass Types Sw_for,Pass Types Crs_for,Pass Types TI_for,Pass Types CK_for,Corner Kicks In_for,Corner Kicks Out_for,Corner Kicks Str_for,Outcomes Cmp_for,Outcomes Off_for,Outcomes Blocks_for,Unnamed: 3_level_0 Att_against,Pass Types Live_against,Pass Types Dead_against,Pass Types FK_against,Pass Types TB_against,Pass Types Sw_against,Pass Types Crs_against,Pass Types TI_against,Pass Types CK_against,Corner Kicks In_against,Corner Kicks Out_against,Corner Kicks Str_against,Outcomes Cmp_against,Outcomes Off_against,Outcomes Blocks_against,Starts Mn/Start_for,Subs Subs_for,Subs Mn/Sub_for,Subs unSub_for,Team Success PPM_for,Team Success onG_for,Team Success onGA_for,Team Success +/-_for,Team Success (xG) onxG_for,Team Success (xG) onxGA_for,Team Success (xG) xG+/-_for,Subs Subs_against,Subs Mn/Sub_against,Subs unSub_against,Team Success PPM_against,Unnamed: 2_level_0 Poss_for,Touches Def Pen_for,Touches Def 3rd_for,Touches Mid 3rd_for,Touches Att 3rd_for,Touches Att Pen_for,Take-Ons Att_for,Take-Ons Succ_for,Take-Ons Succ%_for,Take-Ons Tkld_for,Take-Ons Tkld%_for,Carries Carries_for,Carries PrgC_for,Carries 1/3_for,Carries CPA_for,Carries Mis_for,Carries Dis_for,Receiving Rec_for,Receiving PrgR_for,Unnamed: 2_level_0 Poss_against,Touches Touches_against,Touches Def Pen_against,Touches Def 3rd_against,Touches Mid 3rd_against,Touches Att 3rd_against,Touches Att Pen_against,Take-Ons Att_against,Take-Ons Succ_against,Take-Ons Succ%_against,Take-Ons Tkld_against,Take-Ons Tkld%_against,Carries Carries_against,Carries PrgC_against,Carries 1/3_against,Carries CPA_against,Carries Mis_against,Carries Dis_against,Receiving Rec_against,Receiving PrgR_against,SCA SCA_for,SCA Types PassLive_for,SCA Types PassDead_for,SCA Types TO_for,SCA Types Sh_for,SCA Types Fld_for,SCA Types Def_for,GCA GCA_for,GCA Types PassLive_for,GCA Types PassDead_for,GCA Types TO_for,GCA Types Sh_for,GCA Types Fld_for,GCA Types Def_for,SCA SCA_against,SCA Types PassLive_against,SCA Types PassDead_against,SCA Types TO_against,SCA Types Sh_against,SCA Types Fld_against,SCA Types Def_against,GCA GCA_against,GCA Types PassLive_against,GCA Types PassDead_against,GCA Types TO_against,GCA Types Sh_against,GCA Types Fld_against,GCA Types Def_against,Standard Gls_for,Standard Sh_for,Standard SoT_for,Standard SoT%_for,Standard G/Sh_for,Standard G/SoT_for,Standard Dist_for,Standard FK_for,Standard PK_for,Standard PKatt_for,Expected xG_for,Expected npxG_for,Expected npxG/Sh_for,Expected G-xG_for,Expected np:G-xG_for,Standard Gls_against,Standard Sh_against,Standard SoT_against,Standard SoT%_against,Standard G/Sh_against,Standard G/SoT_against,Standard Dist_against,Standard FK_against,Standard PK_against,Standard PKatt_against,Expected xG_against,Expected npxG_against,Expected npxG/Sh_against,Expected G-xG_against,Expected np:G-xG_against
Alavés,459,346,307,84,348,47.9,378,382,96,286,309,918,10,328,258,224,70,245,57.0,185,380,89,291,287,1123,16,2024-2025,107,5,2,623,476,77,798,309,459,8,11,2,1499,639,694,107,5,0,504,590,64,722,287,328,6,11,0,1420,694,639,10534,14746,199550,84871,4546,5494,4441,5542,1312,2838,20,25.4,25.9,284,963,229,99,1160,14251,18138,260653,94982,6140,6970,6230,7338,1563,2925,28,33.3,32.3,306,1034,245,97,1323,14746,12723,1946,537,45,99,798,834,182,61,90,6,10534,77,368,18138,15935,2139,672,52,139,722,913,177,62,61,1,14251,64,340,82,161,21,275,1.11,38,48,-10,42.8,47.0,-4.2,178,24,251,1.58,45.3,1876,5802,8634,4809,691,478,185,38.7,245,51.3,9128,449,346,90,598,307,10419,1148,54.7,22689,2367,7584,10446,4876,659,810,378,46.7,348,43.0,11958,573,440,137,645,389,14127,1309,690,465,95,26,41,48,15,61,39,3,3,7,9,0,736,496,85,62,39,47,7,81,52,5,8,6,10,0,38,393,123,31.3,0.07,0.24,17.8,10,9,11,42.8,34.1,0.09,-4.8,-5.1,46,395,121,30.6,0.09,0.29,17.6,17,11,11,47.0,38.5,0.1,-1.0,-3.5
Athletic Club,345,240,252,85,296,51.1,283,353,72,281,344,911,25,471,428,289,72,388,54.2,328,348,112,236,361,951,24,2024-2025,64,3,1,483,386,68,772,344,345,5,5,1,1735,496,514,83,4,2,406,462,84,592,361,471,5,6,1,1624,514,496,13665,17375,253362,90647,5552,6396,6520,7522,1395,2733,40,36.7,33.1,351,1283,274,90,1579,14953,18891,269493,95206,6402,7284,6730,7799,1481,2854,11,22.9,21.5,242,911,205,69,1177,17375,15511,1796,472,48,116,772,836,193,73,81,1,13665,68,300,18891,16899,1908,528,52,139,592,796,155,54,61,1,14953,84,323,80,189,23,253,1.84,54,29,25,53.0,37.8,15.2,177,21,240,0.82,48.4,1884,6255,10334,5382,760,791,328,41.5,388,49.1,11368,682,444,188,597,401,13522,1561,51.6,23225,2765,9110,10141,4156,588,633,283,44.7,296,46.8,12464,468,345,111,608,281,14809,1168,832,630,65,52,38,27,20,92,63,8,7,8,6,0,588,408,66,39,34,30,11,48,28,5,2,5,7,1,53,462,148,32.0,0.11,0.34,17.4,8,3,6,53.0,48.2,0.11,0.0,1.8,28,338,108,32.0,0.07,0.23,17.6,9,3,5,37.8,33.9,0.1,-9.8,-8.9
Atlético Madrid,375,305,238,76,319,50.9,308,358,97,261,260,818,25,365,276,206,97,305,52.5,276,437,110,327,369,969,35,2024-2025,75,3,0,412,427,72,675,260,375,4,5,2,1563,445,420,68,0,0,450,384,37,656,369,365,3,7,0,1547,420,445,17826,21418,295213,100382,8814,9752,6993,7984,1486,2519,51,47.9,45.3,348,1233,365,96,1559,16246,19538,291315,95937,7097,7859,7307,8119,1542,2749,17,23.9,29.8,286,1462,282,84,1543,21418,19514,1832,463,76,112,675,789,190,67,65,0,17826,72,388,19538,17845,1656,460,33,124,656,664,144,41,56,0,16246,37,304,78,188,27,242,2.0,68,30,38,64.6,33.4,31.2,173,20,257,0.74,52.6,2335,8013,11493,6074,860,639,276,43.2,305,47.7,15829,760,579,167,541,275,17707,1553,47.4,23851,2405,6916,11439,5686,619,694,308,44.4,319,46.0,13506,581,479,100,577,300,16092,1533,826,657,49,39,42,24,15,123,100,1,7,7,5,3,678,506,55,45,30,36,6,45,27,4,3,4,7,0,68,463,174,37.6,0.13,0.36,17.0,13,6,7,64.6,59.3,0.13,3.4,2.7,28,387,111,28.7,0.06,0.21,18.6,14,5,5,33.4,29.5,0.08,-5.4,-6.5
Barcelona,332,186,245,107,271,52.1,249,329,60,269,227,601,14,405,378,245,68,375,45.2,455,497,175,322,381,1016,38,2024-2025,63,3,1,368,465,65,709,227,332,8,4,0,1673,380,339,89,2,0,479,351,181,482,381,405,4,8,3,1499,339,380,22321,25721,371914,116385,10452,11341,9674,10643,1577,2424,72,67.5,64.7,500,2020,479,77,2212,8511,11890,161116,69199,3752,4435,3313,4086,1208,2491,31,32.6,21.8,222,595,166,59,780,25721,23787,1869,621,130,133,709,712,265,104,47,1,22321,65,371,11890,10010,1699,417,62,135,482,636,149,62,57,1,8511,181,317,80,180,22,254,2.32,102,39,63,91.5,41.9,49.5,180,22,246,0.58,68.3,1857,6516,14966,8535,1208,909,455,50.1,375,41.3,18077,860,667,238,579,316,22187,2201,31.7,16221,2896,7293,6081,3011,566,572,249,43.5,271,47.4,7646,406,246,147,545,267,8434,769,1205,928,60,79,71,53,14,172,127,5,17,10,12,1,510,385,48,23,22,19,13,73,59,3,3,2,4,2,99,670,240,35.8,0.14,0.38,17.1,27,7,8,91.5,85.2,0.13,7.5,6.8,39,290,104,35.9,0.12,0.34,17.5,7,4,4,41.9,38.8,0.13,-2.9,-3.8
Betis,397,271,273,101,342,53.1,302,406,113,293,356,910,19,459,362,285,75,344,52.4,312,458,132,326,332,866,19,2024-2025,75,4,0,433,524,56,627,356,397,9,4,1,1679,464,478,102,7,3,552,408,92,683,332,459,3,10,2,1618,478,464,15770,19284,264738,91436,7583,8423,6318,7291,1341,2443,37,37.5,34.8,417,1127,329,75,1486,13910,17627,246914,92271,6224,7089,6031,7022,1341,2578,32,38.4,32.4,309,1110,251,69,1411,19284,17322,1906,613,60,153,627,778,197,82,68,0,15770,56,376,17627,15754,1781,466,51,107,683,756,162,73,62,3,13910,92,339,80,179,22,230,1.58,57,50,7,54.7,50.6,4.1,181,21,246,1.11,52.4,2253,7466,10545,6088,921,722,312,43.2,344,47.6,13910,679,532,228,676,378,15627,1468,47.6,22048,2459,7355,9895,5002,750,702,302,43.0,342,48.7,11838,611,421,165,564,303,13770,1394,944,718,62,59,48,40,17,100,72,6,4,9,8,1,735,533,67,46,48,30,11,85,55,7,7,7,7,2,55,518,176,34.0,0.09,0.27,18.1,14,7,10,54.7,46.9,0.09,0.3,1.1,49,418,137,32.8,0.11,0.33,17.3,11,4,4,50.6,47.4,0.12,-1.6,-2.4
Celta Vigo,340,258,217,80,286,49.7,290,345,91,254,282,828,30,382,307,234,67,312,55.1,254,454,122,332,390,740,17,2024-2025,84,6,3,462,436,67,501,282,340,6,4,2,1532,375,439,88,7,2,455,447,75,667,390,382,2,9,1,1698,439,375,17798,21253,312877,104182,7549,8367,8368,9325,1480,2521,40,38.4,36.9,339,1424,300,53,1659,14946,18445,266539,89590,6617,7382,6584,7411,1433,2809,45,33.3,31.9,308,1103,243,85,1222,21253,19376,1810,502,89,149,501,782,149,52,62,1,17798,67,365,18445,16682,1688,504,57,102,667,680,159,69,53,1,14946,75,323,79,189,23,265,1.45,59,57,2,54.2,43.4,10.9,180,23,250,1.37,53.6,2232,7618,12133,5574,831,628,254,40.4,312,49.7,15010,709,500,218,558,296,17691,1649,46.4,22435,2437,7311,10538,4807,676,638,290,45.5,286,44.8,12857,564,463,144,527,269,14814,1209,789,607,41,42,57,30,12,98,77,1,5,8,7,0,719,532,76,41,41,22,7,92,69,6,7,8,2,0,58,442,167,37.8,0.11,0.3,17.9,19,8,9,54.2,47.3,0.11,3.8,2.7,55,399,141,35.3,0.13,0.37,16.8,9,3,4,43.4,40.0,0.1,11.6,12.0
Espanyol,397,380,210,50,310,50.8,300,435,155,280,315,1131,21,309,234,209,64,266,54.6,221,346,97,249,292,773,20,2024-2025,88,1,0,498,432,61,619,315,397,5,6,1,1364,493,504,66,2,0,457,469,53,858,292,309,6,5,2,1576,504,493,10580,13996,199624,80026,4245,4942,4814,5678,1297,2629,27,24.5,23.4,256,772,204,81,1000,17987,21580,311271,106771,8341,9165,7778,8804,1534,2689,39,39.6,41.3,431,1501,381,103,1821,13996,12245,1690,484,51,97,619,647,144,35,77,2,10580,61,285,21580,19688,1839,529,49,143,858,759,227,97,95,5,17987,53,350,81,180,21,270,1.11,40,51,-11,34.4,53.8,-19.4,174,21,256,1.66,39.8,2655,7408,7625,3582,548,546,221,40.5,266,48.7,9361,497,359,109,561,241,10490,991,60.2,25692,1881,6559,12682,6675,1016,686,300,43.7,310,45.2,15118,838,604,195,585,330,17827,1808,632,431,73,36,35,45,12,68,41,8,3,5,10,1,1024,757,88,51,61,49,18,92,64,4,11,5,7,1,38,351,98,27.9,0.09,0.34,18.4,15,5,5,34.4,30.5,0.09,3.6,2.5,50,561,186,33.2,0.08,0.25,18.0,22,4,6,53.8,49.0,0.09,-3.8,-3.0
Getafe,393,287,278,80,333,50.1,332,411,84,327,276,1065,15,391,357,248,64,312,54.1,265,351,127,224,282,1230,22,2024-2025,110,7,3,602,506,90,721,276,393,3,9,0,1436,771,738,101,5,1,529,561,85,626,282,391,7,5,0,1419,738,771,8695,12922,169125,74933,3711,4579,3515,4628,1250,2951,21,23.9,23.8,296,958,226,104,981,13966,18284,250679,92537,6043,6962,6205,7399,1371,2889,21,31.3,28.0,259,997,227,66,1284,12922,10790,2042,579,23,116,721,927,147,55,69,1,8695,90,262,18284,16088,2111,659,52,111,626,910,147,66,45,1,13966,85,364,81,164,21,247,1.11,34,39,-5,36.8,46.2,-9.4,175,21,251,1.66,41.8,1770,5183,7998,4646,675,631,265,42.0,312,49.4,7825,368,311,105,719,357,8611,966,58.2,22942,2431,8144,10481,4497,630,740,332,44.9,333,45.0,11645,499,343,123,641,312,13820,1269,736,483,94,45,37,58,19,56,33,7,1,8,5,2,647,473,68,34,30,36,6,68,49,4,3,5,7,0,34,430,122,28.4,0.07,0.24,19.4,17,5,5,36.8,33.0,0.08,-2.8,-4.0,39,362,117,32.3,0.09,0.26,17.9,12,8,9,46.2,39.4,0.11,-7.2,-8.4
Girona,348,268,219,82,292,52.4,265,327,104,223,279,722,34,348,291,199,98,276,48.7,291,381,108,273,277,911,15,2024-2025,76,2,0,437,439,79,804,279,348,4,6,1,1443,321,344,80,4,1,460,426,44,607,277,348,6,5,1,1414,344,321,18273,21401,322614,100730,8002,8697,8458,9319,1526,2565,31,31.6,37.4,308,1494,302,87,1691,13798,16818,243267,83228,6108,6712,6052,6873,1281,2411,46,36.5,33.6,348,1070,254,74,1183,21401,19598,1724,484,39,128,804,706,186,91,67,1,18273,79,338,16818,15144,1630,488,40,84,607,626,166,61,62,2,13798,44,260,81,172,22,249,1.08,44,60,-16,42.5,50.4,-8.0,176,20,248,1.71,56.3,2516,7829,11533,5912,795,634,291,45.9,276,43.5,15275,765,553,180,522,312,18040,1684,43.7,20788,2333,7034,8948,5006,779,620,265,42.7,292,47.1,11640,582,402,202,476,277,13689,1174,727,562,60,34,37,23,11,77,56,6,2,9,3,1,785,575,61,54,40,33,22,99,72,6,5,9,4,3,43,397,134,33.8,0.1,0.29,17.7,13,4,5,42.5,38.6,0.1,0.5,0.4,59,450,158,35.1,0.12,0.35,18.1,16,3,6,50.4,45.7,0.1,8.6,10.3
Las Palmas,370,308,253,58,307,51.9,285,434,139,295,321,971,28,360,253,230,80,288,54.6,239,353,100,253,307,974,19,2024-2025,110,4,2,452,462,59,674,321,370,1,10,3,1454,529,561,90,7,2,489,431,99,740,307,360,9,4,2,1625,561,529,14352,18209,254010,92291,6396,7255,6214,7269,1395,2776,27,26.3,26.5,304,1059,246,79,1210,14104,17854,247245,90659,6398,7238,6069,7135,1278,2493,43,47.5,42.7,387,1190,306,96,1470,18209,16234,1916,558,49,117,674,782,160,54,72,4,14352,59,321,17854,15927,1828,472,69,118,740,812,198,86,63,3,14104,99,350,80,189,21,246,0.84,40,61,-21,36.3,66.8,-30.5,178,21,252,1.95,50.7,2561,7809,10353,4511,669,571,239,41.9,288,50.4,11365,499,346,113,547,275,14222,1197,49.3,22205,2110,6608,10200,5612,931,654,285,43.6,307,46.9,11832,684,471,197,638,312,13983,1457,741,543,65,39,39,46,9,68,54,2,2,5,4,1,937,705,69,50,52,46,15,102,79,4,5,6,6,2,38,409,134,32.8,0.09,0.26,19.2,21,3,4,36.3,33.2,0.08,1.7,1.8,58,530,173,32.6,0.1,0.31,17.4,18,5,10,66.8,59.3,0.11,-8.8,-6.3
