season,Squad,Tackles TklW_for,Tackles Def 3rd_for,Tackles Mid 3rd_for,Tackles Att 3rd_for,Challenges Tkl_for,Challenges Tkl%_for,Challenges Lost_for,Blocks Blocks_for,Blocks Sh_for,Blocks Pass_for,Unnamed: 15_level_0 Int_for,Unnamed: 17_level_0 Clr_for,Unnamed: 18_level_0 Err_for,Tackles TklW_against,Tackles Def 3rd_against,Tackles Mid 3rd_against,Tackles Att 3rd_against,Challenges Tkl_against,Challenges Tkl%_against,Challenges Lost_against,Blocks Blocks_against,Blocks Sh_against,Blocks Pass_against,Unnamed: 15_level_0 Int_against,Unnamed: 17_level_0 Clr_against,Unnamed: 18_level_0 Err_against,SCA SCA_for,SCA Types PassLive_for,SCA Types PassDead_for,SCA Types TO_for,SCA Types Sh_for,SCA Types Fld_for,SCA Types Def_for,GCA GCA_for,GCA Types PassLive_for,GCA Types PassDead_for,GCA Types TO_for,GCA Types Sh_for,GCA Types Fld_for,GCA Types Def_for,SCA SCA_against,SCA Types PassLive_against,SCA Types PassDead_against,SCA Types TO_against,SCA Types Sh_against,SCA Types Fld_against,SCA Types Def_against,GCA GCA_against,GCA Types PassLive_against,GCA Types PassDead_against,GCA Types TO_against,GCA Types Sh_against,GCA Types Fld_against,GCA Types Def_against,Performance CrdY_for,Performance CrdR_for,Performance 2CrdY_for,Performance Fls_for,Performance Fld_for,Performance Off_for,Performance Crs_for,Performance Int_for,Performance TklW_for,Performance PKwon_for,Performance PKcon_for,Performance OG_for,Performance Recov_for,Aerial Duels Won_for,Aerial Duels Lost_for,Performance CrdY_against,Performance CrdR_against,Performance 2CrdY_against,Performance Fls_against,Performance Fld_against,Performance Off_against,Performance Crs_against,Performance Int_against,Performance TklW_against,Performance PKwon_against,Performance PKcon_against,Performance OG_against,Performance Recov_against,Unnamed: 3_level_0 Att_for,Pass Types Live_for,Pass Types Dead_for,Pass Types FK_for,Pass Types TB_for,Pass Types Sw_for,Pass Types Crs_for,Pass Types TI_for,Pass Types CK_for,Corner Kicks In_for,Corner Kicks Out_for,Corner Kicks Str_for,Outcomes Cmp_for,Outcomes Off_for,Outcomes Blocks_for,Pass Types Live_against,Pass Types Dead_against,Pass Types FK_against,Pass Types TB_against,Pass Types Sw_against,Pass Types Crs_against,Pass Types TI_against,Pass Types CK_against,Corner Kicks In_against,Corner Kicks Out_against,Corner Kicks Str_against,Outcomes Cmp_against,Outcomes Off_against,Outcomes Blocks_against,Total Cmp_for,Total Att_for,Short Cmp_for,Short Att_for,Medium Cmp_for,Medium Att_for,Long Cmp_for,Long Att_for,Unnamed: 17_level_0 Ast_for,Unnamed: 18_level_0 xAG_for,Expected xA_for,Unnamed: 21_level_0 KP_for,Unnamed: 22_level_0 1/3_for,Unnamed: 23_level_0 PPA_for,Unnamed: 24_level_0 CrsPA_for,Unnamed: 25_level_0 PrgP_for,Total Cmp_against,Total PrgDist_against,Short Cmp_against,Short Att_against,Medium Cmp_against,Medium Att_against,Long Cmp_against,Long Att_against,Unnamed: 17_level_0 Ast_against,Unnamed: 18_level_0 xAG_against,Expected xA_against,Unnamed: 21_level_0 KP_against,Unnamed: 22_level_0 1/3_against,Unnamed: 23_level_0 PPA_against,Unnamed: 24_level_0 CrsPA_against,Unnamed: 25_level_0 PrgP_against,Starts Mn/Start_for,Subs Subs_for,Subs Mn/Sub_for,Subs unSub_for,Team Success PPM_for,Team Success onG_for,Team Success onGA_for,Team Success +/-_for,Team Success (xG) onxG_for,Team Success (xG) onxGA_for,Team Success (xG) xG+/-_for,Subs Subs_against,Subs Mn/Sub_against,Subs unSub_against,Team Success PPM_against,Unnamed: 2_level_0 Poss_for,Touches Def Pen_for,Touches Def 3rd_for,Touches Mid 3rd_for,Touches Att 3rd_for,Touches Att Pen_for,Touches Live_for,Take-Ons Att_for,Take-Ons Succ_for,Take-Ons Succ%_for,Take-Ons Tkld_for,Take-Ons Tkld%_for,Carries Carries_for,Carries PrgDist_for,Carries PrgC_for,Carries 1/3_for,Carries CPA_for,Carries Mis_for,Carries Dis_for,Receiving Rec_for,Receiving PrgR_for,Unnamed: 2_level_0 Poss_against,Touches Touches_against,Touches Def Pen_against,Touches Def 3rd_against,Touches Mid 3rd_against,Touches Att 3rd_against,Touches Att Pen_against,Take-Ons Att_against,Take-Ons Succ_against,Take-Ons Succ%_against,Take-Ons Tkld_against,Take-Ons Tkld%_against,Carries Carries_against,Carries TotDist_against,Carries PrgC_against,Carries 1/3_against,Carries CPA_against,Carries Mis_against,Carries Dis_against,Receiving Rec_against,Receiving PrgR_against,Standard Gls_for,Standard Sh_for,Standard SoT_for,Standard SoT%_for,Standard G/Sh_for,Standard G/SoT_for,Standard Dist_for,Standard FK_for,Standard PK_for,Standard PKatt_for,Expected xG_for,Expected npxG_for,Expected npxG/Sh_for,Expected G-xG_for,Expected np:G-xG_for,Standard Gls_against,Standard Sh_against,Standard SoT_against,Standard SoT%_against,Standard G/Sh_against,Standard G/SoT_against,Standard Dist_against,Standard FK_against,Standard PK_against,Standard PKatt_against,Expected xG_against,Expected npxG_against,Expected npxG/Sh_against,Expected G-xG_against,Expected np:G-xG_against,Unnamed: 3_level_0 Poss_for,Performance Gls_for,Performance Ast_for,Performance G+A_for,Performance G-PK_for,Performance PK_for,Performance PKatt_for,Performance CrdY_for__Squad Standard Stats_clean,Performance CrdR_for__Squad Standard Stats_clean,Expected xG_for__Squad Standard Stats_clean,Expected npxG_for__Squad Standard Stats_clean,Expected xAG_for,Expected npxG+xAG_for,Progression PrgC_for,Progression PrgP_for,Unnamed: 3_level_0 Poss_against,Performance Gls_against,Performance Ast_against,Performance G+A_against,Performance G-PK_against,Performance PK_against,Performance PKatt_against,Performance CrdY_against__Squad Standard Stats_clean,Performance CrdR_against__Squad Standard Stats_clean,Expected xG_against__Squad Standard Stats_clean,Expected npxG_against__Squad Standard Stats_clean,Expected xAG_against,Expected npxG+xAG_against,Progression PrgC_against,Progression PrgP_against,liga
2024-2025,Arsenal,348,220,249,129,260,50.5,255,328,106,222,225,680,33,420,406,214,78,316,49.7,320,410,180,230,261,1038,38,969,726,82,52,64,34,11,119,86,11,6,11,4,1,646,480,47,32,40,31,16,61,37,8,2,5,7,2,70,6,3,401,405,80,766,225,348,2,3,0,1436,471,465,83,2,1,416,390,38,534,261,420,3,2,2,1337,20241,18608,1553,432,80,74,766,598,251,211,3,2,17066,80,278,13697,1520,461,47,74,534,526,118,70,25,2,12192,38,251,17066,20241,8591,9363,7129,7999,1031,2022,55,45.3,45.7,428,1397,437,75,1826,12192,73593,5573,6249,5271,6035,1095,2295,24,24.5,24.6,263,905,197,60,938,83,142,18,200,1.95,69,34,35,59.9,34.4,25.5,157,21,185,0.68,56.9,1844,6064,10362,7808,1282,24054,726,320,44.1,316,43.5,14234,40246,852,540,286,483,382,16894,1801,43.1,19306,2948,7642,7501,4397,632,595,255,42.9,260,43.7,10350,57925,618,413,162,451,338,12077,927,67,544,178,32.7,0.12,0.37,15.1,10,2,2,59.9,58.4,0.11,7.1,6.6,34,359,117,32.6,0.09,0.26,17.8,13,3,3,34.4,32.0,0.09,-0.4,-1.0,56.9,67,55,122,65,2,2,70,6,59.9,58.4,45.3,103.6,852,1826,43.1,34,24,58,31,3,3,83,2,34.4,32.0,24.5,56.6,618,938,Premier League
2024-2025,Aston Villa,372,293,249,95,310,56.8,236,329,107,222,240,788,43,387,322,258,105,299,47.8,327,419,136,283,347,869,30,849,602,85,51,58,39,14,102,80,7,3,6,4,2,818,637,52,38,46,29,16,86,66,3,5,4,5,3,76,4,2,406,499,55,604,240,372,6,3,0,1418,378,423,104,2,1,510,394,93,683,347,387,2,6,2,1539,17797,16044,1698,583,95,58,604,497,230,148,24,1,14701,55,346,15839,1445,441,66,96,683,474,172,112,30,5,14438,93,276,14701,17797,6778,7510,6555,7386,1088,2065,45,41.7,36.9,358,1137,319,56,1344,14438,83992,6870,7487,5962,6755,1278,2286,36,36.4,35.8,336,1189,295,81,1315,80,170,23,170,1.74,58,51,7,56.1,50.1,5.9,157,18,185,1.03,50.5,2646,7301,9257,5362,951,21693,726,327,45.0,299,41.2,12334,36242,720,448,212,508,386,14423,1331,49.5,21614,2408,6804,9497,5515,886,617,236,38.2,310,50.2,12031,65638,688,462,205,491,327,14278,1292,56,478,159,33.3,0.11,0.33,16.3,12,3,6,56.1,51.3,0.11,-0.1,1.7,51,460,153,33.3,0.11,0.32,16.7,10,2,3,50.1,47.8,0.11,0.9,1.2,50.5,56,45,101,53,3,6,76,4,56.1,51.3,41.7,93.0,720,1344,49.5,51,36,87,49,2,3,104,2,50.1,47.8,36.4,84.2,688,1315,Premier League
2024-2025,Bournemouth,399,290,299,102,301,48.0,326,459,136,323,351,1013,22,396,321,257,72,300,50.5,294,414,160,254,279,1014,50,1012,767,68,44,70,42,21,93,62,6,5,8,10,2,878,647,78,54,46,39,14,84,59,5,10,4,5,1,97,3,0,525,400,70,832,351,399,7,4,0,1821,573,606,94,5,3,410,510,42,601,279,396,3,7,1,1662,16900,15136,1694,430,59,78,832,686,228,166,18,4,12977,70,314,16003,1992,569,68,59,601,800,184,103,44,4,14072,42,372,12977,16900,5648,6514,5659,6670,1365,2819,41,43.8,36.5,437,1242,339,106,1489,14072,94618,6832,7804,5701,6768,1179,2500,36,36.5,36.3,369,1012,334,66,1295,83,162,18,180,1.47,58,46,12,64.0,48.5,15.5,160,20,182,1.24,48.5,2217,6444,9314,6128,1005,21611,672,294,43.8,300,44.6,11733,36709,754,534,228,597,350,12855,1474,51.5,22681,2841,8227,9246,5446,934,704,326,46.3,301,42.8,12104,65710,685,452,203,663,390,13911,1280,57,574,192,33.4,0.09,0.27,16.7,10,6,7,64.0,58.5,0.1,-7.0,-7.5,46,483,168,34.8,0.09,0.25,17.1,14,4,4,48.5,45.3,0.1,-2.5,-3.3,48.5,57,41,98,51,6,7,97,3,64.0,58.5,43.8,102.3,754,1489,51.5,46,36,82,42,4,4,94,5,48.5,45.3,36.5,81.8,685,1295,Premier League
2024-2025,Brentford,380,289,223,121,314,52.7,282,480,199,281,285,1040,28,362,273,217,103,293,52.5,265,366,106,260,287,1036,32,780,569,74,40,51,35,11,113,78,11,5,9,9,1,1152,913,67,57,69,30,16,96,85,1,3,5,1,1,62,1,0,320,339,63,674,285,380,6,1,3,1644,624,567,82,3,2,355,316,58,793,287,362,1,6,1,1678,17100,15453,1584,386,69,71,674,602,174,139,2,0,13358,63,288,17074,1576,363,63,74,793,615,242,131,61,4,15047,58,331,13358,17100,5849,6739,5826,6875,1449,2741,44,42.4,38.1,330,1104,325,91,1356,15047,89605,7373,8191,6137,7122,1248,2566,42,43.3,41.8,501,1279,430,92,1562,85,142,15,200,1.47,66,57,9,59.0,55.4,3.6,165,20,177,1.32,47.9,3282,8328,8055,5310,987,21485,627,265,42.3,293,46.7,11412,31661,598,380,213,549,300,13153,1339,52.1,23090,2608,7185,8991,7103,1189,661,282,42.7,314,47.5,12890,68221,835,579,294,507,319,14889,1547,65,434,173,39.9,0.14,0.35,14.9,10,5,6,59.0,54.4,0.13,6.0,5.6,54,646,206,31.9,0.08,0.26,17.5,14,1,1,55.4,54.7,0.09,-1.4,-1.7,47.9,65,44,109,60,5,6,62,1,59.0,54.4,42.4,96.8,598,1356,52.1,54,42,96,53,1,1,82,3,55.4,54.7,43.3,97.9,835,1562,Premier League
2024-2025,Brighton,431,287,297,121,350,49.8,353,439,122,317,315,762,29,408,370,274,82,382,53.1,338,409,147,262,320,981,33,933,685,70,56,53,55,14,113,78,7,10,6,10,2,746,539,69,49,44,35,10,97,64,6,7,9,10,1,78,3,2,438,411,46,704,315,431,6,9,2,1624,518,463,93,5,4,427,421,88,543,320,408,7,7,2,1532,19188,17527,1615,482,77,76,704,605,188,107,48,7,15820,46,310,15881,1678,460,53,82,543,634,182,130,23,4,14240,88,334,15820,19188,7629,8443,6541,7472,1313,2397,41,40.4,39.1,377,1189,339,87,1539,14240,87854,6260,6967,6537,7370,1220,2475,39,41.3,30.2,333,1004,248,44,1209,82,184,18,158,1.61,66,59,7,58.7,54.6,4.1,163,20,179,1.05,52.3,2601,7503,10292,6153,1085,23670,797,338,42.4,382,47.9,13919,41746,816,576,263,583,344,15637,1522,47.7,22046,2949,8740,9148,4374,877,795,353,44.4,350,44.0,12304,64473,607,355,243,503,355,14102,1196,64,526,183,34.8,0.11,0.31,17.2,25,7,7,58.7,53.3,0.1,5.3,3.7,57,418,138,33.0,0.11,0.35,15.6,8,9,9,54.6,47.7,0.12,2.4,0.3,52.3,64,41,105,57,7,7,78,3,58.7,53.3,40.4,93.7,816,1539,47.7,57,39,96,48,9,9,93,5,54.6,47.7,41.3,88.9,607,1209,Premier League
2024-2025,Chelsea,371,243,244,101,273,50.9,263,356,103,253,272,695,45,368,318,241,74,336,50.8,326,435,172,263,286,880,42,1061,811,60,58,70,39,23,109,75,5,9,9,7,4,698,514,55,40,33,40,16,73,48,5,9,4,5,2,101,2,1,436,444,65,663,272,371,5,6,0,1577,402,390,98,2,1,457,422,88,543,286,368,6,5,3,1483,21320,19613,1642,516,79,95,663,587,234,121,37,8,18033,65,304,14557,1595,461,55,59,543,583,139,81,36,1,13008,88,297,18033,21320,8067,8802,8244,9120,1369,2547,47,52.7,41.8,457,1488,346,73,1595,13008,83133,6079,6788,5545,6338,1116,2317,33,35.3,29.4,283,929,255,62,1206,83,140,19,202,1.82,64,43,21,67.8,47.3,20.5,154,19,188,0.95,57.1,2410,7564,11375,6497,1115,25212,783,326,41.6,336,42.9,14501,41394,861,493,317,466,297,17888,1576,42.9,20227,2916,8063,8175,4232,771,627,263,41.9,273,43.5,11048,60917,600,391,179,468,315,12876,1190,61,590,203,34.4,0.1,0.28,16.7,17,4,5,67.8,63.8,0.11,-6.8,-6.8,43,392,149,38.0,0.1,0.26,17.1,22,5,6,47.3,42.6,0.11,-4.3,-4.6,57.1,61,47,108,57,4,5,101,2,67.8,63.8,52.7,116.5,861,1595,42.9,43,33,76,38,5,6,98,2,47.3,42.6,35.3,77.8,600,1206,Premier League
2024-2025,Crystal Palace,450,374,299,94,324,50.4,319,485,144,341,334,1088,19,319,203,264,113,241,53.6,209,417,145,272,342,874,35,877,633,76,33,71,48,16,89,60,8,6,8,6,1,850,610,77,45,78,24,16,84,55,6,5,10,4,4,80,4,3,417,403,74,605,334,450,4,2,3,1698,511,636,84,4,3,418,398,47,716,342,319,2,4,2,1723,15754,14066,1614,440,71,59,605,621,171,115,18,0,11875,74,302,19439,1741,473,66,78,716,717,214,135,44,7,17325,47,399,11875,15754,5198,6077,5285,6317,1137,2545,38,46.4,36.6,379,886,272,69,1158,17325,101974,7542,8554,7895,8939,1520,2707,39,38.5,34.4,373,1360,301,73,1578,83,148,18,192,1.39,51,51,0,60.4,49.1,11.3,156,20,186,1.24,42.8,2570,7689,8441,4456,797,20385,500,209,41.8,241,48.2,10275,25304,510,354,126,491,339,11783,1140,57.2,25561,2451,7644,11861,6291,904,733,319,43.5,324,44.2,14221,76019,686,501,175,582,443,17148,1566,49,512,175,34.2,0.09,0.26,16.8,19,3,4,60.4,57.3,0.11,-11.4,-11.3,48,481,148,30.8,0.1,0.32,16.4,9,1,2,49.1,47.5,0.1,-1.1,-0.5,42.8,49,38,87,46,3,4,80,4,60.4,57.3,46.4,103.7,510,1158,57.2,48,39,87,47,1,2,84,4,49.1,47.5,38.5,86.0,686,1578,Premier League
2024-2025,Everton,433,366,269,97,338,51.5,318,392,138,254,345,1088,25,424,322,276,97,305,51.9,283,349,103,246,235,924,25,713,530,65,44,31,31,12,68,46,4,6,4,5,3,846,624,74,45,60,29,14,74,58,2,5,5,1,3,82,2,1,430,384,81,682,345,433,1,2,0,1524,614,564,46,2,1,395,420,51,731,235,424,2,2,3,1565,14953,13245,1627,424,30,83,682,678,154,101,24,11,11405,81,295,19822,1750,489,68,106,731,708,229,146,42,7,17944,51,304,11405,14953,5039,5809,4604,5451,1526,2901,27,32.2,27.2,298,1003,261,92,1041,17944,100829,8349,9200,7862,8874,1365,2627,35,34.6,34.2,361,1368,331,76,1627,84,130,19,211,1.26,42,44,-2,41.8,46.2,-4.5,151,18,190,1.34,40.9,2462,6930,7927,4762,732,19406,636,283,44.5,305,48.0,9535,25414,486,364,119,525,390,11309,1023,59.1,25864,2401,8222,11641,6229,931,729,318,43.6,338,46.4,15106,79769,724,520,195,549,394,17776,1616,39,404,139,34.4,0.09,0.27,16.8,11,2,2,41.8,40.2,0.1,-2.8,-3.2,44,478,161,33.7,0.09,0.27,16.6,16,0,2,46.2,44.6,0.1,-2.2,-0.6,40.9,39,27,66,37,2,2,82,2,41.8,40.2,32.2,72.4,486,1041,59.1,44,35,79,44,0,2,46,2,46.2,44.6,34.6,79.2,724,1627,Premier League
2024-2025,Fulham,411,327,259,93,289,51.2,276,382,113,269,302,914,33,306,237,226,72,254,46.9,288,423,148,275,336,995,27,940,718,73,38,70,25,16,99,80,3,5,4,4,3,756,519,76,55,41,56,9,90,64,7,5,7,5,2,80,2,0,432,359,43,894,302,411,3,4,2,1610,533,532,67,3,1,371,425,83,632,336,306,4,4,1,1585,19753,18077,1633,437,43,119,894,636,203,88,87,1,16199,43,337,16368,1618,445,75,96,632,613,172,122,26,3,14692,83,310,16199,19753,7195,8007,7222,8198,1504,2703,44,37.5,35.0,398,1346,343,108,1558,14692,87331,6948,7706,6126,7060,1212,2371,40,34.4,30.0,304,1144,279,65,1396,83,179,17,163,1.42,54,54,0,49.0,47.2,1.8,160,18,181,1.34,52.3,2641,8095,9787,6287,954,23922,637,288,45.2,254,39.9,14026,38440,786,544,213,515,281,16043,1544,47.7,22348,2568,7282,10037,5271,825,658,276,41.9,289,43.9,12382,68477,654,459,180,572,390,14544,1384,53,516,167,32.4,0.1,0.3,16.4,10,3,4,49.0,45.9,0.09,4.0,4.1,52,429,155,36.1,0.11,0.32,16.2,17,3,4,47.2,44.1,0.11,4.8,4.9,52.3,53,44,97,50,3,4,80,2,49.0,45.9,37.5,83.4,786,1558,47.7,52,40,92,49,3,4,67,3,47.2,44.1,34.4,78.5,654,1396,Premier League
2024-2025,Ipswich Town,340,294,214,81,281,46.5,323,436,185,251,303,1102,39,366,274,260,103,290,51.1,277,366,110,256,242,744,23,658,458,72,51,30,33,14,58,46,2,6,2,2,0,1080,837,67,63,65,33,15,142,108,7,7,12,7,1,93,5,4,430,404,52,505,303,340,2,6,2,1437,552,533,65,2,1,414,414,42,778,242,366,6,2,1,1596,14775,13146,1577,434,44,60,505,572,145,111,18,1,11524,52,300,20230,1668,459,82,104,778,680,249,136,31,6,18380,42,301,11524,14775,5157,5835,5115,5988,1021,2184,26,24.2,21.2,283,865,173,54,935,18380,97353,8645,9483,8006,8968,1365,2612,55,53.5,47.9,456,1449,417,97,1726,82,178,17,164,0.58,36,82,-46,34.4,72.7,-38.3,162,18,178,2.16,40.6,3012,7764,7504,4032,605,19089,643,277,43.1,290,45.1,9384,26144,513,330,150,538,347,11405,920,59.4,25927,2229,7646,11051,7443,1168,674,323,47.9,281,41.7,15621,79646,812,547,286,498,308,18201,1703,35,374,120,32.1,0.09,0.28,17.7,10,2,2,34.4,32.8,0.09,0.6,0.2,80,601,204,33.9,0.12,0.36,16.4,14,6,6,72.7,68.3,0.12,7.3,5.7,40.6,35,26,61,33,2,2,93,5,34.4,32.8,24.2,57.0,513,935,59.4,80,55,135,74,6,6,65,2,72.7,68.3,53.5,121.8,812,1726,Premier League
