Season,Squad,Goals GA_for,Goals PKA_for,Goals FK_for,Goals CK_for,Goals OG_for,Expected PSxG_for,Expected PSxG/SoT_for,Expected PSxG+/-_for,Launched Cmp_for,Launched Att_for,Launched Cmp%_for,Passes Att (GK)_for,Passes Thr_for,Passes Launch%_for,Passes AvgLen_for,Goal Kicks Att_for,Goal Kicks Launch%_for,Goal Kicks AvgLen_for,Crosses Opp_for,Crosses Stp_for,Crosses Stp%_for,Sweeper #OPA_for,Sweeper AvgDist_for,Goals GA_against,Goals PKA_against,Goals FK_against,Goals CK_against,Goals OG_against,Expected PSxG_against,Expected PSxG/SoT_against,Expected PSxG+/-_against,Launched Cmp_against,Launched Att_against,Launched Cmp%_against,Passes Att (GK)_against,Passes Thr_against,Passes Launch%_against,Passes AvgLen_against,Goal Kicks Att_against,Goal Kicks Launch%_against,Goal Kicks AvgLen_against,Crosses Opp_against,Crosses Stp_against,Crosses Stp%_against,Sweeper #OPA_against,Sweeper AvgDist_against
2024-2025 Premier League,Arsenal,34,3,2,8,0,35.1,0.28,1.1,149,478,31.2,1210,178,31.2,29.9,200,50.0,38.6,402,53,13.2,66,17.2,69,2,0,12,2,61.5,0.35,-5.5,215,661,32.5,1123,116,44.9,37.7,309,50.8,39.1,602,33,5.5,33,11.8
2024-2025 Premier League,Aston Villa,51,2,1,2,0,52.1,0.32,1.1,181,474,38.2,1182,133,29.5,30.4,299,41.8,35.1,538,59,11.0,35,13.7,58,3,0,9,2,57.7,0.33,1.7,149,380,39.2,882,167,30.6,32.4,262,42.0,34.2,462,40,8.7,44,13.1
2024-2025 Premier League,Bournemouth,46,4,1,5,0,54.8,0.3,8.8,174,465,37.4,960,158,35.2,32.9,266,47.7,39.4,460,25,5.4,62,16.0,58,6,1,5,1,65.0,0.3,8.0,242,673,36.0,1233,155,41.2,36.5,343,48.1,37.5,637,47,7.4,50,13.7
2024-2025 Premier League,Brentford,57,1,0,2,3,53.3,0.26,-0.7,264,697,37.9,1453,129,36.3,34.4,327,51.7,41.3,597,48,8.0,34,11.5,66,5,0,5,1,67.3,0.36,2.3,187,583,32.1,1160,184,40.3,35.7,252,45.6,36.6,534,44,8.2,67,15.6
2024-2025 Premier League,Brighton,59,9,1,4,2,51.5,0.3,-5.5,129,402,32.1,1178,129,29.3,25.1,243,23.5,23.1,436,29,6.7,50,15.4,66,7,2,6,2,67.8,0.33,3.8,204,619,33.0,1368,187,35.5,33.4,298,44.6,36.2,541,29,5.4,64,15.8
2024-2025 Premier League,Chelsea,43,5,0,5,0,45.0,0.26,2.0,105,457,23.0,1207,209,34.5,33.4,224,17.9,20.9,423,49,11.6,59,14.5,64,4,2,7,3,68.9,0.32,7.9,180,583,30.9,1207,196,36.5,34.1,310,45.8,37.0,495,33,6.7,44,13.7
2024-2025 Premier League,Crystal Palace,51,1,1,5,3,51.2,0.35,3.2,157,600,26.2,922,115,48.5,38.5,293,52.2,42.4,559,30,5.4,40,14.3,51,3,1,10,2,57.5,0.31,8.5,179,449,39.9,1224,206,27.8,30.3,248,44.0,36.8,490,39,8.0,54,14.4
2024-2025 Premier League,Everton,44,0,1,6,0,48.8,0.3,4.8,304,806,37.7,1297,161,51.0,39.7,289,50.2,40.7,558,31,5.6,57,15.2,42,2,1,4,3,40.3,0.28,1.3,101,332,30.4,1107,201,22.6,29.1,244,33.6,30.9,539,43,8.0,33,12.5
2024-2025 Premier League,Fulham,54,3,0,6,2,48.9,0.29,-3.1,141,367,38.4,1138,167,24.5,28.9,265,33.2,30.2,507,23,4.5,33,13.3,54,3,0,3,1,55.3,0.31,2.3,140,480,29.2,1017,166,35.0,34.2,296,41.9,35.6,661,33,5.0,48,14.6
2024-2025 Premier League,Ipswich Town,82,6,0,11,2,73.6,0.33,-6.4,189,531,35.6,1000,184,36.6,34.3,306,53.9,41.4,609,71,11.7,35,8.2,36,2,0,4,1,35.3,0.28,0.3,105,439,23.9,1154,112,29.5,31.8,206,48.1,38.6,388,37,9.5,46,15.0
2024-2025 Premier League,Leicester City,80,3,0,5,3,74.6,0.35,-2.4,181,688,26.3,1183,178,44.9,32.0,325,48.3,36.0,599,36,6.0,36,20.7,33,2,0,3,0,33.6,0.3,0.6,124,336,36.9,1008,150,25.0,30.1,227,37.0,33.4,469,35,7.5,47,14.4
2024-2025 Premier League,Liverpool,41,1,0,3,2,42.2,0.3,3.2,102,325,31.4,1108,179,24.6,26.6,239,21.8,24.5,370,17,4.6,58,16.0,86,9,0,8,1,78.3,0.32,-6.7,181,551,32.8,1073,173,37.7,35.1,347,42.1,34.4,610,36,5.9,44,12.7
2024-2025 Premier League,Manchester City,44,4,1,4,2,46.3,0.35,4.3,112,269,41.6,1191,163,19.5,26.7,190,19.5,24.0,357,19,5.3,61,14.3,72,3,1,6,1,69.2,0.32,-1.8,191,559,34.2,1199,158,36.4,33.8,295,41.7,35.6,484,36,7.4,30,12.2
2024-2025 Premier League,Manchester Utd,54,3,1,10,2,54.1,0.34,2.1,131,502,26.1,1206,148,32.0,30.3,247,47.0,36.4,455,26,5.7,30,11.8,44,4,2,6,2,43.3,0.24,1.3,139,496,28.0,1094,145,34.1,33.3,257,47.9,38.6,509,36,7.1,59,14.6
2024-2025 Premier League,Newcastle Utd,47,1,0,4,2,47.7,0.29,2.7,90,337,26.7,863,246,22.7,25.2,251,56.2,43.6,486,49,10.1,75,15.3,68,5,0,5,2,65.3,0.36,-0.7,268,777,34.5,1175,160,51.3,40.1,310,56.1,42.1,535,44,8.2,44,12.8
2024-2025 Premier League,Nott'ham Forest,46,3,1,5,0,49.1,0.29,3.1,244,698,35.0,662,83,73.7,44.7,323,65.0,47.0,710,19,2.7,12,8.7,58,3,0,10,1,53.6,0.32,-3.4,86,335,25.7,1012,184,26.8,30.3,261,24.5,26.1,492,36,7.3,51,14.2
2024-2025 Premier League,Southampton,86,7,0,12,0,83.8,0.32,-2.2,235,707,33.2,1224,172,44.7,29.5,297,53.9,41.9,587,35,6.0,27,6.5,26,0,0,2,1,29.8,0.27,4.8,103,356,28.9,989,129,30.2,32.1,176,32.4,29.8,443,35,7.9,37,15.4
2024-2025 Premier League,Tottenham,65,3,0,8,4,66.6,0.36,5.6,59,195,30.3,1047,192,16.6,27.2,272,7.7,16.3,520,49,9.4,45,11.1,64,3,1,9,3,57.8,0.31,-3.2,214,616,34.7,1007,149,45.3,37.6,271,59.0,44.4,576,34,5.9,28,12.1
2024-2025 Premier League,West Ham,62,3,1,8,3,57.9,0.3,-1.1,212,610,34.8,1167,174,37.4,35.5,311,55.9,41.9,614,25,4.1,42,13.1,46,3,1,5,3,43.7,0.3,0.7,164,494,33.2,1101,146,36.4,34.1,239,38.9,33.2,454,35,7.7,39,14.1
2024-2025 Premier League,Wolves,69,7,2,11,3,59.7,0.32,-6.3,153,532,28.8,1020,156,41.5,14.0,244,44.7,37.0,562,40,7.1,57,,54,0,1,5,1,45.1,0.29,-7.9,140,421,33.3,1085,170,30.9,32.9,260,33.1,30.6,428,28,6.5,52,15.4
2024-2025 Serie A,Atalanta,37,2,0,4,2,41.1,0.29,6.1,133,413,32.2,980,193,27.6,32.3,233,61.4,47.5,363,21,5.8,56,14.5,78,5,0,7,2,68.3,0.34,-7.7,245,697,35.2,1354,110,41.9,37.2,333,38.7,34.8,605,30,5.0,28,13.0
2024-2025 Serie A,Bologna,47,2,0,3,2,40.3,0.37,-4.7,171,467,36.6,1386,158,28.6,31.6,187,37.4,35.6,312,29,9.3,32,13.0,57,6,0,3,1,49.3,0.25,-6.7,272,767,35.5,1280,139,47.3,38.9,320,50.6,39.8,606,30,5.0,42,15.6
2024-2025 Serie A,Cagliari,56,6,0,10,0,54.8,0.33,-1.2,232,597,38.9,999,165,42.9,35.5,336,50.0,40.7,540,28,5.2,36,11.8,40,3,2,5,2,39.2,0.32,1.2,130,444,29.3,1026,122,33.2,34.0,271,38.0,33.9,587,24,4.1,32,12.8
2024-2025 Serie A,Como,52,7,0,7,0,44.6,0.27,-7.4,150,405,37.0,1164,163,32.0,28.6,205,16.1,21.3,433,29,6.7,65,12.9,49,0,0,4,5,49.3,0.28,5.3,145,485,29.9,1122,179,33.5,34.4,302,36.1,34.4,431,26,6.0,38,14.8
2024-2025 Serie A,Empoli,59,1,0,7,1,50.1,0.31,-7.9,199,654,30.4,944,125,58.3,41.8,328,31.7,28.6,556,37,6.7,20,12.6,33,2,0,4,2,27.8,0.23,-3.2,196,537,36.5,1230,159,34.0,34.8,269,44.2,37.3,474,26,5.5,46,14.4
2024-2025 Serie A,Fiorentina,41,1,0,3,1,40.7,0.27,0.7,226,515,43.9,923,143,40.8,35.8,293,47.1,39.2,498,14,2.8,31,14.5,57,6,2,7,2,55.1,0.3,0.1,165,452,36.5,1075,176,31.5,33.7,263,43.0,37.7,457,28,6.1,49,15.5
2024-2025 Serie A,Genoa,49,6,0,5,3,49.8,0.28,3.8,190,506,37.5,960,142,37.2,42.3,314,47.5,39.7,527,24,4.6,17,3.3,37,0,0,6,2,37.1,0.3,2.1,181,520,34.8,1197,132,35.3,34.2,247,39.7,34.6,488,30,6.1,41,14.3
2024-2025 Serie A,Hellas Verona,66,2,0,6,1,53.8,0.31,-11.2,217,761,28.5,793,93,60.9,55.4,313,88.8,59.3,544,32,5.9,26,20.3,34,2,1,3,3,30.5,0.31,-0.5,125,333,37.5,1042,171,24.4,31.1,293,27.0,29.9,445,41,9.2,41,13.2
2024-2025 Serie A,Inter,32,3,0,3,1,35.8,0.26,4.8,114,277,41.2,1364,151,17.7,28.6,202,17.8,25.4,437,17,3.9,17,15.8,79,8,1,12,3,65.9,0.32,-10.1,179,553,32.4,981,148,40.2,37.6,308,51.6,40.3,575,33,5.7,26,11.5
2024-2025 Serie A,Juventus,35,5,0,6,0,31.8,0.23,-3.2,139,377,36.9,939,156,31.1,29.4,237,35.9,32.2,519,32,6.2,33,14.0,58,6,0,3,2,54.1,0.27,-1.9,199,531,37.5,1087,147,38.3,36.2,305,37.7,33.3,483,31,6.4,26,12.4
2024-2025 Serie A,Lazio,49,4,0,4,2,39.4,0.31,-7.6,188,498,37.8,1196,132,35.4,33.3,252,29.8,28.4,496,49,9.9,54,14.5,61,6,0,7,1,65.5,0.32,5.5,184,441,41.7,1033,146,31.1,33.2,286,42.0,36.2,672,26,3.9,33,12.7
2024-2025 Serie A,Lecce,58,8,3,5,3,53.8,0.26,-1.2,220,656,33.5,883,120,59.7,39.1,312,41.3,32.3,590,29,4.9,19,11.0,27,3,1,3,0,33.4,0.24,6.4,147,427,34.4,961,156,30.5,32.7,280,47.9,39.0,504,31,6.2,42,15.5
2024-2025 Serie A,Milan,43,1,1,3,3,39.0,0.27,-1.0,123,319,38.6,1334,182,18.4,27.8,275,26.5,31.0,462,27,5.8,71,18.7,61,4,1,5,2,62.0,0.29,3.0,160,448,35.7,964,180,33.5,34.4,314,39.8,35.3,478,24,5.0,27,11.7
2024-2025 Serie A,Monza,69,2,2,10,3,59.8,0.31,-6.2,217,557,39.0,1069,157,42.5,33.7,333,30.9,28.3,534,26,4.9,33,13.3,28,3,0,2,1,27.1,0.24,0.1,163,434,37.6,1002,125,35.0,34.8,216,38.4,34.4,502,37,7.4,43,14.0
2024-2025 Serie A,Napoli,27,1,1,0,2,29.1,0.28,4.1,102,251,40.6,1103,131,17.0,31.7,260,24.6,29.6,438,25,5.7,50,13.7,59,4,1,5,3,51.4,0.31,-4.6,179,616,29.1,1094,115,43.3,38.0,288,49.3,38.8,519,40,7.7,47,12.3
2024-2025 Serie A,Parma,58,5,3,6,2,54.2,0.32,-1.8,207,697,29.7,1237,190,44.4,33.9,322,46.0,40.0,643,67,10.4,40,16.3,44,6,0,8,1,40.8,0.25,-2.2,121,349,34.7,959,182,26.5,30.9,260,36.5,34.0,326,21,6.4,39,14.4
2024-2025 Serie A,Roma,35,4,0,4,1,42.5,0.26,8.5,124,413,30.0,1195,170,25.1,30.6,263,43.0,37.3,495,30,6.1,33,13.7,56,8,2,8,1,51.7,0.27,-3.3,166,488,34.0,1110,173,35.9,34.5,279,32.3,32.1,498,27,5.4,35,13.6
2024-2025 Serie A,Torino,45,3,1,7,2,53.7,0.27,10.7,231,714,32.4,1342,196,41.0,37.6,313,52.4,46.2,597,37,6.2,51,13.7,39,2,0,4,3,36.3,0.28,0.3,181,489,37.0,1128,164,36.4,35.0,232,33.6,31.4,519,35,6.7,39,14.5
2024-2025 Serie A,Udinese,56,7,3,8,5,52.3,0.29,1.3,167,447,37.4,1021,108,34.3,30.2,266,36.5,31.7,528,19,3.6,36,14.1,41,2,1,9,0,43.0,0.29,2.0,115,470,24.5,1149,177,32.0,34.7,273,37.4,33.7,531,39,7.3,35,12.7
2024-2025 Serie A,Venezia,56,10,0,8,3,57.0,0.26,4.0,135,520,26.0,1014,158,41.9,31.0,342,27.8,27.3,589,31,5.3,21,9.4,32,4,2,4,1,36.0,0.26,5.0,232,563,41.2,1052,132,43.1,38.0,247,44.5,37.4,401,24,6.0,32,14.2
2024-2025 Ligue 1,Angers,53,4,0,7,0,65.9,0.34,12.9,146,446,32.7,762,184,39.0,35.8,283,52.7,42.1,551,49,8.9,22,10.7,32,5,2,4,1,32.8,0.29,1.8,88,221,39.8,831,161,20.8,28.4,201,23.9,27.2,460,39,8.5,29,13.4
2024-2025 Ligue 1,Auxerre,51,6,0,7,3,59.3,0.31,11.3,221,680,32.5,944,178,54.6,42.0,244,67.6,49.8,556,31,5.6,42,14.6,48,4,2,6,1,46.1,0.29,-0.9,95,250,38.0,777,155,23.9,28.5,232,27.6,30.7,426,23,5.4,44,15.3
2024-2025 Ligue 1,Brest,59,8,1,5,2,49.0,0.3,-8.0,224,542,41.3,944,141,41.9,36.0,242,60.3,46.2,489,34,7.0,56,16.2,52,7,0,8,0,50.0,0.27,-2.0,136,316,43.0,936,186,24.5,30.1,253,34.4,32.9,504,32,6.3,30,13.8
2024-2025 Ligue 1,Le Havre,71,5,1,8,1,72.9,0.4,2.9,135,334,40.4,817,147,31.0,32.4,238,34.0,31.1,546,33,6.0,15,10.5,40,9,1,6,3,39.4,0.3,2.4,104,310,33.5,790,128,28.4,31.3,229,37.6,33.4,548,31,5.7,35,13.9
2024-2025 Ligue 1,Lens,39,8,2,4,0,48.1,0.29,9.1,142,340,41.8,852,162,31.7,32.3,201,34.8,31.0,381,41,10.8,34,11.6,42,5,0,6,2,45.9,0.28,5.9,181,555,32.6,1040,125,43.6,36.7,246,41.5,34.0,580,33,5.7,48,15.8
2024-2025 Ligue 1,Lille,36,4,0,6,1,42.2,0.32,7.2,112,288,38.9,874,144,28.4,29.6,206,19.4,24.5,373,21,5.6,24,13.9,52,7,1,6,0,60.0,0.33,8.0,135,470,28.7,1012,144,35.8,34.6,218,49.5,37.9,437,30,6.9,30,13.5
2024-2025 Ligue 1,Lyon,46,3,1,6,0,49.2,0.29,3.2,102,314,32.5,848,185,29.7,27.5,218,28.4,28.9,422,26,6.2,29,7.0,65,8,0,6,3,64.6,0.32,2.6,146,369,39.6,813,149,33.5,33.9,226,42.9,35.2,465,28,6.0,25,13.2
2024-2025 Ligue 1,Marseille,47,3,1,4,2,47.5,0.33,2.5,92,202,45.5,1023,133,16.1,24.4,179,20.7,22.5,309,28,9.1,59,18.3,74,8,1,3,4,72.0,0.33,2.0,117,433,27.0,850,136,38.5,36.2,241,44.0,35.6,464,35,7.5,36,14.3
2024-2025 Ligue 1,Monaco,41,3,1,3,0,38.3,0.29,-2.7,77,269,28.6,737,146,27.1,30.5,216,31.9,31.9,379,30,7.9,38,14.0,63,6,0,7,0,67.2,0.33,4.2,180,490,36.7,857,167,39.9,36.4,285,51.9,38.5,459,37,8.1,41,14.4
2024-2025 Ligue 1,Montpellier,79,8,0,5,3,66.2,0.3,-9.8,197,496,39.7,840,134,45.1,36.2,271,43.2,35.4,463,28,6.0,29,14.3,23,3,1,2,0,30.3,0.24,7.3,107,295,36.3,773,166,28.3,31.1,215,35.3,30.8,491,38,7.7,26,12.4
2024-2025 Ligue 1,Nantes,52,7,0,4,3,50.8,0.31,1.8,151,463,32.6,809,139,39.9,35.8,240,58.3,41.5,588,33,5.6,15,11.0,39,5,0,3,0,40.0,0.29,1.0,94,269,34.9,904,141,22.1,28.1,193,35.8,30.8,471,26,5.5,33,14.3
2024-2025 Ligue 1,Nice,41,2,0,4,1,43.0,0.26,3.0,112,272,41.2,877,173,24.5,28.6,233,24.5,25.3,470,39,8.3,33,12.8,66,6,0,6,4,64.9,0.33,2.9,183,502,36.5,1034,149,37.6,34.5,256,44.1,35.7,446,27,6.1,44,15.7
2024-2025 Ligue 1,Paris S-G,35,3,1,6,1,30.4,0.28,-3.6,74,188,39.4,818,140,17.8,29.1,156,26.9,26.4,298,16,5.4,34,18.0,92,6,1,5,3,99.4,0.35,10.4,215,546,39.4,849,124,47.3,39.7,287,50.2,36.8,436,19,4.4,20,11.8
2024-2025 Ligue 1,Reims,47,4,1,8,0,61.6,0.33,14.6,154,477,32.3,928,153,36.6,33.3,285,48.1,37.3,554,31,5.6,42,14.6,33,1,0,5,1,28.9,0.26,-3.1,118,344,34.3,828,162,31.5,32.4,237,35.0,32.4,478,28,5.9,37,15.2
2024-2025 Ligue 1,Rennes,50,3,1,6,2,46.2,0.31,-1.8,119,361,33.0,970,132,29.3,32.7,219,35.2,31.5,402,23,5.7,37,15.7,51,5,1,5,0,53.3,0.3,2.3,147,456,32.2,992,147,35.8,34.7,215,47.0,36.0,458,23,5.0,31,13.8
2024-2025 Ligue 1,Saint-Étienne,77,13,0,4,2,73.5,0.3,-1.5,131,486,27.0,919,145,41.0,34.7,264,41.3,33.6,510,24,4.7,33,14.0,39,3,1,6,0,33.3,0.26,-5.7,122,308,39.6,843,140,28.7,31.1,197,33.5,32.8,287,29,10.1,30,14.1
2024-2025 Ligue 1,Strasbourg,44,8,0,3,2,52.5,0.27,10.5,123,383,32.1,1434,148,22.2,27.4,240,27.1,26.3,539,43,8.0,50,15.2,56,2,0,9,2,53.2,0.38,-0.8,138,345,40.0,975,140,28.6,31.2,194,34.0,31.9,394,25,6.3,43,14.3
2024-2025 Ligue 1,Toulouse,43,1,1,5,3,34.6,0.31,-5.4,98,351,27.9,718,97,34.3,34.1,233,45.1,35.4,439,10,2.3,37,12.1,44,3,0,2,2,50.0,0.33,8.0,104,413,25.2,1010,161,30.6,32.2,243,42.8,35.6,465,37,8.0,47,14.6
2024-2025 Bundesliga,Augsburg,51,5,1,5,2,50.2,0.3,1.2,212,561,37.8,966,123,40.4,34.9,295,58.0,44.7,554,21,3.8,44,14.7,35,1,0,4,0,32.1,0.26,-2.9,150,410,36.6,1110,150,27.8,31.2,272,37.1,35.7,446,20,4.5,36,13.9
2024-2025 Bundesliga,Bayern Munich,32,1,0,4,0,29.3,0.37,-2.7,130,306,42.5,1192,123,23.0,27.7,150,21.3,26.5,267,12,4.5,70,19.6,99,9,2,7,3,98.9,0.35,2.9,263,701,37.5,1105,139,51.6,40.7,328,39.9,33.1,499,28,5.6,11,9.0
2024-2025 Bundesliga,Bochum,68,3,3,7,0,60.8,0.37,-7.2,347,816,42.5,1061,94,55.0,37.6,299,77.6,52.1,467,18,3.9,51,15.8,32,1,0,4,0,42.4,0.3,10.4,155,448,34.6,1022,149,35.8,34.6,249,32.9,31.4,509,37,7.3,43,14.1
2024-2025 Bundesliga,Dortmund,51,4,0,5,1,51.4,0.35,1.4,120,369,32.5,1101,129,26.4,34.8,220,35.5,30.6,444,23,5.2,49,14.8,71,5,1,7,2,58.4,0.34,-10.6,191,512,37.3,960,144,39.6,36.1,276,47.8,38.7,549,40,7.3,42,13.0
2024-2025 Bundesliga,Eint Frankfurt,46,1,0,10,2,49.2,0.3,5.2,129,428,30.1,966,157,36.2,29.9,269,29.0,28.1,531,40,7.5,46,13.6,68,3,2,9,0,68.5,0.37,0.5,201,534,37.6,1108,152,37.2,35.2,280,43.6,37.0,428,25,5.8,41,16.0
2024-2025 Bundesliga,Freiburg,53,2,1,6,1,48.5,0.31,-3.5,213,580,36.7,1213,138,36.9,37.1,249,53.0,42.4,481,40,8.3,37,13.4,49,0,2,7,3,49.6,0.36,3.6,178,428,41.6,1176,173,27.7,30.8,215,47.4,38.2,445,27,6.1,19,11.6
2024-2025 Bundesliga,Gladbach,57,7,1,8,2,59.6,0.29,4.6,195,473,41.2,1217,158,31.1,32.7,300,31.7,28.8,594,35,5.9,28,15.1,55,4,0,9,2,57.0,0.34,4.0,125,360,34.7,922,138,30.8,32.1,204,37.3,32.3,481,26,5.4,40,14.7
2024-2025 Bundesliga,Heidenheim,64,6,0,7,0,59.7,0.33,-4.3,162,462,35.1,1066,160,32.6,33.8,301,38.2,37.5,478,22,4.6,21,12.0,37,5,1,4,0,41.3,0.29,4.3,161,432,37.3,983,135,33.4,33.3,252,41.3,35.6,461,26,5.6,51,15.9
2024-2025 Bundesliga,Hoffenheim,68,3,1,9,3,64.4,0.36,-0.6,208,575,36.2,1022,143,45.4,38.7,230,48.3,38.7,491,21,4.3,35,12.8,46,3,1,4,0,44.6,0.28,-1.4,202,479,42.2,1016,147,37.3,35.4,246,40.7,34.9,561,26,4.6,33,13.9
2024-2025 Bundesliga,Holstein Kiel,80,6,3,6,3,65.8,0.31,-11.2,214,577,37.1,1073,171,36.7,30.3,309,59.2,45.3,668,42,6.3,23,9.3,49,4,1,5,0,45.9,0.32,-3.1,144,403,35.7,908,136,33.4,34.0,220,45.5,39.6,396,31,7.8,55,16.3
2024-2025 Bundesliga,Leverkusen,43,4,1,2,4,39.4,0.27,0.4,135,338,39.9,833,126,31.9,31.5,222,32.4,29.6,348,14,4.0,45,17.3,72,3,1,10,2,60.7,0.3,-9.3,176,533,33.0,1042,123,40.1,36.4,262,43.9,36.3,595,19,3.2,30,12.5
2024-2025 Bundesliga,Mainz 05,43,4,2,9,0,47.1,0.29,4.1,188,610,30.8,991,139,49.2,38.7,249,49.0,41.7,547,47,8.6,66,14.0,55,4,2,1,2,51.8,0.35,-1.2,220,633,34.8,1124,117,44.7,38.2,284,46.1,37.4,497,24,4.8,50,14.5
2024-2025 Bundesliga,RB Leipzig,48,2,1,8,0,50.0,0.31,2.0,98,261,37.5,824,167,21.2,28.6,251,34.3,34.1,512,30,5.9,45,14.8,53,3,1,4,2,50.7,0.33,-0.3,183,473,38.7,1017,136,36.4,34.8,216,47.7,38.9,449,24,5.3,38,15.3
2024-2025 Bundesliga,St. Pauli,41,1,0,5,1,49.8,0.33,9.8,171,521,32.8,1212,112,37.5,44.7,241,27.4,26.5,426,24,5.6,27,,28,1,0,1,2,30.0,0.26,4.0,179,421,42.5,1042,138,30.5,31.4,251,41.0,35.4,466,42,9.0,55,14.4
2024-2025 Bundesliga,Stuttgart,53,2,1,7,1,44.8,0.32,-7.2,157,410,38.3,1093,137,32.6,30.7,212,25.5,26.2,415,21,5.1,57,17.6,64,2,1,11,3,61.3,0.33,0.3,189,543,34.8,1075,125,39.3,35.8,257,47.1,38.5,495,28,5.7,46,15.0
2024-2025 Bundesliga,Union Berlin,50,2,1,1,1,49.0,0.32,0.0,171,468,36.5,842,161,36.7,31.0,259,61.4,45.6,568,40,7.0,39,14.2,36,3,0,8,0,36.5,0.28,0.5,142,463,30.7,1131,187,31.0,32.6,260,43.1,35.7,481,28,5.8,44,14.9
2024-2025 Bundesliga,Werder Bremen,57,3,2,4,3,52.9,0.33,-1.1,134,370,36.2,1072,188,31.1,31.9,239,15.5,21.6,464,35,7.5,34,13.5,54,3,2,7,1,50.0,0.33,-3.0,172,525,32.8,1086,153,37.5,35.1,251,47.0,38.9,531,32,6.0,66,15.9
2024-2025 Bundesliga,Wolfsburg,54,2,0,11,1,57.3,0.35,4.3,223,608,36.7,1066,143,44.2,36.6,285,48.1,38.9,512,24,4.7,22,11.7,56,4,1,12,3,49.6,0.33,-3.4,176,435,40.5,983,127,33.4,33.7,257,41.6,35.4,478,26,5.4,39,13.4
2024-2025,Alavés,48,11,2,4,2,46.0,0.29,0.0,361,877,41.2,869,82,71.5,47.7,307,83.4,58.6,552,36,6.5,31,12.7,38,9,0,4,0,43.8,0.27,5.8,207,550,37.6,1023,198,39.2,35.7,302,49.3,41.0,621,48,7.7,51,14.8
2024-2025,Athletic Club,29,3,2,4,1,31.5,0.25,3.5,190,540,35.2,948,157,39.9,34.4,229,70.7,52.7,449,41,9.1,48,15.5,54,3,0,10,1,51.7,0.31,-1.3,228,598,38.1,1195,188,35.6,33.8,337,51.3,41.8,598,36,6.0,32,12.8
2024-2025,Atlético Madrid,30,5,1,3,2,25.7,0.19,-2.3,110,286,38.5,683,194,24.3,30.2,323,37.2,34.9,511,30,5.9,28,14.0,68,6,2,4,0,69.2,0.36,1.2,193,531,36.3,1011,164,40.1,36.3,285,44.2,38.9,505,38,7.5,52,14.6
2024-2025,Barcelona,39,4,0,3,0,35.1,0.3,-3.9,62,172,36.0,1139,181,11.9,25.1,194,19.1,27.7,356,15,4.2,158,20.2,102,7,1,9,3,89.8,0.35,-9.2,242,703,34.4,906,171,53.4,42.4,360,60.8,44.9,564,29,5.1,37,11.4
2024-2025,Betis,50,4,2,8,1,49.1,0.33,0.1,115,376,30.6,1027,177,28.6,31.2,230,35.7,34.3,516,30,5.8,51,11.7,57,7,1,8,2,56.7,0.27,1.7,186,571,32.6,986,155,42.1,36.8,303,51.5,41.9,474,37,7.8,52,14.1
2024-2025,Celta Vigo,57,3,0,9,2,48.9,0.32,-6.1,69,242,28.5,805,210,18.4,27.3,282,33.3,32.9,501,27,5.4,49,14.0,59,8,1,3,1,61.0,0.31,3.0,223,616,36.2,1135,137,41.8,37.0,248,57.3,44.4,377,23,6.1,81,18.9
2024-2025,Espanyol,51,4,2,6,1,57.7,0.28,7.7,194,526,36.9,930,197,41.9,34.8,326,41.7,34.9,670,64,9.6,35,12.0,40,5,1,6,2,33.4,0.3,-4.6,151,389,38.8,930,166,30.0,32.0,247,44.5,38.7,480,32,6.7,64,16.3
2024-2025,Getafe,39,8,0,5,0,42.0,0.29,3.0,300,799,37.5,711,68,73.4,48.8,312,88.8,60.1,479,25,5.2,39,14.7,34,5,1,4,0,37.1,0.27,3.1,182,587,31.0,1081,175,39.6,36.9,323,49.2,41.3,567,48,8.5,39,13.2
2024-2025,Girona,60,3,1,7,1,53.0,0.3,-6.0,107,328,32.6,1049,152,23.6,29.4,251,31.9,33.2,463,40,8.6,35,12.6,44,4,0,7,1,43.8,0.29,0.8,146,465,31.4,871,117,38.5,36.4,268,48.5,40.3,602,29,4.8,31,12.8
2024-2025,Las Palmas,61,5,0,4,3,63.7,0.31,5.7,193,584,33.0,1203,195,39.5,32.5,318,34.3,33.3,561,22,3.9,36,15.6,40,3,3,4,2,37.3,0.25,-0.7,155,451,34.4,907,142,33.6,33.9,268,54.5,43.6,500,29,5.8,41,14.6
2024-2025,Leganés,56,7,1,10,3,59.1,0.31,6.1,237,885,26.8,868,132,64.4,47.2,363,89.8,64.7,709,56,7.9,53,14.5,39,5,1,3,1,38.5,0.28,0.5,148,402,36.8,895,189,31.8,32.8,255,45.9,39.9,382,26,6.8,55,16.4
2024-2025,Mallorca,44,3,0,4,1,47.4,0.28,4.4,239,614,38.9,925,144,49.0,36.4,355,45.4,38.1,638,23,3.6,27,12.9,35,4,0,5,1,37.4,0.3,3.4,131,416,31.5,801,162,33.6,35.3,280,52.5,41.8,580,39,6.7,44,14.5
