Season,Squad,Performance GA_for,Performance SoTA_for,Performance Saves_for,Performance Save%_for,Performance W_for,Performance D_for,Performance L_for,Performance CS_for,Performance CS%_for,Penalty Kicks PKatt_for,Penalty Kicks PKA_for,Penalty Kicks PKsv_for,Penalty Kicks PKm_for,Penalty Kicks Save%_for,Performance GA_against,Performance SoTA_against,Performance Saves_against,Performance Save%_against,Performance CS_against,Performance CS%_against,Penalty Kicks PKatt_against,Penalty Kicks PKA_against,Penalty Kicks PKsv_against,Penalty Kicks PKm_against,Penalty Kicks Save%_against
2024-2025 Premier League,Arsenal,34,120,86,74.2,20,14,4,13,34.2,3,3,0,0,0.0,69,180,113,62.8,5,13.2,2,2,0,0,0.0
2024-2025 Premier League,Aston Villa,51,156,104,68.6,19,9,10,9,23.7,3,2,1,0,33.3,58,165,106,66.7,7,18.4,6,3,3,0,50.0
2024-2025 Premier League,Bournemouth,46,172,126,75.6,15,11,12,9,23.7,4,4,0,0,0.0,58,199,141,73.9,8,21.1,7,6,1,0,14.3
2024-2025 Premier League,Brentford,57,207,153,72.9,16,8,14,8,21.1,1,1,0,0,0.0,66,179,113,65.9,8,21.1,6,5,1,0,16.7
2024-2025 Premier League,Brighton,59,147,90,66.0,16,13,9,8,21.1,9,9,0,0,0.0,66,190,126,68.9,5,13.2,7,7,0,0,0.0
2024-2025 Premier League,Chelsea,43,155,111,75.5,20,9,9,11,28.9,6,5,1,0,16.7,64,208,146,71.2,7,18.4,5,4,1,0,20.0
2024-2025 Premier League,Crystal Palace,51,150,101,66.7,13,14,11,11,28.9,2,1,1,0,50.0,51,179,129,73.2,8,21.1,4,3,1,0,25.0
2024-2025 Premier League,Everton,44,163,117,73.0,11,15,12,12,31.6,2,0,2,0,100.0,42,141,102,71.6,15,39.5,2,2,0,0,0.0
2024-2025 Premier League,Fulham,54,159,106,67.9,15,9,14,5,13.2,4,3,1,0,25.0,54,171,117,70.2,7,18.4,4,3,1,0,25.0
2024-2025 Premier League,Ipswich Town,82,210,130,63.8,4,10,24,2,5.3,6,6,0,0,0.0,36,122,87,72.1,14,36.8,2,2,0,0,0.0
2024-2025 Premier League,Leicester City,80,209,131,63.2,6,7,25,3,7.9,4,3,1,0,25.0,33,108,74,71.3,17,44.7,3,2,1,0,33.3
2024-2025 Premier League,Liverpool,41,138,98,71.0,25,9,4,14,36.8,2,1,1,0,50.0,86,224,139,65.6,1,2.6,9,9,0,0,0.0
2024-2025 Premier League,Manchester City,44,128,86,68.8,21,8,9,13,34.2,4,4,0,0,0.0,72,212,140,67.5,6,15.8,4,3,1,0,25.0
