Season,Squad,Performance CrdY_for,Performance CrdR_for,Performance 2CrdY_for,Performance Fls_for,Performance Fld_for,Performance Off_for,Performance Crs_for,Performance Int_for,Performance TklW_for,Performance PKwon_for,Performance PKcon_for,Performance OG_for,Performance Recov_for,Aerial Duels Won_for,Aerial Duels Lost_for,Aerial Duels Won%_for,Performance CrdY_against,Performance CrdR_against,Performance 2CrdY_against,Performance Fls_against,Performance Fld_against,Performance Off_against,Performance Crs_against,Performance Int_against,Performance TklW_against,Performance PKwon_against,Performance PKcon_against,Performance OG_against,Performance Recov_against,Aerial Duels Won%_against
2024-2025 Premier League,Arsenal,70,6,3,401,405,80,766,225,348,2,3,0,1436,471,465,50.3,83,2,1,416,390,38,534,261,420,3,2,2,1337,49.7
2024-2025 Premier League,Aston Villa,76,4,2,406,499,55,604,240,372,6,3,0,1418,378,423,47.2,104,2,1,510,394,93,683,347,387,2,6,2,1539,52.8
2024-2025 Premier League,Bournemouth,97,3,0,525,400,70,832,351,399,7,4,0,1821,573,606,48.6,94,5,3,410,510,42,601,279,396,3,7,1,1662,51.4
2024-2025 Premier League,Brentford,62,1,0,320,339,63,674,285,380,6,1,3,1644,624,567,52.4,82,3,2,355,316,58,793,287,362,1,6,1,1678,47.6
2024-2025 Premier League,Brighton,78,3,2,438,411,46,704,315,431,6,9,2,1624,518,463,52.8,93,5,4,427,421,88,543,320,408,7,7,2,1532,47.2
2024-2025 Premier League,Chelsea,101,2,1,436,444,65,663,272,371,5,6,0,1577,402,390,50.8,98,2,1,457,422,88,543,286,368,6,5,3,1483,49.2
2024-2025 Premier League,Crystal Palace,80,4,3,417,403,74,605,334,450,4,2,3,1698,511,636,44.6,84,4,3,418,398,47,716,342,319,2,4,2,1723,55.4
2024-2025 Premier League,Everton,82,2,1,430,384,81,682,345,433,1,2,0,1524,614,564,52.1,46,2,1,395,420,51,731,235,424,2,2,3,1565,47.9
2024-2025 Premier League,Fulham,80,2,0,432,359,43,894,302,411,3,4,2,1610,533,532,50.0,67,3,1,371,425,83,632,336,306,4,4,1,1585,50.0
2024-2025 Premier League,Ipswich Town,93,5,4,430,404,52,505,303,340,2,6,2,1437,552,533,50.9,65,2,1,414,414,42,778,242,366,6,2,1,1596,49.1
2024-2025 Premier League,Leicester City,87,0,0,420,393,63,621,327,431,3,4,3,1478,503,579,46.5,58,2,1,403,412,61,751,269,411,3,3,0,1655,53.5
2024-2025 Premier League,Liverpool,67,3,1,430,359,60,729,299,391,6,2,2,1621,406,368,52.5,84,2,2,371,419,96,500,320,402,2,9,1,1576,47.5
2024-2025 Premier League,Manchester City,59,2,1,287,382,45,659,229,299,4,4,2,1437,310,334,48.1,88,2,1,387,276,85,455,310,399,4,4,1,1319,51.9
2024-2025 Premier League,Manchester Utd,86,3,1,403,371,69,630,358,493,4,4,2,1736,486,488,49.9,71,3,0,385,387,57,598,325,414,3,4,2,1690,50.1
2024-2025 Premier League,Newcastle Utd,68,1,0,394,450,71,705,270,371,4,2,2,1632,487,466,51.1,97,3,1,464,385,43,651,301,433,2,6,2,1634,48.9
2024-2025 Premier League,Nott'ham Forest,90,2,2,401,419,91,621,322,419,3,3,0,1588,570,559,50.5,104,2,2,434,390,36,886,265,365,2,3,1,1545,49.5
2024-2025 Premier League,Southampton,89,3,0,459,421,49,548,305,378,2,9,0,1440,468,421,52.6,54,1,0,435,445,49,758,311,405,7,2,1,1635,47.4
2024-2025 Premier League,Tottenham,72,1,1,446,483,63,752,322,414,4,3,4,1659,422,437,49.1,85,3,0,494,431,87,697,391,548,3,4,3,1652,50.9
2024-2025 Premier League,West Ham,82,3,2,443,397,73,613,331,388,2,3,3,1558,587,560,51.2,56,1,0,410,428,55,811,298,435,3,3,3,1582,48.8
2024-2025 Premier League,Wolves,79,2,2,480,425,62,568,298,471,0,9,3,1659,451,475,48.7,85,3,1,442,465,76,714,308,422,9,0,1,1609,51.3
2024-2025 Serie A,Atalanta,67,1,1,435,393,54,778,296,347,5,2,2,1732,585,490,54.4,51,2,1,416,416,50,458,330,399,1,7,2,1618,45.6
2024-2025 Serie A,Bologna,61,4,1,537,604,63,756,258,346,6,3,2,1516,579,616,48.5,95,3,1,643,502,51,421,305,375,1,7,1,1343,51.5
2024-2025 Serie A,Cagliari,68,3,3,500,397,65,758,276,303,2,6,0,1522,606,600,50.2,61,5,1,423,469,72,692,268,338,3,3,2,1578,49.8
2024-2025 Serie A,Como,87,7,3,503,518,65,568,279,412,1,7,0,1547,472,487,49.2,95,5,4,547,475,74,571,325,385,5,2,5,1502,50.8
2024-2025 Serie A,Empoli,68,5,2,570,459,57,620,323,396,3,3,1,1480,577,710,44.8,58,3,3,487,541,39,714,255,373,3,3,2,1532,55.2
2024-2025 Serie A,Fiorentina,81,3,2,429,541,85,581,269,311,6,3,1,1436,508,487,51.1,92,7,3,578,415,41,616,233,306,3,8,2,1359,48.9
2024-2025 Serie A,Genoa,71,1,0,497,448,55,663,308,385,1,8,3,1481,666,696,48.9,75,2,0,478,467,59,682,284,326,3,2,2,1521,51.1
2024-2025 Serie A,Hellas Verona,98,9,5,579,352,55,562,329,434,1,4,1,1427,671,699,49.0,53,2,0,374,534,48,687,221,263,2,2,3,1387,51.0
2024-2025 Serie A,Inter,56,1,1,407,394,88,728,223,278,6,4,1,1440,604,419,59.0,51,4,1,424,384,35,574,253,263,1,9,3,1284,41.0
2024-2025 Serie A,Juventus,67,3,1,480,378,52,630,215,353,3,5,0,1516,458,461,49.8,73,2,1,392,449,39,679,298,359,4,6,2,1312,50.2
2024-2025 Serie A,Lazio,93,7,3,425,484,46,864,295,319,4,4,2,1439,473,491,49.1,116,14,9,509,400,34,655,272,332,2,7,1,1390,50.9
2024-2025 Serie A,Lecce,61,7,1,466,427,52,628,285,372,2,10,3,1484,676,651,50.9,81,5,1,453,435,81,775,292,327,7,4,0,1600,49.1
2024-2025 Serie A,Milan,70,6,1,415,428,60,634,234,349,7,2,3,1397,434,391,52.6,75,3,1,447,395,95,590,291,339,2,8,2,1348,47.4
2024-2025 Serie A,Monza,90,3,2,512,529,54,656,305,315,0,4,3,1299,567,605,48.4,63,2,1,564,481,41,680,225,336,4,3,1,1505,51.6
2024-2025 Serie A,Napoli,47,0,0,415,445,55,681,270,323,4,4,2,1435,530,460,53.5,72,1,1,470,392,39,577,330,366,3,5,3,1445,46.5
2024-2025 Serie A,Parma,78,6,3,405,458,31,427,279,293,5,5,2,1365,499,502,49.9,80,3,2,483,380,119,856,279,354,4,7,1,1558,50.1
2024-2025 Serie A,Roma,66,1,1,405,484,59,636,282,328,6,4,1,1437,441,476,48.1,87,6,1,507,391,47,617,261,328,3,8,1,1436,51.9
2024-2025 Serie A,Torino,80,3,1,483,386,57,675,278,261,2,7,2,1296,538,564,48.8,63,1,0,413,451,50,767,289,293,6,4,3,1407,51.2
2024-2025 Serie A,Udinese,88,5,3,543,379,50,679,302,346,2,8,5,1426,550,493,52.7,61,5,4,405,505,84,677,270,350,5,4,0,1411,47.3
2024-2025 Serie A,Venezia,75,2,2,503,451,58,529,279,361,4,11,3,1450,490,626,43.9,70,2,1,496,473,63,765,304,420,8,5,1,1589,56.1
2024-2025 Ligue 1,Angers,49,2,0,380,398,69,575,336,392,6,5,0,1414,334,428,43.8,79,7,4,420,361,26,719,251,389,4,6,1,1504,56.2
2024-2025 Ligue 1,Auxerre,68,4,1,404,362,48,542,350,403,4,8,3,1492,412,422,49.4,50,4,1,387,380,83,660,279,414,7,5,1,1567,50.6
2024-2025 Ligue 1,Brest,69,3,1,430,413,42,641,316,426,5,10,2,1471,534,508,51.2,63,2,0,443,404,59,639,300,294,6,9,0,1466,48.8
2024-2025 Ligue 1,Le Havre,56,4,1,379,403,50,695,324,387,6,6,1,1399,451,436,50.8,68,6,4,425,363,44,687,249,314,5,10,3,1373,49.2
2024-2025 Ligue 1,Lens,86,8,3,499,360,84,706,321,365,2,9,0,1576,450,414,52.1,62,2,0,381,479,32,473,361,361,7,5,2,1473,47.9
2024-2025 Ligue 1,Lille,77,2,1,410,376,48,535,271,356,8,4,1,1535,392,350,52.8,63,8,0,392,387,55,482,374,364,3,10,0,1437,47.2
