Season,Squad,Unnamed: 3_level_0 Att_for,Pass Types Live_for,Pass Types Dead_for,Pass Types FK_for,Pass Types TB_for,Pass Types Sw_for,Pass Types Crs_for,Pass Types TI_for,Pass Types CK_for,Corner Kicks In_for,Corner Kicks Out_for,Corner Kicks Str_for,Outcomes Cmp_for,Outcomes Off_for,Outcomes Blocks_for,Pass Types Live_against,Pass Types Dead_against,Pass Types FK_against,Pass Types TB_against,Pass Types Sw_against,Pass Types Crs_against,Pass Types TI_against,Pass Types CK_against,Corner Kicks In_against,Corner Kicks Out_against,Corner Kicks Str_against,Outcomes Cmp_against,Outcomes Off_against,Outcomes Blocks_against
2024-2025 Premier League,Arsenal,20241,18608,1553,432,80,74,766,598,251,211,3,2,17066,80,278,13697,1520,461,47,74,534,526,118,70,25,2,12192,38,251
2024-2025 Premier League,Aston Villa,17797,16044,1698,583,95,58,604,497,230,148,24,1,14701,55,346,15839,1445,441,66,96,683,474,172,112,30,5,14438,93,276
2024-2025 Premier League,Bournemouth,16900,15136,1694,430,59,78,832,686,228,166,18,4,12977,70,314,16003,1992,569,68,59,601,800,184,103,44,4,14072,42,372
2024-2025 Premier League,Brentford,17100,15453,1584,386,69,71,674,602,174,139,2,0,13358,63,288,17074,1576,363,63,74,793,615,242,131,61,4,15047,58,331
2024-2025 Premier League,Brighton,19188,17527,1615,482,77,76,704,605,188,107,48,7,15820,46,310,15881,1678,460,53,82,543,634,182,130,23,4,14240,88,334
2024-2025 Premier League,Chelsea,21320,19613,1642,516,79,95,663,587,234,121,37,8,18033,65,304,14557,1595,461,55,59,543,583,139,81,36,1,13008,88,297
2024-2025 Premier League,Crystal Palace,15754,14066,1614,440,71,59,605,621,171,115,18,0,11875,74,302,19439,1741,473,66,78,716,717,214,135,44,7,17325,47,399
2024-2025 Premier League,Everton,14953,13245,1627,424,30,83,682,678,154,101,24,11,11405,81,295,19822,1750,489,68,106,731,708,229,146,42,7,17944,51,304
2024-2025 Premier League,Fulham,19753,18077,1633,437,43,119,894,636,203,88,87,1,16199,43,337,16368,1618,445,75,96,632,613,172,122,26,3,14692,83,310
2024-2025 Premier League,Ipswich Town,14775,13146,1577,434,44,60,505,572,145,111,18,1,11524,52,300,20230,1668,459,82,104,778,680,249,136,31,6,18380,42,301
2024-2025 Premier League,Leicester City,17486,15728,1695,449,52,47,621,664,139,86,29,4,13945,63,319,19351,1667,453,60,133,751,686,230,130,48,1,17576,61,363
2024-2025 Premier League,Liverpool,21758,19998,1700,448,69,128,729,682,252,145,72,1,18303,60,330,14217,1644,465,66,73,500,569,139,81,21,5,12622,96,312
2024-2025 Premier League,Manchester City,24443,22822,1576,449,86,90,659,603,253,127,37,4,21531,45,341,14002,1372,323,67,92,455,521,123,80,19,8,12668,85,273
2024-2025 Premier League,Manchester Utd,20415,18750,1596,414,94,107,630,646,197,96,45,11,16837,69,355,16138,1575,451,61,73,598,605,180,114,29,4,14277,57,323
2024-2025 Premier League,Newcastle Utd,18898,17088,1739,482,78,94,705,704,217,118,27,17,15416,71,351,16153,1662,449,71,73,651,595,202,100,51,1,14333,43,344
2024-2025 Premier League,Nott'ham Forest,14366,12658,1617,436,59,62,621,615,159,71,76,0,10822,91,282,18867,1724,473,45,87,886,653,241,156,48,1,16965,36,328
2024-2025 Premier League,Southampton,18561,16979,1533,468,43,60,548,493,152,102,33,0,15530,49,272,18108,1526,474,73,70,758,570,242,151,40,4,16575,49,287
2024-2025 Premier League,Tottenham,19960,18013,1884,561,54,70,752,705,243,108,66,0,16513,63,437,14781,1661,490,63,100,697,593,206,121,47,2,13104,87,350
2024-2025 Premier League,West Ham,18363,16678,1612,437,53,133,613,612,152,82,57,1,14820,73,343,17708,1726,494,79,79,811,701,208,108,44,7,15814,55,324
2024-2025 Premier League,Wolves,17884,16133,1689,495,55,122,568,696,147,98,31,3,14472,62,328,17527,1738,510,62,78,714,659,217,133,43,0,15875,76,353
2024-2025 Serie A,Atalanta,20998,19273,1671,455,48,117,778,714,194,85,75,1,17454,54,326,15197,1709,474,63,51,458,664,124,59,39,1,13516,50,298
