Season,Squad,Starts Mn/Start_for,Subs Subs_for,Subs Mn/Sub_for,Subs unSub_for,Team Success PPM_for,Team Success onG_for,Team Success onGA_for,Team Success +/-_for,Team Success (xG) onxG_for,Team Success (xG) onxGA_for,Team Success (xG) xG+/-_for,Subs Subs_against,Subs Mn/Sub_against,Subs unSub_against,Team Success PPM_against
2024-2025 Premier League,Arsenal,83,142,18,200,1.95,69,34,35,59.9,34.4,25.5,157,21,185,0.68
2024-2025 Premier League,Aston Villa,80,170,23,170,1.74,58,51,7,56.1,50.1,5.9,157,18,185,1.03
2024-2025 Premier League,Bournemouth,83,162,18,180,1.47,58,46,12,64.0,48.5,15.5,160,20,182,1.24
2024-2025 Premier League,Brentford,85,142,15,200,1.47,66,57,9,59.0,55.4,3.6,165,20,177,1.32
2024-2025 Premier League,Brighton,82,184,18,158,1.61,66,59,7,58.7,54.6,4.1,163,20,179,1.05
2024-2025 Premier League,Chelsea,83,140,19,202,1.82,64,43,21,67.8,47.3,20.5,154,19,188,0.95
2024-2025 Premier League,Crystal Palace,83,148,18,192,1.39,51,51,0,60.4,49.1,11.3,156,20,186,1.24
2024-2025 Premier League,Everton,84,130,19,211,1.26,42,44,-2,41.8,46.2,-4.5,151,18,190,1.34
2024-2025 Premier League,Fulham,83,179,17,163,1.42,54,54,0,49.0,47.2,1.8,160,18,181,1.34
2024-2025 Premier League,Ipswich Town,82,178,17,164,0.58,36,82,-46,34.4,72.7,-38.3,162,18,178,2.16
2024-2025 Premier League,Leicester City,82,168,19,174,0.66,33,80,-47,32.6,71.9,-39.3,165,17,175,2.16
2024-2025 Premier League,Liverpool,82,165,20,177,2.21,86,41,45,82.2,38.6,43.6,160,20,179,0.55
2024-2025 Premier League,Manchester City,85,131,16,207,1.87,72,44,28,68.1,47.7,20.4,161,18,180,0.92
2024-2025 Premier League,Manchester Utd,81,161,23,180,1.11,44,54,-10,52.6,53.8,-1.3,159,17,183,1.66
2024-2025 Premier League,Newcastle Utd,83,163,18,179,1.74,68,47,21,63.8,45.5,18.3,161,19,180,1.11
2024-2025 Premier League,Nott'ham Forest,83,167,18,174,1.71,58,46,12,45.5,48.9,-3.4,162,20,180,1.08
2024-2025 Premier League,Southampton,80,180,22,162,0.32,26,86,-60,32.7,84.8,-52.1,168,19,172,2.53
2024-2025 Premier League,Tottenham,82,158,22,183,1.0,64,65,-1,58.8,63.3,-4.5,158,18,184,1.87
2024-2025 Premier League,West Ham,81,172,22,170,1.13,46,62,-16,47.0,59.7,-12.7,162,18,180,1.61
2024-2025 Premier League,Wolves,83,167,18,174,1.11,54,69,-15,43.7,58.1,-14.5,166,20,176,1.74
2024-2025 Serie A,Atalanta,79,185,24,250,1.95,78,37,41,65.0,38.6,26.4,175,22,289,0.84
2024-2025 Serie A,Bologna,80,185,21,335,1.63,57,47,10,49.3,36.7,12.6,178,21,286,1.0
2024-2025 Serie A,Cagliari,80,182,22,307,0.95,40,56,-16,42.7,55.3,-12.6,181,21,284,1.82
2024-2025 Serie A,Como,81,187,18,308,1.29,49,52,-3,45.4,43.0,2.4,183,23,286,1.45
2024-2025 Serie A,Empoli,82,169,19,292,0.82,33,59,-26,32.5,50.1,-17.6,175,23,306,1.84
2024-2025 Serie A,Fiorentina,82,172,20,253,1.68,57,41,16,48.9,42.8,6.1,168,22,283,1.11
2024-2025 Serie A,Genoa,81,170,22,319,1.13,37,49,-12,37.2,47.2,-10.0,175,21,292,1.53
2024-2025 Serie A,Hellas Verona,80,180,23,368,0.97,34,66,-32,33.8,53.4,-19.6,180,20,277,1.84
2024-2025 Serie A,Inter,80,183,22,273,2.19,79,32,47,66.9,36.4,30.5,168,21,280,0.57
2024-2025 Serie A,Juventus,82,164,20,203,1.84,58,35,23,51.0,34.0,16.9,180,21,287,0.74
2024-2025 Serie A,Lazio,80,174,22,244,1.71,61,49,12,57.2,37.7,19.5,176,21,293,1.0
2024-2025 Serie A,Lecce,80,168,24,339,0.89,27,58,-31,34.6,57.1,-22.5,179,22,284,1.84
2024-2025 Serie A,Milan,81,166,22,282,1.66,61,43,18,63.7,41.3,22.4,180,19,289,1.11
2024-2025 Serie A,Monza,81,172,20,310,0.47,28,69,-41,29.9,54.7,-24.8,175,21,298,2.29
2024-2025 Serie A,Napoli,85,158,14,269,2.16,59,27,32,52.9,29.6,23.3,176,20,298,0.58
2024-2025 Serie A,Parma,78,185,26,284,0.95,44,58,-14,43.1,56.4,-13.3,170,20,296,1.66
2024-2025 Serie A,Roma,81,171,21,317,1.82,56,35,21,53.0,40.9,12.1,175,24,294,0.95
2024-2025 Serie A,Torino,80,179,21,253,1.16,39,45,-6,34.6,50.4,-15.8,167,20,303,1.47
2024-2025 Serie A,Udinese,80,181,21,278,1.16,41,56,-15,38.2,52.6,-14.4,180,20,280,1.63
2024-2025 Serie A,Venezia,81,187,19,317,0.76,32,56,-24,35.8,57.5,-21.7,177,20,296,1.87
2024-2025 Ligue 1,Angers,81,157,20,148,1.06,32,53,-21,36.0,57.8,-21.8,151,20,155,1.76
