Season,Squad,Unnamed: 2_level_0 Poss_for,Touches Def Pen_for,Touches Def 3rd_for,Touches Mid 3rd_for,Touches Att 3rd_for,Touches Att Pen_for,Touches Live_for,Take-Ons Att_for,Take-Ons Succ_for,Take-Ons Succ%_for,Take-Ons Tkld_for,Take-Ons Tkld%_for,Carries Carries_for,Carries PrgDist_for,Carries PrgC_for,Carries 1/3_for,Carries CPA_for,Carries Mis_for,Carries Dis_for,Receiving Rec_for,Receiving PrgR_for,Unnamed: 2_level_0 Poss_against,Touches Touches_against,Touches Def Pen_against,Touches Def 3rd_against,Touches Mid 3rd_against,Touches Att 3rd_against,Touches Att Pen_against,Take-Ons Att_against,Take-Ons Succ_against,Take-Ons Succ%_against,Take-Ons Tkld_against,Take-Ons Tkld%_against,Carries Carries_against,Carries TotDist_against,Carries PrgC_against,Carries 1/3_against,Carries CPA_against,Carries Mis_against,Carries Dis_against,Receiving Rec_against,Receiving PrgR_against
2024-2025 Premier League,Arsenal,56.9,1844,6064,10362,7808,1282,24054,726,320,44.1,316,43.5,14234,40246,852,540,286,483,382,16894,1801,43.1,19306,2948,7642,7501,4397,632,595,255,42.9,260,43.7,10350,57925,618,413,162,451,338,12077,927
2024-2025 Premier League,Aston Villa,50.5,2646,7301,9257,5362,951,21693,726,327,45.0,299,41.2,12334,36242,720,448,212,508,386,14423,1331,49.5,21614,2408,6804,9497,5515,886,617,236,38.2,310,50.2,12031,65638,688,462,205,491,327,14278,1292
2024-2025 Premier League,Bournemouth,48.5,2217,6444,9314,6128,1005,21611,672,294,43.8,300,44.6,11733,36709,754,534,228,597,350,12855,1474,51.5,22681,2841,8227,9246,5446,934,704,326,46.3,301,42.8,12104,65710,685,452,203,663,390,13911,1280
2024-2025 Premier League,Brentford,47.9,3282,8328,8055,5310,987,21485,627,265,42.3,293,46.7,11412,31661,598,380,213,549,300,13153,1339,52.1,23090,2608,7185,8991,7103,1189,661,282,42.7,314,47.5,12890,68221,835,579,294,507,319,14889,1547
2024-2025 Premier League,Brighton,52.3,2601,7503,10292,6153,1085,23670,797,338,42.4,382,47.9,13919,41746,816,576,263,583,344,15637,1522,47.7,22046,2949,8740,9148,4374,877,795,353,44.4,350,44.0,12304,64473,607,355,243,503,355,14102,1196
2024-2025 Premier League,Chelsea,57.1,2410,7564,11375,6497,1115,25212,783,326,41.6,336,42.9,14501,41394,861,493,317,466,297,17888,1576,42.9,20227,2916,8063,8175,4232,771,627,263,41.9,273,43.5,11048,60917,600,391,179,468,315,12876,1190
2024-2025 Premier League,Crystal Palace,42.8,2570,7689,8441,4456,797,20385,500,209,41.8,241,48.2,10275,25304,510,354,126,491,339,11783,1140,57.2,25561,2451,7644,11861,6291,904,733,319,43.5,324,44.2,14221,76019,686,501,175,582,443,17148,1566
2024-2025 Premier League,Everton,40.9,2462,6930,7927,4762,732,19406,636,283,44.5,305,48.0,9535,25414,486,364,119,525,390,11309,1023,59.1,25864,2401,8222,11641,6229,931,729,318,43.6,338,46.4,15106,79769,724,520,195,549,394,17776,1616
2024-2025 Premier League,Fulham,52.3,2641,8095,9787,6287,954,23922,637,288,45.2,254,39.9,14026,38440,786,544,213,515,281,16043,1544,47.7,22348,2568,7282,10037,5271,825,658,276,41.9,289,43.9,12382,68477,654,459,180,572,390,14544,1384
2024-2025 Premier League,Ipswich Town,40.6,3012,7764,7504,4032,605,19089,643,277,43.1,290,45.1,9384,26144,513,330,150,538,347,11405,920,59.4,25927,2229,7646,11051,7443,1168,674,323,47.9,281,41.7,15621,79646,812,547,286,498,308,18201,1703
