Season,Squad,Standard Gls_for,Standard Sh_for,Standard SoT_for,Standard SoT%_for,Standard G/Sh_for,Standard G/SoT_for,Standard Dist_for,Standard FK_for,Standard PK_for,Standard PKatt_for,Expected xG_for,Expected npxG_for,Expected npxG/Sh_for,Expected G-xG_for,Expected np:G-xG_for,Standard Gls_against,Standard Sh_against,Standard SoT_against,Standard SoT%_against,Standard G/Sh_against,Standard G/SoT_against,Standard Dist_against,Standard FK_against,Standard PK_against,Standard PKatt_against,Expected xG_against,Expected npxG_against,Expected npxG/Sh_against,Expected G-xG_against,Expected np:G-xG_against
2024-2025 Premier League,Arsenal,67,544,178,32.7,0.12,0.37,15.1,10,2,2,59.9,58.4,0.11,7.1,6.6,34,359,117,32.6,0.09,0.26,17.8,13,3,3,34.4,32.0,0.09,-0.4,-1.0
2024-2025 Premier League,Aston Villa,56,478,159,33.3,0.11,0.33,16.3,12,3,6,56.1,51.3,0.11,-0.1,1.7,51,460,153,33.3,0.11,0.32,16.7,10,2,3,50.1,47.8,0.11,0.9,1.2
2024-2025 Premier League,Bournemouth,57,574,192,33.4,0.09,0.27,16.7,10,6,7,64.0,58.5,0.1,-7.0,-7.5,46,483,168,34.8,0.09,0.25,17.1,14,4,4,48.5,45.3,0.1,-2.5,-3.3
2024-2025 Premier League,Brentford,65,434,173,39.9,0.14,0.35,14.9,10,5,6,59.0,54.4,0.13,6.0,5.6,54,646,206,31.9,0.08,0.26,17.5,14,1,1,55.4,54.7,0.09,-1.4,-1.7
2024-2025 Premier League,Brighton,64,526,183,34.8,0.11,0.31,17.2,25,7,7,58.7,53.3,0.1,5.3,3.7,57,418,138,33.0,0.11,0.35,15.6,8,9,9,54.6,47.7,0.12,2.4,0.3
2024-2025 Premier League,Chelsea,61,590,203,34.4,0.1,0.28,16.7,17,4,5,67.8,63.8,0.11,-6.8,-6.8,43,392,149,38.0,0.1,0.26,17.1,22,5,6,47.3,42.6,0.11,-4.3,-4.6
2024-2025 Premier League,Crystal Palace,49,512,175,34.2,0.09,0.26,16.8,19,3,4,60.4,57.3,0.11,-11.4,-11.3,48,481,148,30.8,0.1,0.32,16.4,9,1,2,49.1,47.5,0.1,-1.1,-0.5
2024-2025 Premier League,Everton,39,404,139,34.4,0.09,0.27,16.8,11,2,2,41.8,40.2,0.1,-2.8,-3.2,44,478,161,33.7,0.09,0.27,16.6,16,0,2,46.2,44.6,0.1,-2.2,-0.6
2024-2025 Premier League,Fulham,53,516,167,32.4,0.1,0.3,16.4,10,3,4,49.0,45.9,0.09,4.0,4.1,52,429,155,36.1,0.11,0.32,16.2,17,3,4,47.2,44.1,0.11,4.8,4.9
2024-2025 Premier League,Ipswich Town,35,374,120,32.1,0.09,0.28,17.7,10,2,2,34.4,32.8,0.09,0.6,0.2,80,601,204,33.9,0.12,0.36,16.4,14,6,6,72.7,68.3,0.12,7.3,5.7
