Season,Squad,Unnamed: 3_level_0 Poss_for,Performance Gls_for,Performance Ast_for,Performance G+A_for,Performance G-PK_for,Performance PK_for,Performance PKatt_for,Performance CrdY_for,Performance CrdR_for,Expected xG_for,Expected npxG_for,Expected xAG_for,Expected npxG+xAG_for,Progression PrgC_for,Progression PrgP_for,Unnamed: 3_level_0 Poss_against,Performance Gls_against,Performance Ast_against,Performance G+A_against,Performance G-PK_against,Performance PK_against,Performance PKatt_against,Performance CrdY_against,Performance CrdR_against,Expected xG_against,Expected npxG_against,Expected xAG_against,Expected npxG+xAG_against,Progression PrgC_against,Progression PrgP_against
2024-2025 Premier League,Arsenal,56.9,67,55,122,65,2,2,70,6,59.9,58.4,45.3,103.6,852,1826,43.1,34,24,58,31,3,3,83,2,34.4,32.0,24.5,56.6,618,938
2024-2025 Premier League,Aston Villa,50.5,56,45,101,53,3,6,76,4,56.1,51.3,41.7,93.0,720,1344,49.5,51,36,87,49,2,3,104,2,50.1,47.8,36.4,84.2,688,1315
2024-2025 Premier League,Bournemouth,48.5,57,41,98,51,6,7,97,3,64.0,58.5,43.8,102.3,754,1489,51.5,46,36,82,42,4,4,94,5,48.5,45.3,36.5,81.8,685,1295
2024-2025 Premier League,Brentford,47.9,65,44,109,60,5,6,62,1,59.0,54.4,42.4,96.8,598,1356,52.1,54,42,96,53,1,1,82,3,55.4,54.7,43.3,97.9,835,1562
2024-2025 Premier League,Brighton,52.3,64,41,105,57,7,7,78,3,58.7,53.3,40.4,93.7,816,1539,47.7,57,39,96,48,9,9,93,5,54.6,47.7,41.3,88.9,607,1209
2024-2025 Premier League,Chelsea,57.1,61,47,108,57,4,5,101,2,67.8,63.8,52.7,116.5,861,1595,42.9,43,33,76,38,5,6,98,2,47.3,42.6,35.3,77.8,600,1206
2024-2025 Premier League,Crystal Palace,42.8,49,38,87,46,3,4,80,4,60.4,57.3,46.4,103.7,510,1158,57.2,48,39,87,47,1,2,84,4,49.1,47.5,38.5,86.0,686,1578
2024-2025 Premier League,Everton,40.9,39,27,66,37,2,2,82,2,41.8,40.2,32.2,72.4,486,1041,59.1,44,35,79,44,0,2,46,2,46.2,44.6,34.6,79.2,724,1627
2024-2025 Premier League,Fulham,52.3,53,44,97,50,3,4,80,2,49.0,45.9,37.5,83.4,786,1558,47.7,52,40,92,49,3,4,67,3,47.2,44.1,34.4,78.5,654,1396
2024-2025 Premier League,Ipswich Town,40.6,35,26,61,33,2,2,93,5,34.4,32.8,24.2,57.0,513,935,59.4,80,55,135,74,6,6,65,2,72.7,68.3,53.5,121.8,812,1726
2024-2025 Premier League,Leicester City,45.4,33,25,58,31,2,3,87,0,32.6,30.4,25.1,55.5,576,1082,54.6,77,57,134,74,3,4,58,2,71.9,68.8,52.2,121.0,735,1755
2024-2025 Premier League,Liverpool,57.7,85,65,150,76,9,9,67,3,82.2,75.2,61.6,136.8,825,1924,42.3,39,28,67,38,1,2,84,2,38.6,36.9,29.4,66.2,683,1091
2024-2025 Premier League,Manchester City,61.3,71,51,122,68,3,4,59,2,68.1,64.9,54.2,119.1,1146,1944,38.7,42,32,74,38,4,4,88,2,47.7,44.6,37.2,81.7,546,912
2024-2025 Premier League,Manchester Utd,53.5,42,29,71,38,4,4,86,3,52.6,49.4,39.7,89.1,697,1448,46.5,52,36,88,49,3,4,71,3,53.8,50.8,38.4,89.2,672,1184
2024-2025 Premier League,Newcastle Utd,51.3,66,50,116,61,5,6,68,1,63.8,59.5,46.0,105.5,759,1595,48.7,45,41,86,44,1,2,97,3,45.5,44.0,35.9,79.9,667,1273
2024-2025 Premier League,Nott'ham Forest,41.2,57,42,99,54,3,3,90,2,45.5,43.2,33.0,76.2,633,1125,58.8,46,35,81,43,3,3,104,2,48.9,46.5,35.2,81.7,966,1886
2024-2025 Premier League,Southampton,48.5,25,16,41,25,0,2,89,3,32.7,30.9,24.8,55.8,640,1127,51.5,86,61,147,79,7,9,54,1,84.8,77.9,63.0,140.9,814,1647
2024-2025 Premier League,Tottenham,54.7,61,47,108,58,3,4,72,1,58.8,55.7,44.4,100.1,840,1593,45.3,61,43,104,58,3,3,85,3,63.3,60.9,46.3,107.2,660,1330
2024-2025 Premier League,West Ham,48.4,43,29,72,40,3,3,82,3,47.0,44.7,33.9,78.6,632,1222,51.6,59,45,104,56,3,3,56,1,59.7,57.4,47.6,105.0,832,1622
2024-2025 Premier League,Wolves,48.1,53,42,95,53,0,0,79,2,43.7,43.7,35.4,79.1,607,1185,51.9,66,47,113,59,7,9,85,3,58.1,51.0,41.5,92.5,767,1534
2024-2025 Serie A,Atalanta,55.3,76,54,130,71,5,7,67,1,65.0,59.5,46.9,106.4,897,1824,44.7,35,26,61,33,2,2,51,2,38.6,37.1,27.5,64.6,510,988
2024-2025 Serie A,Bologna,58.1,56,43,99,50,6,7,61,4,49.3,43.8,35.2,79.0,639,1468,41.9,45,32,77,43,2,3,95,3,36.7,34.3,25.4,59.7,440,876
2024-2025 Serie A,Cagliari,44.9,38,31,69,35,3,3,68,3,42.7,40.3,32.0,72.4,506,1150,55.1,56,40,96,50,6,6,61,5,55.3,51.1,40.2,91.3,756,1504
2024-2025 Serie A,Como,54.6,44,39,83,44,0,2,87,7,45.4,43.9,36.6,80.5,658,1377,45.4,52,35,87,45,7,7,95,5,43.0,37.6,28.9,66.5,539,1116
2024-2025 Serie A,Empoli,41.7,31,21,52,29,2,3,68,5,32.5,30.1,22.9,53.1,428,1013,58.3,58,48,106,57,1,3,58,3,50.1,47.7,37.2,84.9,588,1402
