Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,Tackles Tkl_for,Tackles TklW_for,Tackles Def 3rd_for,Tackles Mid 3rd_for,Tackles Att 3rd_for,Challenges Tkl_for,Challenges Att_for,Challenges Tkl%_for,Challenges Lost_for,Blocks Blocks_for,Blocks Sh_for,Blocks Pass_for,Unnamed: 15_level_0 Int_for,Unnamed: 16_level_0 Tkl+Int_for,Unnamed: 17_level_0 Clr_for,Unnamed: 18_level_0 Err_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,Tackles Tkl_against,Tackles TklW_against,Tackles Def 3rd_against,Tackles Mid 3rd_against,Tackles Att 3rd_against,Challenges Tkl_against,Challenges Att_against,Challenges Tkl%_against,Challenges Lost_against,Blocks Blocks_against,Blocks Sh_against,Blocks Pass_against,Unnamed: 15_level_0 Int_against,Unnamed: 16_level_0 Tkl+Int_against,Unnamed: 17_level_0 Clr_against,Unnamed: 18_level_0 Err_against,Season
Arsenal,25,38.0,598,348,220,249,129,260,515,50.5,255,328,106,222,225,823,680,33,25,38.0,698,420,406,214,78,316,636,49.7,320,410,180,230,261,959,1038,38,2024-2025 Premier League
Aston Villa,28,38.0,637,372,293,249,95,310,546,56.8,236,329,107,222,240,877,788,43,28,38.0,685,387,322,258,105,299,626,47.8,327,419,136,283,347,1032,869,30,2024-2025 Premier League
Bournemouth,29,38.0,691,399,290,299,102,301,627,48.0,326,459,136,323,351,1042,1013,22,29,38.0,650,396,321,257,72,300,594,50.5,294,414,160,254,279,929,1014,50,2024-2025 Premier League
Brentford,28,38.0,633,380,289,223,121,314,596,52.7,282,480,199,281,285,918,1040,28,28,38.0,593,362,273,217,103,293,558,52.5,265,366,106,260,287,880,1036,32,2024-2025 Premier League
Brighton,32,38.0,705,431,287,297,121,350,703,49.8,353,439,122,317,315,1020,762,29,32,38.0,726,408,370,274,82,382,720,53.1,338,409,147,262,320,1046,981,33,2024-2025 Premier League
Chelsea,29,38.0,588,371,243,244,101,273,536,50.9,263,356,103,253,272,860,695,45,29,38.0,633,368,318,241,74,336,662,50.8,326,435,172,263,286,919,880,42,2024-2025 Premier League
Crystal Palace,29,38.0,767,450,374,299,94,324,643,50.4,319,485,144,341,334,1101,1088,19,29,38.0,580,319,203,264,113,241,450,53.6,209,417,145,272,342,922,874,35,2024-2025 Premier League
Everton,26,38.0,732,433,366,269,97,338,656,51.5,318,392,138,254,345,1077,1088,25,26,38.0,695,424,322,276,97,305,588,51.9,283,349,103,246,235,930,924,25,2024-2025 Premier League
Fulham,26,38.0,679,411,327,259,93,289,565,51.2,276,382,113,269,302,981,914,33,26,38.0,535,306,237,226,72,254,542,46.9,288,423,148,275,336,871,995,27,2024-2025 Premier League
Ipswich Town,32,38.0,589,340,294,214,81,281,604,46.5,323,436,185,251,303,892,1102,39,32,38.0,637,366,274,260,103,290,567,51.1,277,366,110,256,242,879,744,23,2024-2025 Premier League
Leicester City,32,38.0,728,431,361,278,89,336,695,48.3,359,505,198,307,327,1055,987,31,32,38.0,640,411,223,288,129,304,568,53.5,264,355,95,260,269,909,807,23,2024-2025 Premier League
Liverpool,24,38.0,642,391,271,267,104,340,656,51.8,316,367,97,270,299,941,724,31,24,38.0,660,402,358,228,74,310,611,50.7,301,462,183,279,320,980,1094,42,2024-2025 Premier League
Manchester City,30,38.0,497,299,183,216,98,214,449,47.7,235,331,89,242,229,726,619,35,30,38.0,696,399,418,214,64,301,678,44.4,377,462,172,290,310,1006,956,33,2024-2025 Premier League
Manchester Utd,31,38.0,817,493,394,305,118,400,723,55.3,323,386,107,279,358,1175,759,26,31,38.0,676,414,315,257,104,323,575,56.2,252,475,164,311,325,1001,858,20,2024-2025 Premier League
Newcastle Utd,24,38.0,603,371,275,235,93,306,604,50.7,298,411,141,270,270,873,884,34,24,38.0,736,433,327,298,111,298,580,51.4,282,462,150,312,301,1037,893,44,2024-2025 Premier League
Nott'ham Forest,23,38.0,698,419,406,225,67,343,670,51.2,327,427,157,270,322,1020,1220,24,23,38.0,557,365,252,211,94,233,492,47.4,259,356,122,234,265,822,896,37,2024-2025 Premier League
Southampton,36,38.0,652,378,310,266,76,280,584,47.9,304,433,201,232,305,957,988,51,36,38.0,688,405,257,294,137,333,645,51.6,312,359,124,235,311,999,753,11,2024-2025 Premier League
Tottenham,31,38.0,661,414,285,271,105,296,598,49.5,302,448,159,289,322,983,821,41,31,38.0,851,548,402,336,113,425,733,58.0,308,509,137,372,391,1242,903,36,2024-2025 Premier League
West Ham,27,38.0,654,388,317,253,84,290,532,54.5,242,440,169,271,331,985,1037,28,27,38.0,752,435,322,310,120,360,707,50.9,347,431,144,287,298,1050,836,23,2024-2025 Premier League
Wolves,32,38.0,801,471,412,305,84,373,669,55.8,296,437,137,300,298,1099,947,25,32,38.0,684,422,277,300,107,315,639,49.3,324,392,110,282,308,992,805,38,2024-2025 Premier League
Atalanta,32,38.0,571,347,238,260,73,272,506,53.8,234,360,98,262,296,867,679,16,32,38.0,692,399,381,244,67,330,587,56.2,257,387,125,262,330,1022,895,28,2024-2025 Serie A
Bologna,30,38.0,591,346,215,270,106,283,538,52.6,255,390,93,297,258,849,679,20,30,38.0,627,375,320,253,54,266,487,54.6,221,391,136,255,305,932,999,22,2024-2025 Serie A
Cagliari,28,38.0,538,303,264,224,50,238,449,53.0,211,343,131,212,276,814,887,18,28,38.0,568,338,270,220,78,274,502,54.6,228,396,117,279,268,836,920,16,2024-2025 Serie A
