Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,Unnamed: 3_level_0 Att_for,Pass Types Live_for,Pass Types Dead_for,Pass Types FK_for,Pass Types TB_for,Pass Types Sw_for,Pass Types Crs_for,Pass Types TI_for,Pass Types CK_for,Corner Kicks In_for,Corner Kicks Out_for,Corner Kicks Str_for,Outcomes Cmp_for,Outcomes Off_for,Outcomes Blocks_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,Unnamed: 3_level_0 Att_against,Pass Types Live_against,Pass Types Dead_against,Pass Types FK_against,Pass Types TB_against,Pass Types Sw_against,Pass Types Crs_against,Pass Types TI_against,Pass Types CK_against,Corner Kicks In_against,Corner Kicks Out_against,Corner Kicks Str_against,Outcomes Cmp_against,Outcomes Off_against,Outcomes Blocks_against,Season
Arsenal,25,38.0,20241,18608,1553,432,80,74,766,598,251,211,3,2,17066,80,278,25,38.0,15255,13697,1520,461,47,74,534,526,118,70,25,2,12192,38,251,2024-2025 Premier League
Aston Villa,28,38.0,17797,16044,1698,583,95,58,604,497,230,148,24,1,14701,55,346,28,38.0,17377,15839,1445,441,66,96,683,474,172,112,30,5,14438,93,276,2024-2025 Premier League
Bournemouth,29,38.0,16900,15136,1694,430,59,78,832,686,228,166,18,4,12977,70,314,29,38.0,18037,16003,1992,569,68,59,601,800,184,103,44,4,14072,42,372,2024-2025 Premier League
Brentford,28,38.0,17100,15453,1584,386,69,71,674,602,174,139,2,0,13358,63,288,28,38.0,18708,17074,1576,363,63,74,793,615,242,131,61,4,15047,58,331,2024-2025 Premier League
Brighton,32,38.0,19188,17527,1615,482,77,76,704,605,188,107,48,7,15820,46,310,32,38.0,17647,15881,1678,460,53,82,543,634,182,130,23,4,14240,88,334,2024-2025 Premier League
Chelsea,29,38.0,21320,19613,1642,516,79,95,663,587,234,121,37,8,18033,65,304,29,38.0,16240,14557,1595,461,55,59,543,583,139,81,36,1,13008,88,297,2024-2025 Premier League
Crystal Palace,29,38.0,15754,14066,1614,440,71,59,605,621,171,115,18,0,11875,74,302,29,38.0,21227,19439,1741,473,66,78,716,717,214,135,44,7,17325,47,399,2024-2025 Premier League
Everton,26,38.0,14953,13245,1627,424,30,83,682,678,154,101,24,11,11405,81,295,26,38.0,21623,19822,1750,489,68,106,731,708,229,146,42,7,17944,51,304,2024-2025 Premier League
Fulham,26,38.0,19753,18077,1633,437,43,119,894,636,203,88,87,1,16199,43,337,26,38.0,18069,16368,1618,445,75,96,632,613,172,122,26,3,14692,83,310,2024-2025 Premier League
Ipswich Town,32,38.0,14775,13146,1577,434,44,60,505,572,145,111,18,1,11524,52,300,32,38.0,21940,20230,1668,459,82,104,778,680,249,136,31,6,18380,42,301,2024-2025 Premier League
