Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,Total Cmp_for,Total Att_for,Total Cmp%_for,Total TotDist_for,Total PrgDist_for,Short Cmp_for,Short Att_for,Short Cmp%_for,Medium Cmp_for,Medium Att_for,Medium Cmp%_for,Long Cmp_for,Long Att_for,Long Cmp%_for,Unnamed: 17_level_0 Ast_for,Unnamed: 18_level_0 xAG_for,Expected xA_for,Expected A-xAG_for,Unnamed: 21_level_0 KP_for,Unnamed: 22_level_0 1/3_for,Unnamed: 23_level_0 PPA_for,Unnamed: 24_level_0 CrsPA_for,Unnamed: 25_level_0 PrgP_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,Total Cmp_against,Total Att_against,Total Cmp%_against,Total TotDist_against,Total PrgDist_against,Short Cmp_against,Short Att_against,Short Cmp%_against,Medium Cmp_against,Medium Att_against,Medium Cmp%_against,Long Cmp_against,Long Att_against,Long Cmp%_against,Unnamed: 17_level_0 Ast_against,Unnamed: 18_level_0 xAG_against,Expected xA_against,Expected A-xAG_against,Unnamed: 21_level_0 KP_against,Unnamed: 22_level_0 1/3_against,Unnamed: 23_level_0 PPA_against,Unnamed: 24_level_0 CrsPA_against,Unnamed: 25_level_0 PrgP_against,Season
Arsenal,25,38.0,17066,20241,84.3,278808,87055,8591,9363,91.8,7129,7999,89.1,1031,2022,51.0,55,45.3,45.7,9.7,428,1397,437,75,1826,25,38.0,12192,15255,79.9,214595,73593,5573,6249,89.2,5271,6035,87.3,1095,2295,47.7,24,24.5,24.6,-0.5,263,905,197,60,938,2024-2025 Premier League
Aston Villa,28,38.0,14701,17797,82.6,252637,88182,6778,7510,90.3,6555,7386,88.7,1088,2065,52.7,45,41.7,36.9,3.3,358,1137,319,56,1344,28,38.0,14438,17377,83.1,249107,83992,6870,7487,91.8,5962,6755,88.3,1278,2286,55.9,36,36.4,35.8,-0.4,336,1189,295,81,1315,2024-2025 Premier League
Bournemouth,29,38.0,12977,16900,76.8,233955,86767,5648,6514,86.7,5659,6670,84.8,1365,2819,48.4,41,43.8,36.5,-2.8,437,1242,339,106,1489,29,38.0,14072,18037,78.0,239562,94618,6832,7804,87.5,5701,6768,84.2,1179,2500,47.2,36,36.5,36.3,-0.5,369,1012,334,66,1295,2024-2025 Premier League
Brentford,28,38.0,13358,17100,78.1,245539,93263,5849,6739,86.8,5826,6875,84.7,1449,2741,52.9,44,42.4,38.1,1.6,330,1104,325,91,1356,28,38.0,15047,18708,80.4,255472,89605,7373,8191,90.0,6137,7122,86.2,1248,2566,48.6,42,43.3,41.8,-1.3,501,1279,430,92,1562,2024-2025 Premier League
Brighton,32,38.0,15820,19188,82.4,268916,90984,7629,8443,90.4,6541,7472,87.5,1313,2397,54.8,41,40.4,39.1,0.6,377,1189,339,87,1539,32,38.0,14240,17647,80.7,253402,87854,6260,6967,89.9,6537,7370,88.7,1220,2475,49.3,39,41.3,30.2,-2.3,333,1004,248,44,1209,2024-2025 Premier League
Chelsea,29,38.0,18033,21320,84.6,311166,98339,8067,8802,91.6,8244,9120,90.4,1369,2547,53.7,47,52.7,41.8,-5.7,457,1488,346,73,1595,29,38.0,13008,16240,80.1,225986,83133,6079,6788,89.6,5545,6338,87.5,1116,2317,48.2,33,35.3,29.4,-2.3,283,929,255,62,1206,2024-2025 Premier League
Crystal Palace,29,38.0,11875,15754,75.4,213257,80237,5198,6077,85.5,5285,6317,83.7,1137,2545,44.7,38,46.4,36.6,-8.4,379,886,272,69,1158,29,38.0,17325,21227,81.6,304572,101974,7542,8554,88.2,7895,8939,88.3,1520,2707,56.2,39,38.5,34.4,0.5,373,1360,301,73,1578,2024-2025 Premier League
Everton,26,38.0,11405,14953,76.3,215027,85013,5039,5809,86.7,4604,5451,84.5,1526,2901,52.6,27,32.2,27.2,-5.2,298,1003,261,92,1041,26,38.0,17944,21623,83.0,306074,100829,8349,9200,90.8,7862,8874,88.6,1365,2627,52.0,35,34.6,34.2,0.4,361,1368,331,76,1627,2024-2025 Premier League
Fulham,26,38.0,16199,19753,82.0,289508,97635,7195,8007,89.9,7222,8198,88.1,1504,2703,55.6,44,37.5,35.0,6.5,398,1346,343,108,1558,26,38.0,14692,18069,81.3,250460,87331,6948,7706,90.2,6126,7060,86.8,1212,2371,51.1,40,34.4,30.0,5.6,304,1144,279,65,1396,2024-2025 Premier League
Ipswich Town,32,38.0,11524,14775,78.0,204832,77912,5157,5835,88.4,5115,5988,85.4,1021,2184,46.7,26,24.2,21.2,1.8,283,865,173,54,935,32,38.0,18380,21940,83.8,312842,97353,8645,9483,91.2,8006,8968,89.3,1365,2612,52.3,55,53.5,47.9,1.5,456,1449,417,97,1726,2024-2025 Premier League
Leicester City,32,38.0,13945,17486,79.7,234016,83996,6703,7482,89.6,5797,6664,87.0,1073,2370,45.3,25,25.1,24.1,-0.1,252,953,216,67,1082,32,38.0,17576,21079,83.4,302665,99007,8208,9124,90.0,7627,8620,88.5,1431,2419,59.2,57,52.2,51.2,4.8,490,1418,435,109,1755,2024-2025 Premier League
Liverpool,24,38.0,18303,21758,84.1,312343,104887,8615,9382,91.8,7893,8905,88.6,1412,2550,55.4,65,61.6,54.3,3.4,509,1583,430,83,1924,24,38.0,12622,15957,79.1,216073,79156,5991,6722,89.1,5211,6052,86.1,1078,2250,47.9,28,29.4,25.2,-1.4,283,842,210,49,1091,2024-2025 Premier League
Manchester City,30,38.0,21531,24443,88.1,349984,98901,11071,11923,92.9,8884,9710,91.5,1281,2040,62.8,51,54.2,53.8,-3.2,472,1685,440,62,1944,30,38.0,12668,15459,81.9,221100,77112,5940,6537,90.9,5254,5900,89.1,1184,2251,52.6,32,37.2,29.4,-5.2,277,784,248,78,912,2024-2025 Premier League
Manchester Utd,31,38.0,16837,20415,82.5,278154,89708,8233,9125,90.2,6855,7768,88.2,1257,2438,51.6,29,39.7,35.6,-10.7,406,1141,335,73,1448,31,38.0,14277,17770,80.3,237786,82285,6938,7804,88.9,5842,6729,86.8,1071,2230,48.0,36,38.4,32.2,-2.4,309,1064,239,59,1184,2024-2025 Premier League
Newcastle Utd,24,38.0,15416,18898,81.6,260464,91034,7416,8283,89.5,6475,7373,87.8,1193,2313,51.6,50,46.0,42.2,4.0,399,1149,399,70,1595,24,38.0,14333,17858,80.3,244975,85080,7047,7756,90.9,5735,6620,86.6,1213,2556,47.5,41,35.9,31.6,5.1,364,1170,276,65,1273,2024-2025 Premier League
