Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 Age_for,Playing Time MP_for,Playing Time Min_for,Playing Time Mn/MP_for,Playing Time Min%_for,Playing Time 90s_for,Starts Starts_for,Starts Mn/Start_for,Starts Compl_for,Subs Subs_for,Subs Mn/Sub_for,Subs unSub_for,Team Success PPM_for,Team Success onG_for,Team Success onGA_for,Team Success +/-_for,Team Success +/-90_for,Team Success (xG) onxG_for,Team Success (xG) onxGA_for,Team Success (xG) xG+/-_for,Team Success (xG) xG+/-90_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 Age_against,Playing Time MP_against,Playing Time Min_against,Playing Time Mn/MP_against,Playing Time Min%_against,Playing Time 90s_against,Starts Starts_against,Starts Mn/Start_against,Starts Compl_against,Subs Subs_against,Subs Mn/Sub_against,Subs unSub_against,Team Success PPM_against,Team Success onG_against,Team Success onGA_against,Team Success +/-_against,Team Success +/-90_against,Team Success (xG) onxG_against,Team Success (xG) onxGA_against,Team Success (xG) xG+/-_against,Team Success (xG) xG+/-90_against,Season
Arsenal,25,25.8,38,3420,90,100,38.0,418,83,272.0,142,18,200,1.95,69,34,35,0.92,59.9,34.4,25.5,0.67,25,26.1,38,3420,90,100,38.0,418,83,259.0,157,21,185,0.68,34,69,-35,-0.92,34.4,59.9,-25.5,-0.67,2024-2025 Premier League
Aston Villa,28,27.0,38,3420,90,100,38.0,418,80,246.0,170,23,170,1.74,58,51,7,0.18,56.1,50.1,5.9,0.16,28,26.3,38,3420,90,100,38.0,418,80,263.0,157,18,185,1.03,51,58,-7,-0.18,50.1,56.1,-5.9,-0.16,2024-2025 Premier League
Bournemouth,29,25.1,38,3420,90,100,38.0,418,83,254.0,162,18,180,1.47,58,46,12,0.32,64.0,48.5,15.5,0.41,29,26.4,38,3420,90,100,38.0,418,83,254.0,160,20,182,1.24,46,58,-12,-0.32,48.5,64.0,-15.5,-0.41,2024-2025 Premier League
Brentford,28,25.8,38,3420,90,100,38.0,418,85,277.0,142,15,200,1.47,66,57,9,0.24,59.0,55.4,3.6,0.09,28,26.4,38,3420,90,100,38.0,418,85,251.0,165,20,177,1.32,57,66,-9,-0.24,55.4,59.0,-3.6,-0.09,2024-2025 Premier League
Brighton,32,24.8,38,3420,90,100,38.0,418,82,231.0,184,18,158,1.61,66,59,7,0.18,58.7,54.6,4.1,0.11,32,26.2,38,3420,90,100,38.0,418,82,254.0,163,20,179,1.05,59,66,-7,-0.18,54.6,58.7,-4.1,-0.11,2024-2025 Premier League
Chelsea,29,23.7,38,3420,90,100,38.0,418,83,277.0,140,19,202,1.82,64,43,21,0.55,67.8,47.3,20.5,0.54,29,26.5,38,3420,90,100,38.0,418,83,263.0,154,19,188,0.95,43,64,-21,-0.55,47.3,67.8,-20.5,-0.54,2024-2025 Premier League
Crystal Palace,29,26.2,38,3420,90,100,38.0,418,83,268.0,148,18,192,1.39,51,51,0,0.0,60.4,49.1,11.3,0.3,29,26.1,38,3420,90,100,38.0,418,83,259.0,156,20,186,1.24,51,51,0,0.0,49.1,60.4,-11.3,-0.3,2024-2025 Premier League
Everton,26,28.0,38,3420,90,100,38.0,418,84,286.0,130,19,211,1.26,42,44,-2,-0.05,41.8,46.2,-4.5,-0.12,26,26.2,38,3420,90,100,38.0,418,84,266.0,151,18,190,1.34,44,42,2,0.05,46.2,41.8,4.5,0.12,2024-2025 Premier League
Fulham,26,28.1,38,3420,90,100,38.0,418,83,239.0,179,17,163,1.42,54,54,0,0.0,49.0,47.2,1.8,0.05,26,26.3,38,3420,90,100,38.0,418,83,258.0,160,18,181,1.34,54,54,0,0.0,47.2,49.0,-1.8,-0.05,2024-2025 Premier League
Ipswich Town,32,25.8,38,3420,90,100,38.0,418,82,237.0,178,17,164,0.58,36,82,-46,-1.21,34.4,72.7,-38.3,-1.01,32,26.3,38,3420,90,100,38.0,418,82,255.0,162,18,178,2.16,82,36,46,1.21,72.7,34.4,38.3,1.01,2024-2025 Premier League
Leicester City,32,26.6,38,3420,90,100,38.0,418,82,250.0,168,19,174,0.66,33,80,-47,-1.24,32.6,71.9,-39.3,-1.03,32,26.3,38,3420,90,100,38.0,418,82,253.0,165,17,175,2.16,80,33,47,1.24,71.9,32.6,39.3,1.03,2024-2025 Premier League
