Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,Standard Gls_for,Standard Sh_for,Standard SoT_for,Standard SoT%_for,Standard Sh/90_for,Standard SoT/90_for,Standard G/Sh_for,Standard G/SoT_for,Standard Dist_for,Standard FK_for,Standard PK_for,Standard PKatt_for,Expected xG_for,Expected npxG_for,Expected npxG/Sh_for,Expected G-xG_for,Expected np:G-xG_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,Standard Gls_against,Standard Sh_against,Standard SoT_against,Standard SoT%_against,Standard Sh/90_against,Standard SoT/90_against,Standard G/Sh_against,Standard G/SoT_against,Standard Dist_against,Standard FK_against,Standard PK_against,Standard PKatt_against,Expected xG_against,Expected npxG_against,Expected npxG/Sh_against,Expected G-xG_against,Expected np:G-xG_against,Season
Arsenal,25,38.0,67,544,178,32.7,14.32,4.68,0.12,0.37,15.1,10,2,2,59.9,58.4,0.11,7.1,6.6,25,38.0,34,359,117,32.6,9.45,3.08,0.09,0.26,17.8,13,3,3,34.4,32.0,0.09,-0.4,-1.0,2024-2025 Premier League
Aston Villa,28,38.0,56,478,159,33.3,12.58,4.18,0.11,0.33,16.3,12,3,6,56.1,51.3,0.11,-0.1,1.7,28,38.0,51,460,153,33.3,12.11,4.03,0.11,0.32,16.7,10,2,3,50.1,47.8,0.11,0.9,1.2,2024-2025 Premier League
Bournemouth,29,38.0,57,574,192,33.4,15.11,5.05,0.09,0.27,16.7,10,6,7,64.0,58.5,0.1,-7.0,-7.5,29,38.0,46,483,168,34.8,12.71,4.42,0.09,0.25,17.1,14,4,4,48.5,45.3,0.1,-2.5,-3.3,2024-2025 Premier League
Brentford,28,38.0,65,434,173,39.9,11.42,4.55,0.14,0.35,14.9,10,5,6,59.0,54.4,0.13,6.0,5.6,28,38.0,54,646,206,31.9,17.0,5.42,0.08,0.26,17.5,14,1,1,55.4,54.7,0.09,-1.4,-1.7,2024-2025 Premier League
Brighton,32,38.0,64,526,183,34.8,13.84,4.82,0.11,0.31,17.2,25,7,7,58.7,53.3,0.1,5.3,3.7,32,38.0,57,418,138,33.0,11.0,3.63,0.11,0.35,15.6,8,9,9,54.6,47.7,0.12,2.4,0.3,2024-2025 Premier League
Chelsea,29,38.0,61,590,203,34.4,15.53,5.34,0.1,0.28,16.7,17,4,5,67.8,63.8,0.11,-6.8,-6.8,29,38.0,43,392,149,38.0,10.32,3.92,0.1,0.26,17.1,22,5,6,47.3,42.6,0.11,-4.3,-4.6,2024-2025 Premier League
Crystal Palace,29,38.0,49,512,175,34.2,13.47,4.61,0.09,0.26,16.8,19,3,4,60.4,57.3,0.11,-11.4,-11.3,29,38.0,48,481,148,30.8,12.66,3.89,0.1,0.32,16.4,9,1,2,49.1,47.5,0.1,-1.1,-0.5,2024-2025 Premier League
Everton,26,38.0,39,404,139,34.4,10.63,3.66,0.09,0.27,16.8,11,2,2,41.8,40.2,0.1,-2.8,-3.2,26,38.0,44,478,161,33.7,12.58,4.24,0.09,0.27,16.6,16,0,2,46.2,44.6,0.1,-2.2,-0.6,2024-2025 Premier League
Fulham,26,38.0,53,516,167,32.4,13.58,4.39,0.1,0.3,16.4,10,3,4,49.0,45.9,0.09,4.0,4.1,26,38.0,52,429,155,36.1,11.29,4.08,0.11,0.32,16.2,17,3,4,47.2,44.1,0.11,4.8,4.9,2024-2025 Premier League
Ipswich Town,32,38.0,35,374,120,32.1,9.84,3.16,0.09,0.28,17.7,10,2,2,34.4,32.8,0.09,0.6,0.2,32,38.0,80,601,204,33.9,15.82,5.37,0.12,0.36,16.4,14,6,6,72.7,68.3,0.12,7.3,5.7,2024-2025 Premier League
Leicester City,32,38.0,33,332,105,31.6,8.74,2.76,0.09,0.3,17.3,8,2,3,32.6,30.4,0.09,0.4,0.6,32,38.0,77,639,205,32.1,16.82,5.39,0.12,0.36,16.0,21,3,4,71.9,68.8,0.11,5.1,5.2,2024-2025 Premier League
Liverpool,24,38.0,85,639,215,33.6,16.82,5.66,0.12,0.35,15.9,11,9,9,82.2,75.2,0.12,2.8,0.8,24,38.0,39,385,136,35.3,10.13,3.58,0.1,0.28,17.6,12,1,2,38.6,36.9,0.1,0.4,1.1,2024-2025 Premier League
Manchester City,30,38.0,71,603,208,34.5,15.87,5.47,0.11,0.33,16.9,21,3,4,68.1,64.9,0.11,2.9,3.1,30,38.0,42,351,124,35.3,9.24,3.26,0.11,0.31,15.4,5,4,4,47.7,44.6,0.13,-5.7,-6.6,2024-2025 Premier League
Manchester Utd,31,38.0,42,524,168,32.1,13.79,4.42,0.07,0.23,17.4,15,4,4,52.6,49.4,0.1,-10.6,-11.4,31,38.0,52,411,145,35.3,10.82,3.82,0.12,0.34,16.5,14,3,4,53.8,50.8,0.13,-1.8,-1.8,2024-2025 Premier League
Newcastle Utd,24,38.0,66,519,163,31.4,13.66,4.29,0.12,0.37,15.9,14,5,6,63.8,59.5,0.12,2.2,1.5,24,38.0,45,471,159,33.8,12.39,4.18,0.09,0.28,16.7,7,1,2,45.5,44.0,0.1,-0.5,0.0,2024-2025 Premier League
Nott'ham Forest,23,38.0,57,460,162,35.2,12.11,4.26,0.12,0.33,17.5,15,3,3,45.5,43.2,0.1,11.5,10.8,23,38.0,46,528,162,30.7,13.89,4.26,0.08,0.27,16.8,11,3,3,48.9,46.5,0.09,-2.9,-3.5,2024-2025 Premier League
Southampton,36,38.0,25,341,106,31.1,8.97,2.79,0.07,0.24,16.3,7,0,2,32.7,30.9,0.09,-7.7,-5.9,36,38.0,86,672,236,35.1,17.68,6.21,0.12,0.33,16.3,18,7,9,84.8,77.9,0.12,1.2,1.1,2024-2025 Premier League
Tottenham,31,38.0,61,493,177,35.9,12.97,4.66,0.12,0.33,16.0,13,3,4,58.8,55.7,0.12,2.2,2.3,31,38.0,61,519,177,34.1,13.66,4.66,0.11,0.33,15.8,8,3,3,63.3,60.9,0.12,-2.3,-2.9,2024-2025 Premier League
West Ham,27,38.0,43,473,137,29.0,12.45,3.61,0.08,0.29,16.3,14,3,3,47.0,44.7,0.1,-4.0,-4.7,27,38.0,59,580,183,31.6,15.26,4.82,0.1,0.31,16.9,18,3,3,59.7,57.4,0.1,-0.7,-1.4,2024-2025 Premier League
Wolves,32,38.0,53,431,155,36.0,11.34,4.08,0.12,0.34,18.1,18,0,0,43.7,43.7,0.1,9.3,9.3,32,38.0,66,464,159,34.3,12.21,4.18,0.13,0.37,16.5,19,7,9,58.1,51.0,0.11,7.9,8.0,2024-2025 Premier League
Atalanta,32,38.0,76,538,181,33.6,14.16,4.76,0.13,0.39,15.0,5,5,7,65.0,59.5,0.11,11.0,11.5,32,38.0,35,403,145,36.0,10.61,3.82,0.08,0.23,18.3,11,2,2,38.6,37.1,0.1,-3.6,-4.1,2024-2025 Serie A
Bologna,30,38.0,56,505,166,32.9,13.29,4.37,0.1,0.3,17.5,18,6,7,49.3,43.8,0.09,6.7,6.2,30,38.0,45,317,103,32.5,8.34,2.71,0.14,0.42,17.3,11,2,3,36.7,34.3,0.11,8.3,8.7,2024-2025 Serie A
Cagliari,28,38.0,38,421,115,27.3,11.08,3.03,0.08,0.3,16.0,10,3,3,42.7,40.3,0.1,-4.7,-5.3,28,38.0,56,497,147,29.6,13.08,3.87,0.1,0.34,17.7,17,6,6,55.3,51.1,0.11,0.7,-1.1,2024-2025 Serie A
Como,38,38.0,44,519,176,33.9,13.66,4.63,0.08,0.25,17.9,17,0,2,45.4,43.9,0.09,-1.4,0.1,38,38.0,52,376,136,36.2,9.89,3.58,0.12,0.33,17.5,22,7,7,43.0,37.6,0.1,9.0,7.4,2024-2025 Serie A
Empoli,34,38.0,31,367,107,29.2,9.66,2.82,0.08,0.27,19.1,21,2,3,32.5,30.1,0.08,-1.5,-1.1,34,38.0,58,513,156,30.4,13.5,4.11,0.11,0.37,17.3,17,1,3,50.1,47.7,0.09,7.9,9.3,2024-2025 Serie A
Fiorentina,34,38.0,55,429,160,37.3,11.29,4.21,0.11,0.31,18.4,20,6,8,48.9,42.6,0.1,6.1,6.4,34,38.0,40,429,143,33.3,11.29,3.76,0.09,0.27,17.8,14,1,3,42.8,40.4,0.09,-2.8,-1.4,2024-2025 Serie A
Genoa,37,38.0,35,383,117,30.5,10.08,3.08,0.09,0.3,17.7,16,0,2,37.2,35.5,0.09,-2.2,-0.5,37,38.0,46,472,150,31.8,12.42,3.95,0.08,0.27,17.9,15,6,8,47.2,41.1,0.09,-1.2,-1.1,2024-2025 Serie A
Hellas Verona,32,38.0,31,372,95,25.5,9.79,2.5,0.08,0.31,17.7,12,2,2,33.8,32.3,0.09,-2.8,-3.3,32,38.0,65,501,169,33.7,13.18,4.45,0.13,0.37,18.4,23,2,4,53.4,50.3,0.1,11.6,12.7,2024-2025 Serie A
Inter,26,38.0,76,554,177,31.9,14.58,4.66,0.12,0.38,16.6,17,8,9,66.9,60.1,0.11,9.1,7.9,26,38.0,31,385,120,31.2,10.13,3.16,0.07,0.23,18.1,11,3,4,36.4,33.1,0.09,-5.4,-5.1,2024-2025 Serie A
Juventus,29,38.0,56,509,175,34.4,13.39,4.61,0.1,0.29,17.3,11,6,6,51.0,46.3,0.09,5.0,3.7,29,38.0,35,394,114,28.9,10.37,3.0,0.08,0.26,18.0,13,5,5,34.0,30.1,0.08,1.0,-0.1,2024-2025 Serie A
