Squad,Performance CrdY_for,Performance CrdR_for,Performance 2CrdY_for,Performance Fls_for,Performance Fld_for,Performance Off_for,Performance Crs_for,Performance Int_for,Performance TklW_for,Performance PKwon_for,Performance PKcon_for,Performance OG_for,Performance Recov_for,Aerial Duels Won_for,Aerial Duels Lost_for,Performance CrdY_against,Performance CrdR_against,Performance 2CrdY_against,Performance Fls_against,Performance Fld_against,Performance Off_against,Performance Crs_against,Performance Int_against,Performance TklW_against,Performance PKwon_against,Performance PKcon_against,Performance OG_against,Performance Recov_against,Aerial Duels Won_against,Aerial Duels Lost_against,Season
Alavés,107,5,2,623,476,77,798,309,459,8,11,2,1499,639,694,107,5,0,504,590,64,722,287,328,6,11,0,1420,694,639,2024-2025
Athletic Club,64,3,1,483,386,68,772,344,345,5,5,1,1735,496,514,83,4,2,406,462,84,592,361,471,5,6,1,1624,514,496,2024-2025
Atlético Madrid,75,3,0,412,427,72,675,260,375,4,5,2,1563,445,420,68,0,0,450,384,37,656,369,365,3,7,0,1547,420,445,2024-2025
Barcelona,63,3,1,368,465,65,709,227,332,8,4,0,1673,380,339,89,2,0,479,351,181,482,381,405,4,8,3,1499,339,380,2024-2025
Betis,75,4,0,433,524,56,627,356,397,9,4,1,1679,464,478,102,7,3,552,408,92,683,332,459,3,10,2,1618,478,464,2024-2025
Celta Vigo,84,6,3,462,436,67,501,282,340,6,4,2,1532,375,439,88,7,2,455,447,75,667,390,382,2,9,1,1698,439,375,2024-2025
Espanyol,88,1,0,498,432,61,619,315,397,5,6,1,1364,493,504,66,2,0,457,469,53,858,292,309,6,5,2,1576,504,493,2024-2025
Getafe,110,7,3,602,506,90,721,276,393,3,9,0,1436,771,738,101,5,1,529,561,85,626,282,391,7,5,0,1419,738,771,2024-2025
Girona,76,2,0,437,439,79,804,279,348,4,6,1,1443,321,344,80,4,1,460,426,44,607,277,348,6,5,1,1414,344,321,2024-2025
Las Palmas,110,4,2,452,462,59,674,321,370,1,10,3,1454,529,561,90,7,2,489,431,99,740,307,360,9,4,2,1625,561,529,2024-2025
Leganés,82,6,0,503,470,84,495,332,384,7,8,3,1500,472,614,74,1,0,492,475,47,879,279,351,6,7,1,1568,614,472,2024-2025
Mallorca,81,6,1,466,432,78,735,326,361,4,3,1,1523,672,609,70,2,0,451,440,41,821,272,402,1,5,1,1546,609,672,2024-2025
Osasuna,88,0,0,508,379,66,819,266,365,9,7,1,1461,617,515,81,6,2,405,485,103,704,250,385,7,9,2,1532,515,617,2024-2025
Rayo Vallecano,96,3,0,522,391,79,769,334,396,1,8,1,1688,485,540,78,4,1,422,499,50,678,314,398,7,1,3,1600,540,485,2024-2025
Real Madrid,57,4,0,332,518,85,578,331,359,11,3,1,1541,334,267,89,6,1,534,316,43,554,333,408,3,14,0,1467,267,334,2024-2025
Real Sociedad,85,4,0,501,417,82,740,283,401,3,7,0,1569,578,606,82,0,0,446,479,85,610,292,377,4,4,1,1530,606,578,2024-2025
Sevilla,98,8,3,494,402,70,612,367,390,1,6,1,1551,531,442,93,4,0,433,469,62,661,283,375,4,3,3,1409,442,531,2024-2025
Valencia,86,1,0,442,446,72,763,302,415,4,9,3,1550,449,540,86,3,1,474,418,107,691,293,388,6,5,1,1589,540,449,2024-2025
Valladolid,91,5,2,459,486,67,671,311,357,3,7,1,1355,544,524,86,3,2,505,434,60,743,211,329,6,5,0,1489,524,544,2024-2025
Villarreal,96,4,1,442,463,77,674,281,396,6,8,1,1547,492,399,99,7,1,496,413,42,782,297,349,7,7,2,1493,399,492,2024-2025
Alavés,84,1,0,481,449,69,830,279,347,7,8,2,1807,574,625,102,7,3,476,451,60,686,233,340,6,7,3,1752,625,574,2023-2024
Almería,93,6,4,478,493,75,659,313,372,2,9,0,1716,557,587,72,4,0,509,450,73,828,280,364,6,2,1,1780,587,557,2023-2024
Athletic Club,80,5,3,511,428,78,845,278,362,4,5,4,2010,541,525,82,3,2,453,487,91,626,370,428,2,5,2,2051,525,541,2023-2024
Atlético Madrid,89,5,3,438,447,123,621,256,399,4,2,0,1896,422,392,79,2,0,471,411,37,764,298,318,1,6,2,1846,392,422,2023-2024
Barcelona,87,2,1,412,469,99,651,257,363,6,2,0,1789,453,399,98,8,2,491,401,117,574,318,392,2,7,3,1678,399,453,2023-2024
Betis,87,3,1,429,497,73,636,345,440,1,8,3,1921,479,500,97,5,3,521,411,106,712,314,464,7,3,2,1864,500,479,2023-2024
Cádiz,107,7,0,576,498,90,791,298,398,2,2,1,1831,632,673,97,4,2,525,550,65,758,243,370,1,3,1,1871,673,632,2023-2024
