Squad,Total Cmp_for,Total Att_for,Total TotDist_for,Total PrgDist_for,Short Cmp_for,Short Att_for,Medium Cmp_for,Medium Att_for,Long Cmp_for,Long Att_for,Unnamed: 17_level_0 Ast_for,Unnamed: 18_level_0 xAG_for,Expected xA_for,Unnamed: 21_level_0 KP_for,Unnamed: 22_level_0 1/3_for,Unnamed: 23_level_0 PPA_for,Unnamed: 24_level_0 CrsPA_for,Unnamed: 25_level_0 PrgP_for,Total Cmp_against,Total Att_against,Total TotDist_against,Total PrgDist_against,Short Cmp_against,Short Att_against,Medium Cmp_against,Medium Att_against,Long Cmp_against,Long Att_against,Unnamed: 17_level_0 Ast_against,Unnamed: 18_level_0 xAG_against,Expected xA_against,Unnamed: 21_level_0 KP_against,Unnamed: 22_level_0 1/3_against,Unnamed: 23_level_0 PPA_against,Unnamed: 24_level_0 CrsPA_against,Unnamed: 25_level_0 PrgP_against,Season
Alavés,10534,14746,199550,84871,4546,5494,4441,5542,1312,2838,20,25.4,25.9,284,963,229,99,1160,14251,18138,260653,94982,6140,6970,6230,7338,1563,2925,28,33.3,32.3,306,1034,245,97,1323,2024-2025
Athletic Club,13665,17375,253362,90647,5552,6396,6520,7522,1395,2733,40,36.7,33.1,351,1283,274,90,1579,14953,18891,269493,95206,6402,7284,6730,7799,1481,2854,11,22.9,21.5,242,911,205,69,1177,2024-2025
Atlético Madrid,17826,21418,295213,100382,8814,9752,6993,7984,1486,2519,51,47.9,45.3,348,1233,365,96,1559,16246,19538,291315,95937,7097,7859,7307,8119,1542,2749,17,23.9,29.8,286,1462,282,84,1543,2024-2025
Barcelona,22321,25721,371914,116385,10452,11341,9674,10643,1577,2424,72,67.5,64.7,500,2020,479,77,2212,8511,11890,161116,69199,3752,4435,3313,4086,1208,2491,31,32.6,21.8,222,595,166,59,780,2024-2025
Betis,15770,19284,264738,91436,7583,8423,6318,7291,1341,2443,37,37.5,34.8,417,1127,329,75,1486,13910,17627,246914,92271,6224,7089,6031,7022,1341,2578,32,38.4,32.4,309,1110,251,69,1411,2024-2025
Celta Vigo,17798,21253,312877,104182,7549,8367,8368,9325,1480,2521,40,38.4,36.9,339,1424,300,53,1659,14946,18445,266539,89590,6617,7382,6584,7411,1433,2809,45,33.3,31.9,308,1103,243,85,1222,2024-2025
Espanyol,10580,13996,199624,80026,4245,4942,4814,5678,1297,2629,27,24.5,23.4,256,772,204,81,1000,17987,21580,311271,106771,8341,9165,7778,8804,1534,2689,39,39.6,41.3,431,1501,381,103,1821,2024-2025
Getafe,8695,12922,169125,74933,3711,4579,3515,4628,1250,2951,21,23.9,23.8,296,958,226,104,981,13966,18284,250679,92537,6043,6962,6205,7399,1371,2889,21,31.3,28.0,259,997,227,66,1284,2024-2025
Girona,18273,21401,322614,100730,8002,8697,8458,9319,1526,2565,31,31.6,37.4,308,1494,302,87,1691,13798,16818,243267,83228,6108,6712,6052,6873,1281,2411,46,36.5,33.6,348,1070,254,74,1183,2024-2025
Las Palmas,14352,18209,254010,92291,6396,7255,6214,7269,1395,2776,27,26.3,26.5,304,1059,246,79,1210,14104,17854,247245,90659,6398,7238,6069,7135,1278,2493,43,47.5,42.7,387,1190,306,96,1470,2024-2025
