Season,Squad,Starts Mn/Start_for,Subs Subs_for,Subs Mn/Sub_for,Subs unSub_for,Team Success PPM_for,Team Success onG_for,Team Success onGA_for,Team Success +/-_for,Team Success (xG) onxG_for,Team Success (xG) onxGA_for,Team Success (xG) xG+/-_for,Subs Subs_against,Subs Mn/Sub_against,Subs unSub_against,Team Success PPM_against
2024-2025,Alavés,82,161,21,275,1.11,38,48,-10,42.8,47.0,-4.2,178,24,251,1.58
2024-2025,Athletic Club,80,189,23,253,1.84,54,29,25,53.0,37.8,15.2,177,21,240,0.82
2024-2025,Atlético Madrid,78,188,27,242,2.0,68,30,38,64.6,33.4,31.2,173,20,257,0.74
2024-2025,Barcelona,80,180,22,254,2.32,102,39,63,91.5,41.9,49.5,180,22,246,0.58
2024-2025,Betis,80,179,22,230,1.58,57,50,7,54.7,50.6,4.1,181,21,246,1.11
2024-2025,Celta Vigo,79,189,23,265,1.45,59,57,2,54.2,43.4,10.9,180,23,250,1.37
2024-2025,Espanyol,81,180,21,270,1.11,40,51,-11,34.4,53.8,-19.4,174,21,256,1.66
2024-2025,Getafe,81,164,21,247,1.11,34,39,-5,36.8,46.2,-9.4,175,21,251,1.66
2024-2025,Girona,81,172,22,249,1.08,44,60,-16,42.5,50.4,-8.0,176,20,248,1.71
2024-2025,Las Palmas,80,189,21,246,0.84,40,61,-21,36.3,66.8,-30.5,178,21,252,1.95
2024-2025,Leganés,81,167,21,250,1.05,39,56,-17,36.0,59.4,-23.4,174,24,257,1.61
2024-2025,Mallorca,82,179,18,260,1.26,35,44,-9,38.8,46.8,-8.1,171,21,252,1.5
2024-2025,Osasuna,82,183,18,256,1.37,48,52,-4,44.0,53.7,-9.6,172,22,263,1.21
2024-2025,Rayo Vallecano,80,188,22,256,1.37,41,45,-4,45.4,49.0,-3.5,172,22,253,1.29
2024-2025,Real Madrid,83,144,18,213,2.21,78,38,40,75.3,42.8,32.5,181,20,244,0.63
2024-2025,Real Sociedad,79,181,25,268,1.21,35,46,-11,42.5,43.9,-1.5,170,21,251,1.61
2024-2025,Sevilla,82,174,18,266,1.08,42,55,-13,42.7,47.4,-4.7,183,20,243,1.63
2024-2025,Valencia,82,179,19,264,1.21,44,54,-10,43.2,51.9,-8.6,180,22,248,1.45
2024-2025,Valladolid,79,177,25,264,0.42,26,90,-64,34.6,67.6,-33.0,182,21,248,2.47
2024-2025,Villarreal,81,177,21,179,1.84,71,51,20,64.8,44.4,20.4,183,23,251,0.89
2023-2024,Alavés,82,187,18,258,1.21,36,46,-10,46.2,44.7,1.5,178,22,237,1.53
2023-2024,Almería,81,176,22,257,0.55,43,75,-32,48.7,61.6,-12.9,181,22,237,2.13
2023-2024,Athletic Club,80,188,22,255,1.79,61,37,24,52.7,41.3,11.4,167,23,244,0.92
2023-2024,Atlético Madrid,78,183,26,198,2.0,70,43,27,62.4,39.5,23.0,174,20,235,0.89
2023-2024,Barcelona,81,161,23,230,2.24,79,44,35,77.6,41.6,35.9,174,21,243,0.58
2023-2024,Betis,80,164,24,237,1.5,48,45,3,43.9,50.2,-6.3,177,20,236,1.11
2023-2024,Cádiz,80,186,21,257,0.87,26,55,-29,36.0,52.3,-16.3,181,20,236,1.74
2023-2024,Celta Vigo,82,167,19,277,1.08,46,57,-11,50.7,54.6,-3.8,179,22,238,1.63
2023-2024,Getafe,80,171,22,195,1.13,42,54,-12,45.7,53.8,-8.1,177,19,236,1.53
2023-2024,Girona,83,167,19,221,2.13,85,46,39,70.8,54.3,16.5,180,21,237,0.71
2023-2024,Granada,82,180,19,244,0.55,38,79,-41,42.6,64.2,-21.6,174,22,238,2.21
2023-2024,Las Palmas,81,177,20,266,1.05,33,47,-14,33.2,56.6,-23.5,183,22,238,1.68
2023-2024,Mallorca,80,186,22,263,1.05,33,44,-11,40.5,42.9,-2.5,169,20,254,1.53
2023-2024,Osasuna,82,182,19,211,1.18,45,56,-11,40.5,49.9,-9.4,170,21,244,1.58
2023-2024,Rayo Vallecano,81,186,21,255,1.0,29,48,-19,42.3,44.6,-2.3,178,21,241,1.63
2023-2024,Real Madrid,83,164,18,192,2.5,87,26,61,68.8,35.4,33.4,177,23,238,0.29
2023-2024,Real Sociedad,80,178,23,271,1.58,51,39,12,44.9,41.3,3.6,175,20,237,1.11
2023-2024,Sevilla,82,168,20,274,1.08,48,54,-6,44.9,55.9,-11.0,175,18,237,1.63
2023-2024,Valencia,81,179,20,229,1.29,40,45,-5,43.1,47.6,-4.5,181,22,237,1.45
2023-2024,Villarreal,80,178,22,186,1.39,65,65,0,55.6,58.7,-3.2,178,21,233,1.32
2022-2023,Almería,81,187,21,254,1.08,49,65,-16,45.5,62.5,-17.0,173,22,244,1.71
2022-2023,Athletic Club,81,182,19,248,1.34,47,43,4,54.2,36.9,17.3,178,22,232,1.42
2022-2023,Atlético Madrid,81,168,22,201,2.03,70,33,37,61.9,41.1,20.8,176,21,244,0.76
2022-2023,Barcelona,81,168,23,227,2.32,70,20,50,75.5,33.2,42.3,179,23,244,0.58
2022-2023,Betis,81,165,21,254,1.58,46,41,5,51.3,50.0,1.3,174,21,244,1.18
2022-2023,Cádiz,79,183,24,244,1.11,30,53,-23,41.5,61.6,-20.1,169,20,254,1.58
2022-2023,Celta Vigo,81,161,22,266,1.13,43,53,-10,42.6,45.4,-2.8,174,22,241,1.61
2022-2023,Elche,79,177,24,242,0.66,30,67,-37,37.5,70.0,-32.6,179,22,225,2.08
2022-2023,Espanyol,81,169,21,238,0.97,52,69,-17,48.3,59.8,-11.5,171,19,250,1.68
2022-2023,Getafe,82,165,20,269,1.11,34,45,-11,36.7,46.0,-9.4,169,23,255,1.58
2022-2023,Girona,81,179,21,228,1.29,58,55,3,50.6,54.9,-4.3,168,21,262,1.45
2022-2023,Mallorca,82,165,19,280,1.32,37,43,-6,35.2,46.4,-11.2,174,20,233,1.47
2022-2023,Osasuna,81,183,20,198,1.39,37,42,-5,39.8,45.7,-5.9,175,21,242,1.39
2022-2023,Rayo Vallecano,82,183,18,267,1.29,45,53,-8,43.9,50.3,-6.4,168,21,255,1.45
2022-2023,Real Madrid,83,151,18,248,2.05,75,36,39,75.5,38.9,36.6,178,20,233,0.79
2022-2023,Real Sociedad,81,178,22,267,1.87,51,35,16,52.9,33.0,19.8,170,23,238,0.92
2022-2023,Sevilla,78,177,26,236,1.29,47,54,-7,46.3,54.2,-7.9,177,21,245,1.45
2022-2023,Valencia,81,176,22,271,1.11,42,45,-3,49.3,43.5,5.8,179,24,238,1.66
2022-2023,Valladolid,78,189,27,225,1.05,33,63,-30,38.5,65.2,-26.6,173,21,231,1.76
2022-2023,Villarreal,81,172,21,204,1.68,59,40,19,61.6,49.9,11.8,174,20,257,1.13
2021-2022,Alavés,82,167,20,277,0.82,31,65,-34,37.3,57.0,-19.7,180,20,234,2.0
2021-2022,Athletic Club,81,180,21,209,1.45,43,36,7,49.6,38.4,11.3,168,20,255,1.21
2021-2022,Atlético Madrid,79,170,26,159,1.87,65,43,22,54.4,33.4,21.1,171,20,249,0.92
2021-2022,Barcelona,82,159,20,264,1.92,68,38,30,63.4,34.4,29.0,175,22,249,0.82
2021-2022,Betis,82,161,21,266,1.71,62,40,22,53.5,43.4,10.1,172,23,245,1.08
2021-2022,Cádiz,81,172,22,270,1.03,35,51,-16,39.5,48.3,-8.7,166,20,251,1.58
2021-2022,Celta Vigo,82,155,21,222,1.21,43,43,0,43.1,45.7,-2.6,178,20,241,1.53
2021-2022,Elche,80,179,22,255,1.11,40,52,-12,33.7,59.1,-25.4,179,20,241,1.66
2021-2022,Espanyol,81,181,21,269,1.11,40,53,-13,36.7,51.2,-14.5,169,21,252,1.58
2021-2022,Getafe,83,153,19,251,1.03,33,41,-8,29.3,38.6,-9.3,168,19,252,1.58
2021-2022,Granada,80,175,22,243,1.0,44,61,-17,39.0,61.2,-22.2,178,20,231,1.63
2021-2022,Levante,81,180,21,261,0.92,51,76,-25,55.1,55.0,0.1,177,19,245,1.79
2021-2022,Mallorca,82,178,20,273,1.03,36,63,-27,38.8,49.3,-10.5,175,23,246,1.74
2021-2022,Osasuna,83,175,17,269,1.24,37,51,-14,36.7,46.3,-9.6,170,21,243,1.47
2021-2022,Rayo Vallecano,81,178,20,224,1.11,39,50,-11,42.8,48.4,-5.6,170,21,245,1.66
2021-2022,Real Madrid,83,163,19,248,2.26,80,31,49,71.7,43.9,27.8,177,22,246,0.53
2021-2022,Real Sociedad,81,179,19,237,1.63,40,37,3,51.5,38.7,12.8,166,19,262,1.08
2021-2022,Sevilla,79,179,25,262,1.84,53,30,23,42.4,36.9,5.4,165,22,255,0.74
2021-2022,Valencia,81,179,20,246,1.26,48,53,-5,39.0,47.7,-8.7,170,22,243,1.34
2021-2022,Villarreal,81,183,21,234,1.55,63,37,26,64.2,44.8,19.4,172,21,254,1.16
2020-2021,Alavés,82,163,20,254,1.0,36,57,-21,42.6,49.9,-7.3,163,20,241,1.71
2020-2021,Athletic Club,81,177,22,242,1.21,46,42,4,42.8,37.5,5.3,163,21,240,1.45
2020-2021,Atlético Madrid,82,148,23,231,2.26,67,25,42,52.8,37.1,15.7,157,20,251,0.53
2020-2021,Barcelona,82,158,22,260,2.08,85,38,47,73.5,40.8,32.7,166,23,249,0.74
2020-2021,Betis,82,155,21,276,1.61,50,50,0,49.1,46.8,2.3,165,23,246,1.13
2020-2021,Cádiz,80,180,23,262,1.16,36,58,-22,34.7,55.4,-20.7,166,22,246,1.55
2020-2021,Celta Vigo,83,137,20,238,1.39,55,57,-2,50.4,51.0,-0.6,158,24,250,1.32
2020-2021,Eibar,82,149,21,266,0.79,29,52,-23,45.2,45.7,-0.5,160,20,243,1.89
