Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 Poss_for,Touches Def Pen_for,Touches Def 3rd_for,Touches Mid 3rd_for,Touches Att 3rd_for,Touches Att Pen_for,Take-Ons Att_for,Take-Ons Succ_for,Take-Ons Succ%_for,Take-Ons Tkld_for,Take-Ons Tkld%_for,Carries Carries_for,Carries PrgC_for,Carries 1/3_for,Carries CPA_for,Carries Mis_for,Carries Dis_for,Receiving Rec_for,Receiving PrgR_for,Unnamed: 2_level_0 Poss_against,Touches Touches_against,Touches Def Pen_against,Touches Def 3rd_against,Touches Mid 3rd_against,Touches Att 3rd_against,Touches Att Pen_against,Take-Ons Att_against,Take-Ons Succ_against,Take-Ons Succ%_against,Take-Ons Tkld_against,Take-Ons Tkld%_against,Carries Carries_against,Carries PrgC_against,Carries 1/3_against,Carries CPA_against,Carries Mis_against,Carries Dis_against,Receiving Rec_against,Receiving PrgR_against
29,45.3,1876,5802,8634,4809,691,478,185,38.7,245,51.3,9128,449,346,90,598,307,10419,1148,54.7,22689,2367,7584,10446,4876,659,810,378,46.7,348,43.0,11958,573,440,137,645,389,14127,1309
31,48.4,1884,6255,10334,5382,760,791,328,41.5,388,49.1,11368,682,444,188,597,401,13522,1561,51.6,23225,2765,9110,10141,4156,588,633,283,44.7,296,46.8,12464,468,345,111,608,281,14809,1168
24,52.6,2335,8013,11493,6074,860,639,276,43.2,305,47.7,15829,760,579,167,541,275,17707,1553,47.4,23851,2405,6916,11439,5686,619,694,308,44.4,319,46.0,13506,581,479,100,577,300,16092,1533
28,68.3,1857,6516,14966,8535,1208,909,455,50.1,375,41.3,18077,860,667,238,579,316,22187,2201,31.7,16221,2896,7293,6081,3011,566,572,249,43.5,271,47.4,7646,406,246,147,545,267,8434,769
36,52.4,2253,7466,10545,6088,921,722,312,43.2,344,47.6,13910,679,532,228,676,378,15627,1468,47.6,22048,2459,7355,9895,5002,750,702,302,43.0,342,48.7,11838,611,421,165,564,303,13770,1394
30,53.6,2232,7618,12133,5574,831,628,254,40.4,312,49.7,15010,709,500,218,558,296,17691,1649,46.4,22435,2437,7311,10538,4807,676,638,290,45.5,286,44.8,12857,564,463,144,527,269,14814,1209
27,39.8,2655,7408,7625,3582,548,546,221,40.5,266,48.7,9361,497,359,109,561,241,10490,991,60.2,25692,1881,6559,12682,6675,1016,686,300,43.7,310,45.2,15118,838,604,195,585,330,17827,1808
30,41.8,1770,5183,7998,4646,675,631,265,42.0,312,49.4,7825,368,311,105,719,357,8611,966,58.2,22942,2431,8144,10481,4497,630,740,332,44.9,333,45.0,11645,499,343,123,641,312,13820,1269
30,56.3,2516,7829,11533,5912,795,634,291,45.9,276,43.5,15275,765,553,180,522,312,18040,1684,43.7,20788,2333,7034,8948,5006,779,620,265,42.7,292,47.1,11640,582,402,202,476,277,13689,1174
34,50.7,2561,7809,10353,4511,669,571,239,41.9,288,50.4,11365,499,346,113,547,275,14222,1197,49.3,22205,2110,6608,10200,5612,931,654,285,43.6,307,46.9,11832,684,471,197,638,312,13983,1457
26,42.6,2448,7029,8720,3764,482,627,302,48.2,263,41.9,9782,417,364,105,575,314,11128,1023,57.4,24252,1859,6747,11160,6562,957,683,304,44.5,295,43.2,13277,754,561,191,609,338,16152,1661
28,46.8,2598,7168,9299,4391,635,583,255,43.7,260,44.6,10945,479,409,85,567,377,12481,1169,53.2,22970,2030,6645,10519,6025,901,549,243,44.3,257,46.8,12758,693,462,189,577,327,14846,1572
25,46.1,2263,6318,8904,5007,737,592,260,43.9,279,47.1,10439,567,424,134,532,293,12053,1204,53.9,23180,2310,7397,10374,5622,821,671,307,45.8,311,46.3,12868,647,491,168,675,303,15079,1535
26,51.7,2557,7799,9339,5455,711,647,286,44.2,304,47.0,12068,589,431,143,630,327,13833,1346,48.3,21249,2413,7416,9160,4906,774,740,355,48.0,309,41.8,10729,613,434,161,630,318,12661,1318
30,60.4,2392,7662,12794,8048,1181,878,412,46.9,384,43.7,17893,983,696,364,528,290,21223,1953,39.6,19910,2621,7172,8356,4578,643,521,222,42.6,264,50.7,11509,648,470,160,476,322,12876,1155
31,53.8,2275,7208,10770,5243,747,659,295,44.8,307,46.6,12533,645,417,163,603,297,14716,1325,46.2,20816,2394,7200,8796,5046,752,643,271,42.1,308,47.9,10345,538,384,168,618,341,12516,1128
35,50.5,2404,8057,9800,4813,669,720,339,47.1,320,44.4,11147,594,397,161,624,331,14288,1186,49.5,22206,2259,7100,10193,5095,670,637,251,39.4,312,49.0,12283,551,423,139,527,336,14188,1249
32,48.4,2290,7206,9840,5033,653,625,236,37.8,321,51.4,11347,572,414,122,535,340,13802,1328,51.6,23232,2269,7471,10614,5323,743,633,252,39.8,321,50.7,12610,589,414,156,581,326,15181,1403
