Unnamed: 1_level_0 # Pl_for,Playing Time Min_for,Performance GA_for,Performance SoTA_for,Performance Saves_for,Performance Save%_for,Performance W_for,Performance D_for,Performance L_for,Performance CS_for,Penalty Kicks PKatt_for,Penalty Kicks PKA_for,Penalty Kicks PKsv_for,Penalty Kicks PKm_for,Penalty Kicks Save%_for,Playing Time Min_against,Performance GA_against,Performance SoTA_against,Performance Saves_against,Performance Save%_against,Performance CS_against,Penalty Kicks PKatt_against,Penalty Kicks PKA_against,Penalty Kicks PKsv_against,Penalty Kicks PKm_against,Penalty Kicks Save%_against
3,3419,48,132,86,72.0,10,12,16,9,11,11,0,0,0.0,3420,38,133,94,78.2,13,11,9,1,1,10.0
3,3417,29,113,83,77.0,19,13,6,15,5,3,2,0,40.0,3420,54,154,98,66.9,9,6,3,3,0,50.0
2,3420,30,116,88,78.4,22,10,6,17,5,5,0,0,0.0,3420,68,180,112,65.6,6,7,6,0,1,0.0
3,3420,39,108,69,67.6,28,4,6,13,4,4,0,0,0.0,3420,102,247,148,61.5,2,8,7,0,1,0.0
3,3420,50,141,92,67.4,16,12,10,7,4,4,0,0,0.0,3420,57,186,128,73.1,5,10,7,3,0,30.0
2,3420,57,145,89,62.8,16,7,15,8,4,3,1,0,25.0,3420,59,176,117,71.0,4,9,8,1,0,11.1
1,3420,51,192,140,75.5,11,9,18,8,6,4,2,0,33.3,3420,40,103,65,66.0,11,5,5,0,0,0.0
1,3420,39,126,86,75.4,11,9,18,9,9,8,1,0,11.1,3420,34,127,93,77.2,16,5,5,0,0,0.0
3,3420,60,164,102,65.2,11,8,19,8,6,3,3,0,50.0,3420,44,139,95,71.2,11,5,4,1,0,20.0
2,3420,61,182,120,69.2,8,8,22,4,10,5,4,1,44.4,3420,40,138,99,73.2,11,4,3,1,0,25.0
2,3420,56,175,122,72.0,9,13,16,11,8,7,0,1,0.0,3420,39,117,77,70.9,14,7,5,2,0,28.6
2,3420,44,165,122,75.2,13,9,16,9,3,3,0,0,0.0,3420,35,112,77,72.3,14,5,4,1,0,20.0
2,3420,52,187,136,75.9,12,16,10,9,7,7,0,0,0.0,3420,48,132,86,70.5,8,9,9,0,0,0.0
2,3420,45,153,107,74.5,13,13,12,10,8,6,2,0,25.0,3420,41,163,124,74.8,9,1,0,1,0,100.0
3,3420,38,126,89,72.2,26,6,6,15,3,3,0,0,0.0,3420,78,242,161,71.9,2,14,10,3,1,23.1
2,3420,46,142,94,71.1,13,7,18,13,7,5,2,0,28.6,3420,35,126,92,75.4,19,4,4,0,0,0.0
2,3420,55,148,93,66.2,10,11,17,10,6,5,1,0,16.7,3417,42,151,111,73.5,9,3,2,1,0,33.3
2,3420,54,148,95,67.6,11,13,14,8,9,6,2,1,25.0,3420,44,121,78,67.8,10,5,5,0,0,0.0
3,3420,90,204,115,59.3,4,4,30,5,7,7,0,0,0.0,3420,26,102,76,79.4,16,5,5,0,0,0.0
2,3420,51,160,110,72.5,20,10,8,7,8,7,0,1,0.0,3419,71,178,107,62.9,6,7,5,2,0,28.6
2,3420,46,147,103,74.1,12,10,16,11,8,8,0,0,0.0,3417,36,142,106,76.8,15,7,3,3,1,50.0
3,3420,75,202,126,65.8,3,12,23,6,9,6,1,2,14.3,3420,43,165,123,75.2,12,2,2,0,0,0.0
2,3420,37,134,98,73.1,19,11,8,18,5,1,3,1,75.0,3420,61,167,107,65.3,9,5,3,1,1,25.0
1,3420,43,144,101,70.8,24,4,10,13,2,1,0,1,0.0,3417,70,203,134,68.0,8,6,5,1,0,16.7
2,3420,44,141,97,70.2,26,7,5,17,2,2,0,0,0.0,3416,79,226,149,67.7,2,7,6,1,0,14.3
3,3420,45,158,115,75.9,14,15,9,13,8,7,1,0,12.5,3420,48,153,106,69.9,8,3,2,1,0,33.3
2,3420,55,175,121,69.7,6,15,17,10,2,2,0,0,0.0,3420,26,123,98,81.3,18,3,3,0,0,0.0
2,3417,57,164,109,68.9,10,11,17,6,8,6,1,1,14.3,3420,46,156,109,72.4,13,5,3,2,0,40.0
2,3420,54,173,118,71.7,10,13,15,10,7,5,1,1,16.7,3420,42,157,114,77.1,15,7,6,1,0,14.3
1,3420,46,168,121,75.6,25,6,7,12,7,5,1,1,16.7,3420,85,186,101,58.1,7,8,7,1,0,12.5
4,3420,79,203,126,63.5,4,9,25,3,6,5,0,1,0.0,3420,38,129,93,74.4,16,8,5,1,2,16.7
2,3416,47,156,109,73.1,10,10,18,8,9,5,3,1,37.5,3420,33,125,90,76.0,17,5,3,2,0,40.0
3,3420,44,148,104,73.0,8,16,14,10,5,4,1,0,20.0,3420,33,132,99,75.8,15,3,1,0,2,0.0
2,3420,56,152,95,63.8,12,9,17,10,2,1,1,0,50.0,3420,45,129,83,68.2,10,5,4,1,0,20.0
2,3420,48,151,104,68.9,8,14,16,13,2,1,1,0,50.0,3420,29,166,137,86.1,19,6,6,0,0,0.0
3,3420,26,118,93,78.8,29,8,1,21,1,1,0,0,0.0,3420,87,246,159,65.4,2,5,2,2,1,50.0
2,3417,39,135,96,75.6,16,12,10,15,7,6,1,0,14.3,3420,51,151,103,68.9,10,4,4,0,0,0.0
3,3420,54,175,123,72.0,10,11,17,8,5,5,0,0,0.0,3420,48,162,116,71.6,10,2,2,0,0,0.0
3,3420,45,160,114,73.8,13,10,15,13,6,3,3,0,50.0,3420,40,131,92,75.6,13,9,8,0,1,0.0
2,3420,65,214,150,72.4,14,11,13,6,6,6,0,0,0.0,3420,65,169,104,64.5,4,7,5,1,1,16.7
3,3420,65,203,138,70.0,11,8,19,4,6,4,1,1,20.0,3420,49,157,108,70.1,10,3,2,0,1,0.0
2,3420,43,123,83,67.5,14,9,15,11,3,3,0,0,0.0,3420,47,164,116,74.4,16,7,5,2,0,28.6
