Season,Squad,SCA SCA_for,SCA Types PassLive_for,SCA Types PassDead_for,SCA Types TO_for,SCA Types Sh_for,SCA Types Fld_for,SCA Types Def_for,GCA GCA_for,GCA Types PassLive_for,GCA Types PassDead_for,GCA Types TO_for,GCA Types Sh_for,GCA Types Fld_for,GCA Types Def_for,SCA SCA_against,SCA Types PassLive_against,SCA Types PassDead_against,SCA Types TO_against,SCA Types Sh_against,SCA Types Fld_against,SCA Types Def_against,GCA GCA_against,GCA Types PassLive_against,GCA Types PassDead_against,GCA Types TO_against,GCA Types Sh_against,GCA Types Fld_against,GCA Types Def_against
2024-2025,Alavés,690,465,95,26,41,48,15,61,39,3,3,7,9,0,736,496,85,62,39,47,7,81,52,5,8,6,10,0
2024-2025,Athletic Club,832,630,65,52,38,27,20,92,63,8,7,8,6,0,588,408,66,39,34,30,11,48,28,5,2,5,7,1
2024-2025,Atlético Madrid,826,657,49,39,42,24,15,123,100,1,7,7,5,3,678,506,55,45,30,36,6,45,27,4,3,4,7,0
2024-2025,Barcelona,1205,928,60,79,71,53,14,172,127,5,17,10,12,1,510,385,48,23,22,19,13,73,59,3,3,2,4,2
2024-2025,Betis,944,718,62,59,48,40,17,100,72,6,4,9,8,1,735,533,67,46,48,30,11,85,55,7,7,7,7,2
2024-2025,Celta Vigo,789,607,41,42,57,30,12,98,77,1,5,8,7,0,719,532,76,41,41,22,7,92,69,6,7,8,2,0
2024-2025,Espanyol,632,431,73,36,35,45,12,68,41,8,3,5,10,1,1024,757,88,51,61,49,18,92,64,4,11,5,7,1
2024-2025,Getafe,736,483,94,45,37,58,19,56,33,7,1,8,5,2,647,473,68,34,30,36,6,68,49,4,3,5,7,0
2024-2025,Girona,727,562,60,34,37,23,11,77,56,6,2,9,3,1,785,575,61,54,40,33,22,99,72,6,5,9,4,3
2024-2025,Las Palmas,741,543,65,39,39,46,9,68,54,2,2,5,4,1,937,705,69,50,52,46,15,102,79,4,5,6,6,2
2024-2025,Leganés,608,399,57,50,35,51,16,73,48,3,9,4,7,2,1015,737,100,56,65,39,18,92,56,9,5,11,10,1
2024-2025,Mallorca,684,471,96,30,48,33,6,60,45,8,0,2,4,1,1007,755,87,51,64,34,16,73,57,3,4,5,2,2
2024-2025,Osasuna,726,503,93,39,42,43,6,82,49,5,5,8,14,1,841,623,63,54,33,52,16,89,73,1,3,3,8,1
2024-2025,Rayo Vallecano,886,648,82,45,58,41,12,59,38,4,7,7,1,2,841,577,91,59,44,49,21,82,60,6,8,3,5,0
2024-2025,Real Madrid,1160,860,84,92,70,39,15,137,98,9,11,10,8,1,717,549,53,32,44,28,11,64,46,6,3,6,3,0
2024-2025,Real Sociedad,682,493,74,38,34,31,12,59,42,5,5,2,5,0,743,532,72,38,43,44,14,76,56,3,3,10,4,0
2024-2025,Sevilla,824,600,69,60,51,31,13,71,59,4,3,4,1,0,731,531,69,41,38,42,10,97,72,4,5,6,10,0
2024-2025,Valencia,676,503,65,27,34,31,16,71,49,4,3,8,5,2,741,535,76,37,46,34,13,88,68,3,3,7,5,2
2024-2025,Valladolid,601,425,63,48,21,36,8,42,30,0,6,1,5,0,1068,802,66,62,69,52,17,160,121,5,12,13,8,1
2024-2025,Villarreal,962,729,82,41,59,35,16,124,101,4,4,8,6,1,868,644,69,46,54,43,12,87,58,5,4,9,9,2
2023-2024,Alavés,817,563,88,54,53,43,16,60,39,5,6,4,6,0,820,597,79,54,38,40,12,81,55,6,6,7,7,0
2023-2024,Almería,823,586,66,47,52,50,22,70,45,3,7,9,4,2,1074,773,110,72,62,43,14,128,97,6,10,9,4,2
2023-2024,Athletic Club,817,612,81,48,33,32,11,103,83,6,6,3,4,1,734,524,70,41,42,42,15,60,43,4,5,6,2,0
2023-2024,Atlético Madrid,852,650,59,56,42,31,14,120,94,3,10,7,5,1,787,577,72,44,46,29,19,75,55,4,9,4,1,2
2023-2024,Barcelona,1063,798,83,63,69,39,11,136,105,6,6,11,7,1,723,538,64,43,33,32,13,81,63,5,7,3,3,0
2023-2024,Betis,870,632,75,52,62,34,15,78,57,3,5,7,3,3,786,537,83,52,56,48,10,74,46,3,6,8,10,1
2023-2024,Cádiz,698,478,85,30,48,42,15,40,25,4,1,5,4,1,909,671,67,63,43,43,22,91,67,6,9,6,2,1
2023-2024,Celta Vigo,855,645,67,50,43,42,8,81,63,2,5,5,6,0,844,584,95,57,58,37,13,92,59,4,9,12,6,2
2023-2024,Getafe,766,531,87,45,48,40,15,69,40,8,8,9,4,0,805,571,87,44,41,52,10,95,64,6,6,10,9,0
2023-2024,Girona,872,674,62,45,45,36,10,152,119,7,10,7,8,1,882,650,75,42,60,31,24,70,47,4,3,12,3,1
2023-2024,Granada,708,475,74,47,50,49,13,63,45,3,3,5,5,2,860,630,74,39,56,49,12,133,95,6,9,13,6,4
2023-2024,Las Palmas,707,560,40,38,30,30,9,60,49,3,1,3,3,1,766,535,89,50,47,34,11,83,60,5,3,8,5,2
2023-2024,Mallorca,734,501,99,37,52,33,12,57,33,12,1,8,3,0,857,641,56,51,44,50,15,73,52,6,3,4,7,1
2023-2024,Osasuna,714,505,77,32,47,45,8,73,45,8,4,10,6,0,757,561,65,41,47,32,11,95,72,10,5,5,2,1
2023-2024,Rayo Vallecano,815,548,79,36,62,70,20,40,21,3,3,7,5,1,793,577,74,64,37,31,10,81,62,7,6,4,2,0
2023-2024,Real Madrid,1082,813,72,84,59,38,16,154,113,8,16,13,2,2,688,523,54,25,46,26,14,38,30,2,2,4,0,0
2023-2024,Real Sociedad,775,528,79,53,59,37,19,79,54,4,6,9,4,2,674,451,71,37,53,51,11,67,43,5,4,10,4,1
2023-2024,Sevilla,874,641,94,42,40,45,12,84,62,6,6,5,2,3,874,646,72,52,51,39,14,88,67,6,2,6,5,2
2023-2024,Valencia,670,478,66,38,29,42,17,66,47,3,5,5,6,0,730,519,65,38,53,44,11,76,50,7,4,9,5,1
2023-2024,Villarreal,855,624,76,53,56,30,16,111,77,9,4,15,5,1,1004,737,87,41,66,55,18,115,89,4,5,7,9,1
2022-2023,Almería,758,533,73,51,51,33,17,76,51,7,8,7,3,0,956,739,78,44,39,44,12,110,84,7,7,5,6,1
2022-2023,Athletic Club,945,678,96,56,59,40,16,78,54,3,6,7,7,1,675,470,65,42,42,41,15,69,45,3,7,5,6,3
2022-2023,Atlético Madrid,958,756,59,47,51,32,13,116,82,7,9,13,3,2,781,585,60,49,41,38,8,58,43,4,1,7,3,0
2022-2023,Barcelona,1050,824,65,62,58,30,11,125,106,2,6,11,0,0,560,410,51,26,37,20,16,25,17,1,1,3,3,0
2022-2023,Betis,741,547,55,53,44,35,7,69,47,3,5,9,5,0,807,559,92,54,44,47,11,69,51,4,4,6,3,1
2022-2023,Cádiz,663,461,69,36,42,38,17,49,32,2,8,5,2,0,973,687,86,56,61,62,21,92,63,6,6,9,8,0
2022-2023,Celta Vigo,819,623,62,45,41,37,11,70,55,3,6,3,1,2,669,462,74,43,36,43,11,89,59,8,8,9,5,0
2022-2023,Elche,726,495,103,47,37,33,11,54,36,7,0,4,5,2,984,712,85,58,69,46,14,115,85,4,9,10,6,1
2022-2023,Espanyol,735,506,79,43,53,41,13,84,58,2,5,13,3,3,987,769,70,53,43,41,11,119,92,4,5,8,8,2
2022-2023,Getafe,619,414,84,25,35,54,7,51,38,4,2,2,4,1,849,653,62,47,42,39,6,68,47,7,5,7,2,0
2022-2023,Girona,821,597,86,41,45,43,9,102,70,10,1,5,13,3,870,651,68,52,40,38,21,94,69,5,8,3,7,2
2022-2023,Mallorca,563,373,76,33,30,42,9,63,37,11,4,4,5,2,907,689,82,44,40,43,9,75,51,4,7,7,5,1
2022-2023,Osasuna,779,564,77,53,41,30,14,69,53,7,0,5,4,0,804,601,76,49,34,37,7,71,57,3,3,5,3,0
2022-2023,Rayo Vallecano,881,651,77,43,40,46,24,69,50,5,6,3,4,1,759,537,77,46,47,39,13,78,48,11,4,9,3,3
2022-2023,Real Madrid,1194,894,85,88,52,67,8,134,95,5,15,8,10,1,720,516,69,49,44,27,15,50,32,3,2,10,3,0
2022-2023,Real Sociedad,800,594,71,41,39,38,17,82,64,3,5,4,3,3,705,515,60,45,35,38,12,55,41,2,5,3,3,1
2022-2023,Sevilla,837,640,74,26,41,39,17,82,56,8,7,6,5,0,893,655,85,42,52,46,13,87,68,3,5,8,2,1
2022-2023,Valencia,859,607,80,59,46,51,16,62,40,6,2,7,6,1,683,458,88,45,43,41,8,78,53,8,6,5,4,2
2022-2023,Valladolid,792,581,77,39,36,46,13,59,40,6,4,4,5,0,1034,756,101,68,56,44,9,110,76,8,11,7,7,1
2022-2023,Villarreal,884,665,45,73,53,40,8,89,59,2,13,11,4,0,808,579,64,49,49,41,26,71,42,8,8,5,5,3
2021-2022,Alavés,628,392,88,38,46,53,11,48,27,6,4,5,6,0,905,646,99,46,50,50,14,112,84,8,4,11,4,1
2021-2022,Athletic Club,821,581,94,46,42,47,11,72,52,9,1,2,5,3,776,566,68,31,48,43,20,59,45,1,3,5,3,2
2021-2022,Atlético Madrid,828,593,86,56,41,40,12,111,86,6,5,8,3,3,613,415,71,35,39,45,8,66,39,7,4,9,7,0
2021-2022,Barcelona,942,728,62,68,34,41,9,123,95,5,7,8,6,2,602,421,68,31,31,38,13,62,38,6,5,6,6,1
2021-2022,Betis,902,670,75,55,46,41,15,94,65,5,10,5,8,1,745,524,70,60,51,32,8,67,52,3,6,3,3,0
2021-2022,Cádiz,687,459,86,38,47,41,16,55,32,7,3,5,6,2,845,579,84,65,50,54,13,85,50,5,7,13,10,0
2021-2022,Celta Vigo,701,540,43,25,50,34,9,70,52,2,3,11,1,1,709,478,74,53,44,51,9,71,45,1,6,11,4,4
2021-2022,Elche,592,426,60,42,23,28,13,68,50,4,7,3,2,2,916,652,75,63,59,56,11,89,59,8,7,8,6,1
2021-2022,Espanyol,721,521,59,47,40,41,13,67,45,5,4,8,3,2,883,666,75,49,46,35,12,89,70,6,4,5,2,2
